tist_id,name,realname
1,The Persuader,Jesper Dahlbäck
2,Mr. James Barth & A.D.,Cari Lekebusch & Alexi Delano
3,Josh Wink,Joshua Winkelman
4,Johannes Heil,Johannes Heil
5,Heiko Laux,Heiko Laux
6,K.A.B.,Karl Axel Bissler
7,Sylk 130,King James Britt
8,Mood II Swing,John Ciafone & Lem Springsteen
9,Care Company,Markus Reinhardt
11,DJ Dozia,Dozia Blakey
13,Blaze,Kevin Hedge & Josh Milan
14,Eight Miles High,Roman Flügel
16,Christian Smith,Christian Smith-Solbakken
17,John Selway,John Brinton Selway
19,Sound Associates,Sound Associates
20,Percy X,Anthony Scott MacKinnon
21,Faze Action,Robin Lee
22,DATacide,DATacide
23,Alex Hi-Fi,Alex Hi-Fi
24,Atom Heart,Uwe Schmidt
25,Tetsu Inoue,Tetsu Inoue
26,Alexi Delano,Alexi Delano
27,Cari Lekebusch,Kari Pekka Lekebusch
28,Moonchildren,Chris Gray
29,Sweet Abraham,Jeffrey Peacock
30,Groove Collective,Groove Collective
31,Swag,Chris Duckenfield & Richard Brown.
32,Jay Denes,Jay Denes
33,Blue Six,Jay Denes
34,Miguel Migs,Miguel Sundance Steward
35,Attaboy,Paul Ingall
36,Lovetronic,Lovetronic
37,Si Brad,Simon Bradshaw
38,Aquanote,Gabriel René
39,Baby Mammoth,Mark Blissenden and Andrew Burdall
40,Dave Warrin,Dave Warrin
41,Autechre,Rob Brown
42,Sean Booth,Sean Anthony Booth
43,Rob Brown,Robert Michael Brown
45,Aphex Twin,Richard David James
46,GAK,Richard David James
47,AFX,Richard Dick James
48,Caustic Window,Richard David James
49,Gescom,Gescom
50,ADNY,Alexi Delano
51,Lance Nuance,Lance Nuance
52,Dub-Tech Soundsystem,Sina Morshed Solouk & Frederik Soderstrom
53,Casey Hogan,Casey Hogan
54,Entity (2),Dennis Vervoorn
55,DJ Rasoul,Guy Nado
56,E.B.E. (2),Lucas James Rodenbush
57,Chris Gray,Christopher Leon Gray
58,DaRand Land,DaRand Land
59,Kerri Chandler,Kerri Camar Chandler
60,Pete Moss,Pete Moss
61,John Tejada & Arian Leviste,John Tejada & Arian Leviste
62,John Tejada,John Tejada
63,Solomonic Sound,Rob Paine & Zach Eberz
64,Christopher Lawrence,Christopher Lawrence
65,Animated Rhythm,Animated Rhythm
66,Christian West,Christian Parkinson
67,Cassidy,Matt Slater
68,Icon,Ralf Hildenbeutel
69,The Sound System,The Sound System
70,The Secret,Bagg
71,Baby Doc,Quentin Franglen
73,Harry The Bastard,Harry Russell
74,St Germain,Ludovic Navarre
75,Daddy's Favourite,James Harrigan
76,Kevin Yost,Kevin Yost
77,Mateo & Matos,John Mateo & Eddie Matos
78,Azymuth,J. R. Bertrami
79,Global Communication,Tom Middleton & Mark Pritchard
80,Hot Lizard,G. Marsden
81,Pépé Bradock,Julien Auger
82,Crazy Penis,James Baron and Chris Todd
83,Atjazz,Martin Iveson
85,YMC,Jan Lutgebauks
86,Soul Parlor, 
87,Mr. C,Richard West
88,Dave Angel,David Angelico Nicholas Gooden
89,Mr. James Barth,Kari Pekka Lekebusch
90,Layo & Bushwacka!,Layo Paskin & Matthew Benjamin
91,Steve O'Sullivan,Steve O'Sullivan
92,Fredrik Stark,Fredrik Stark
93,Romain & Danny Krivit,Romain & Danny Krivit
94,Conceiled Project,Adam Beyer
95,Laid,John Andersson
96,Håkan Lidbo,Håkan Lidbo
97,Super_Collider,Super_Collider
98,Tom Middleton,Tom Middleton
99,Automator,Automator
102,Sensurreal,Gert-Jan Bijl
103,Shur-i-kan,Tom Szirtes
104,max 404,Erwin van Moll
105,Black Science Orchestra,Ashley Beedle
106,Korben Dallas,Frank Lotz
107,Wamdue Kids,Chris Brann/Chris Clarke/Chris Udoh
108,Ian Pooley,Ian Christopher Pinnekamp
109,Jazzanova,Alexander Barck
