release_id,title,num_tracks,released,country
1,Stockholm,6,1999-03-00,Sweden
2,Knockin' Boots Vol 2 Of 2,4,1998-06-00,Sweden
4,Moving Cities,12,11/2/1999,US
6,Knockin' Boots (Vol 1 Of 2),3,1998-05-00,Sweden
7,Moonchildren EP,3,2000-02-00,US
8,Spreading Outward EP,3,2000,US
9,Pure,4,2000,US
11,Music And Wine,4,1999,US
12,Everything Is Changing,4,1999,US
14,Sincere  The Sky Be,5,1999-04-00,US
16,The Sideshow Bob EP,4,2000,US
18,Galactic Schematix EP,4,2000,US
19,True Science,3,8/25/2000,Canada
20,Switchstance EP,4,6/2/2000,US
22,Sweetness You Bring,3,2000-00-00,US
23,Blessings,2,2000-05-00,US
24,Digitalsoul (Session One),4,1999-00-00,US
25,Digitalsoul (Session Two),6,2000-00-00,US
26,Soul Searching Vol. 1,3,1/30/1998,US
27,Soul Searching Vol. 2,4,6/28/1998,US
28,Outward Bound EP,3,2000,US
30,Song Forms & Freedom EP,4,2000-00-00,UK
31,Soul Searching Vol. 4,6,11/19/1999,US
35,Night Life,3,1999-10-00,US
36,Trilogy  Part One: Empire,11,2000-00-00,US
37,Club H,12,1999-10-00,US
38,Late Night Up North,3,1999,US
40,The Fog City EP,4,1999-07-00,US
41,Loungin,4,1999-00-00,US
43,Philly Groove EP,2,2000-00-00,US
45,Push Along EP,4,2000,UK
46,New Standards,4,1999,UK
47,Limited Edition Remixes By Tom Middleton & Automator,3,1999,UK
48,Stalker,7,1995,US
49,A Jedi's Night Out,14,4/20/1999,US
52,Walk Away (2020 Vision Remixes),3,7/24/2000,UK
54,Going Back To Blackwiz,7,2000-00-00,US
56,House De Luxe (Volume 2),17,2000,US
57,Tales From Abroad,6,2000-10-00,US
58,Missing You (The Remixes),5,2000-05-00,US
59,Solitaire,6,3/13/1995,Germany
60,World Receiver,7,6/11/1996,US
61,Ambiant Otaku,5,3/28/1994,Germany
62,Right There,2,2000-00-00,US
64,Don't Cry,4,7/7/2000,US
66,Little Green Lights And Four Inch Faders,12,1998-00-00,UK
68,Sunset Boulevard EP,5,1994-00-00,UK
69,All Terrain EP,5,2000-05-00,US
71,Twisted Funk,15,3/29/1999,UK
73,Universal Mind,4,2000-00-00,UK
74,Lonely Disco Dancer (Re-mixes),7,2000-00-00,UK
75,Spilt Over,4,5/27/2000,UK
76,Stateside E.P.,4,1999-00-00,Canada
78,Earth,4,1998-00-00,US
79,City Of Islands,4,1998-12-00,Sweden
81,The Shoreline EP,3,2/25/1999,US
83,Too Bad The Scene Is Dead,6,1998,US
85,Junkyard Funk,8,6/19/2000,UK
86,Expression In E-Dub,2,2000-00-00,US
88,Do Ya Like It?,4,1998-00-00,US
89,Better Day (Salt City Orchestra Remixes),2,1997-00-00,UK
90,Messages,4,1999,US
91,Universal,3,1999-00-00,US
92,Polyphonic EP,4,4/11/2000,US
93,Modul,4,2000-06-00,US
95,Mushrooms,2,1998-00-00,UK
96,Alchemy,3,1998-06-00,Sweden
97,Klugh,2,10/28/1999,US
98,Significant Numbers,4,2000,US
99,Focus & Temper EP,4,2000-00-00,US
101,Morgon Sol,2,1998-01-00,Sweden
103,The Necessary EP,4,1999-00-00,Canada
105,Tech House Phenomena 2,2,1999-00-00,UK
107,Lovelife EP,2,7/28/2000,US
108,Lingo EP,3,2000-10-00,US
110,Very EP,5,1996-00-00,US
111,More Drama,6,1997,US
112,Too Funk To Funk,4,1998,UK
114,Fall,2,1999,US
116,Tall Stories (Ian Pooley Remixes),3,3/15/1999,UK
117,The Fourth Dimension Of Existence,3,10/1/1999,US
119,The Big Bang Theory,2,1997-12-00,Sweden
120,Stereo (Remixes),2,2000-00-00,US
121,Blue Monday / Stitches,4,1998,US
123,The Collected Works Of Kosmic Messenger,10,1997,Belgium
125,Somethin' Else,5,2000-00-00,US
127,Decked Out EP,4,1998-00-00,US
129,The Roots,3,2000-00-00,US
130,Party Stomp / Feels So Good,2,1999,US
131,Go Home,3,1999-00-00,Finland
133,Jazzmorphosis,5,2000-00-00,Canada
135,The Infrared EP,4,1999-02-00,US
136,Hangable Auto Bulb EP,6,10/16/1995,UK
137,Hangable Auto Bulb EP.2,2,12/11/1995,UK
138,Souff Souff,4,10/11/1996,UK
139,Skin Deep EP,4,1999,US
140,Force Universelle EP,4,1997-00-00,US
141,Tomorr w,3,1997-00-00,US
142,Time Is Up,3,1999,US
144,A Lil' Sumthin' Sumthin' - EP,3,1999-00-00,US
