artist_id,mbtag
AR002UA1187B9A637D,uk
AR002UA1187B9A637D,rock
AR002UA1187B9A637D,"garage rock"
AR006821187FB5192B,bass
AR00A6H1187FB5402A,detroit
AR00A6H1187FB5402A,punk
AR00A6H1187FB5402A,michigan
AR00A6H1187FB5402A,usa
AR00B1I1187FB433EB,european
AR00B1I1187FB433EB,swedish
AR00B1I1187FB433EB,"classic pop and rock"
AR00FVC1187FB5BE3E,german
AR00FVC1187FB5BE3E,berlin
AR00GVV11C8A415A54,uk
AR00GVV11C8A415A54,mc
AR00GVV11C8A415A54,rapper
AR00GVV11C8A415A54,grime
AR00IKC1187FB37BD5,uk
AR00IKC1187FB37BD5,scotland
AR00IKC1187FB37BD5,edinburgh
AR00IKC1187FB37BD5,punk
AR00IKC1187FB37BD5,anarcho
AR00IM31187B99B83A,producteur
AR00IM31187B99B83A,producer
AR00IM31187B99B83A,batteur
AR00IM31187B99B83A,drummer
AR00M9H1187B9B59CA,"virgin islands reggae"
AR00P3M1187FB5428C,british
AR00RAE1187FB41114,"production music"
AR00TGQ1187B994F29,world
AR00Y9I1187B999412,"progressive black-death metal"
AR00Y9I1187B999412,"blackened death metal"
AR00Y9I1187B999412,"progressive death metal"
AR00Y9I1187B999412,british
AR00Y9I1187B999412,metal
AR015LY1187B98CCAF,world
AR016P51187B98E398,desi
AR01C201187B9B7F3D,"production music"
AR01HKT1187B996F26,4ad
AR01HKT1187B996F26,singer-songwriter
AR01HKT1187B996F26,"folk rock"
AR01HKT1187B996F26,lo-fi
AR01HKT1187B996F26,rock
AR01HKT1187B996F26,american
AR01HKT1187B996F26,"rock and indie"
AR01VU31187B997DA0,"hard rock"
AR01VU31187B997DA0,rock
AR01VU31187B997DA0,american
AR01W2D1187FB5912F,"united states"
AR022JO1187B99587B,"production music"
AR026BB1187B994DC3,jamaican
AR026PU1187FB43FD9,uk
AR026PU1187FB43FD9,punk
AR026PU1187FB43FD9,british
AR026PU1187FB43FD9,english
AR026PU1187FB43FD9,"rock and indie"
AR028WW1187FB3C9B4,"star search"
AR02G8X1187FB394D9,"rock and indie"
AR02IU11187FB513F2,jazz
AR02IU11187FB513F2,latin
AR02JG91187FB39B7F,"classic pop and rock"
AR02JG91187FB39B7F,england
AR02JG91187FB39B7F,uk
AR02JG91187FB39B7F,punk
AR02LLE1187B98CDE3,german
AR02LLE1187B98CDE3,city
AR02T6T1187FB3D8E5,"classic pop and rock"
AR035N21187FB3938E,trance
AR035N21187FB3938E,electronic
AR035N21187FB3938E,"progressive house"
AR035N21187FB3938E,composer
AR035N21187FB3938E,"film composer"
AR03AC11187FB39256,us
AR03AC11187FB39256,hiphop
AR03BDP1187FB5B324,pop
AR03BDP1187FB5B324,american
AR03BDP1187FB5B324,"urban pop"
AR03BDP1187FB5B324,dance
AR03BDP1187FB5B324,"pop and chart"
AR03BDP1187FB5B324,"américain"
AR03BDP1187FB5B324,electropop
AR03BDP1187FB5B324,usa
AR03BDP1187FB5B324,dance-pop
AR03K5W1187B99099A,"death metal"
AR03NAV1187B9920EF,"alternative rock"
AR03NAV1187B9920EF,rock
AR03NAV1187B9920EF,american
AR03NAV1187B9920EF,pop
AR03VDD1187FB3DD32,world
AR03Z7E1187FB44816,"rock and indie"
AR040JZ1187FB399A9,rock
AR040JZ1187FB399A9,pop
AR040JZ1187FB399A9,"glam rock"
AR040JZ1187FB399A9,"male vocalists"
AR040JZ1187FB399A9,usa
AR040JZ1187FB399A9,electronic
AR040JZ1187FB399A9,british
AR040JZ1187FB399A9,"synth pop"
AR040JZ1187FB399A9,70s
AR040JZ1187FB399A9,00s
