tid,target
TRPYHPC128F930F9B0,"TRHVKYA128F4289436,0.00100462,TRFONPG128F92FC00F,0.00404794,TRUCAXC128F92F9AF3,0.0029217,TRCTKVX128F425C70A,8.83503e-05,TRBUCVS128F423F5DD,0.000931335,TRZVOIJ128F931A735,0.00586252,TRTDSTI128F930122B,0.000178616,TRKZWHG128F930BF84,0.0178901,TRQXLCL128F930FB2B,0.00202357,TRQSBIL128F93032F3,0.00358385,TRVVDDN128F426BC56,0.00479434"
TRJISWW128F42523F5,"TRJFNWV128F4224BE2,0.0120832,TRLCUYW128F9329384,0.0010781,TRKJZFP12903CF7149,0.00120941,TRKBISD128F4245B96,0.017266,TRCDCGF128F42523F8,0.804137,TRCGLXM12903CC4031,0.00399283,TRCKFAS128F92F14C0,0.00461477,TRJNNUL128F426C439,0.00325244,TRIHNMB128F92E1491,0.00134643,TRIXLGD128F42523F3,0.911265,TRIMEZT128F426CE56,0.00944899,TRIBMTB128F426C459,0.00944899,TRIBBSB12903CB25ED,0.000650409,TRIELJS128F92E149A,0.00149284,TRHJXYX128EF342E05,0.000461202,TRHDYWU128F9332632,0.000639074,TROKXPK12903CDECCB,0.000981608,TRMJMKH128F932F470,0.00115278,TRMIOCK128F92F14C3,0.00577701,TRMHYUH128F425167D,0.000907656,TRMGNHR128F428B17E,0.0015176,TRMTFGO12903CC4030,0.00461477,TRRVDQJ12903CC402E,0.00461477,TRATYZH128F426C464,0.00909082,TRAQAYU128EF340AD0,0.00631713,TRNOQSW128F426C457,0.00909082,TRNWLOU128F92F14B0,0.00461477,TRSPBRW128F933262F,0.000639101,TRFRVIX128F426C45A,0.00909082,TRFNMMA128F933262D,0.000833274,TRDTZSA128F92F1495,0.00583569,TRDQVAM128F92CD9A6,0.0129569,TRLIDGB12903CC4039,0.00489087,TRLMDXU128F9304761,0.000964544,TRPRFAL12903CAF1D2,0.00148814,TRWQKLZ128F933BF09,0.00106944,TRGCSUX128F92F14BA,0.00461477,TRGSDUJ128F42523F7,0.924017,TRTCAJN128F92F14A1,0.00276354,TRKKXPZ128F42523F9,1,TRQOVOM128F931009F,0.00400294,TRQLJJG12903CC403B,0.00590205,TRQPZHA12903CC4032,0.00461477,TRUXBAS128F9335118,0.00808656,TRUDFRV128F426C436,0.00351808"
TRMEZLT128F425F0DB,"TRXBRDS12903CB2D9A,0.795339,TRMBEIK128F429B092,0.00118115,TRLDRBI128F92D91BF,0.00142306,TRWRPWO128F930BFEB,0.00113684,TRUKPKJ128F930BFEC,0.00113683,TRCJOET128F14AE34E,0.00130972,TRCBMKI128F92E3CD7,0.213035,TRCFAZR128F42823EA,0.00557858,TRCTDPF128E0789C84,0.00170389,TRJXHIF128F422BFD5,0.00258805,TRJEBBB128F425F0D8,0.924168,TRIHEDR128E0789C8F,0.0018605,TRHBYYQ128F930D4C3,0.00101318,TRHBYEN128F4219336,0.00148046,TRHSAXD128F149558A,0.0127305,TRHGTNK128F42440A1,0.00249536,TROCQMD128F422C0DC,0.0014123,TROEQHY128F930D4E1,0.00138054,TROWUFF12903CDCDFB,0.0489892,TROKMYT128F422C5A6,0.00108661,TRMIDWQ128F422C4E6,0.00208396,TRMHSTG12903CDCDFC,0.0167438,TRMPDJM128F930D4D8,0.000980567,TRMQJJT12903CDCE03,0.0389925,TRMQFTW128F42A0192,0.000696152,TRRALHL128F92D58A1,0.0706702,TRYHXVN12903CB0405,0.00128109,TRYOMUZ128F4248473,0.00145249,TRAGKLS12903CDCDFE,0.0713649,TRAKQUP12903CDCE00,0.483733,TRBRHCR128F424409F,0.674453,TRBRGHL128F422C0DA,0.0042205,TRNMMHT128F14943A0,0.00114134,TRNDCGL128EF358FBA,0.00167745,TRSJBJE128F932DFCF,0.00148858,TRSJUTP12903CE52DA,0.00136725,TRSOPZF12903CDCE0A,0.0562867,TRSMWQS128F42198E1,0.00326928,TRSDZIB12903CB0063,0.000858587,TRFIOYZ128E07879CD,0.00252608,TRFXHFM12903CACB0A,0.00170389,TRFZFYM128F422BFDB,0.00258805,TRFQAMD12903CB0061,0.00100817,TRFQWAQ128F14B084D,0.00137834,TRDCSVU128F425F0E2,0.917377,TRDRCJR128F1495596,0.00154661,TRDPCUP128F421FA7E,0.00966647,TRLIDCG128F930D4CA,0.000973208,TRLPMDM128F930D4EA,0.00103968,TRLKTTU128F422F370,0.00264644,TRPRBQJ128F14A5A87,0.00141598,TRPDTXY128F930D4D4,0.000970332,TRWRNIK128F14943A1,0.00302451,TRWFCWR128F1474066,0.000747874,TRZKUPB12903CB342C,0.0608821,TRGRPUE128F4244092,0.00270604,TRGVHNO12903C9BA0E,0.00149256,TRTIDWN128F934B651,0.00102571,TRTIUPK128EF345427,0.00150835,TRTYLVU128F4244094,0.674453,TRKCDHZ128F4248871,0.00121017,TRKIJXE128F930D4E6,0.000977598,TRKMRGK128F42440A3,0.0024981,TRKWXET128F149558E,0.00108714,TRQCIGY128F92D58A2,0.0706269,TRQKMEI128F4244098,0.00249824,TRQUNEC128F425F0E9,1,TRURWRN128F422C4ED,0.00108661,TRUQZLU128F930D4D3,0.000980295,TRVNXKM128F425F0DE,0.974441,TRVDZYR128F930D4F2,0.00103694,TRVEHUC12903CDCE07,0.0533014,TRVZAMC128EF345426,0.00174019,TRVTGBK128F92CA7E4,0.00133661"
TRQODPB128F934C699,"TRJLOPB128F428CFE4,0.0411795,TRMHIHC12903CDF3D5,0.0564984,TRWFRTM128F4291A94,0.0433171,TRZDZLY12903CDF3BA,0.0754146,TRCDCSC12903CBE6C9,0.0405698,TRJDARW128F934C6A3,0.98146,TRIJZBM128F934B3FE,0.145236,TRIWNHT12903CE6AE4,0.000859717,TRHBLSR128F9314911,0.000891358,TRHGTLW12903CE6AA1,0.000795598,TRXOWFP128EF35CF8C,0.837645,TRXBPBK128F428CBF8,0.0245613,TRXVWHG128F934C691,0.964049,TROXEVD128F9342A5F,0.0012139,TROPSSP128F934C69E,1,TROWMOE12903CE6A98,0.00102987,TRMBZKY12903CE6AA4,0.000812161,TRMLWQS128F9342A5D,0.00109663,TRRMIBD12903CE6B1F,0.000840354,TRYJCBR128F9342A5B,0.00111133,TRYNOIK128F9342A61,0.00128817,TRAXMDO128F9342A54,0.00125752,TRAYQKW128F9314E7B,0.000841113,TRASTFK128F148D21B,0.00118511,TRAENQW12903CE6B23,0.000661506,TRAWOSR128F428CF3A,0.0258501,TRATHXJ12903CE6AF6,0.000855421,TRBDPVB128F148D209,0.000997042,TRNCQQG128F934B962,0.0302621,TRNSPRN128F934C694,1,TRNDEMF128F9314E78,0.000915777,TRNKIMM128F9314914,0.00174247,TRSIZUX12903CE6B1D,0.000731269,TRSMWDW12903CE6AD3,0.000869601,TRSRWUF128F425C37B,0.0249132,TRSZFIR128EF35CF9B,0.837645,TRFGDYF12903D1052E,0.00984814,TRDRDMA128F9342A65,0.00111878,TRDBXBJ128F9342A68,0.00121394,TRDDHWS128F9327002,0.00066872,TRETBWG12903CE6A8C,0.000927002,TRLPMLN128EF35CF9C,0.837645,TRLWNVH128F9314913,0.000776186,TRWNGCN12903CBE6C5,0.0406746,TRWDFUD12903D1051E,0.0786131,TRZMLZS128F148C605,0.000616956,TRZFCYZ12903CE6B1A,0.000716881,TRZWXVH128F932BCF7,0.0345284,TRGYAGB12903CE6B0A,0.000792073,TRGZSYL128F9326FFF,0.000507104,TRTHZXW128F4235B65,0.00118727,TRTAXPY12903CE6A2F,0.00174247,TRTPSOD12903CDF067,0.0218275,TRTWJAX12903CBE6CE,0.0373753,TRKOBFR12903CE6ADD,0.000407292,TRKSPSZ128F4235B61,0.00154062,TRKGJQQ128F4291F05,0.0316879,TRQQALN128F148D20E,0.00131032,TRVSKNT12903CBE6CC,0.0410311,TRVGJCA12903CE6AA7,0.000841113"
TRBDOPE128F422C1EB,"TROUHQG128F425BF2B,0.00230093,TRAXWWD128F930A8C3,0.0107994,TRLFYPD128F9314AB8,0.00192096,TRUSVWD128F92DC5F3,0.00192096,TRIHZAZ128F4265061,0.014282,TRXXJGS128F931E8E9,0.00126205,TRXFCZR128F92C3EB3,0.000413143,TRXQKZF128F425DCDD,0.201987,TRMAWZQ128E07915C5,0.0245123,TRMSDUY128F1494A16,0.0020837,TRRWGZR128F932127B,0.000877665,TRAIJQF128F147586E,0.0203582,TRAENKG128F92D25C1,0.00306038,TRBKYAH128F4295E0C,0.00534425,TRNYAJY128F42B9AAC,0.00084158,TRFIOFC128F4277E37,0.0370492,TRECRMW128F9321279,0.000877665,TRECQCB128F428DA82,0.364174,TREOHRK128F427EFEF,0.0429009,TRLJVJI12903CE5C81,0.00418669,TRPSKJZ12903CD387A,0.00167691,TRZPJNB128F92C9443,0.000591152,TRGCKBS128F1482218,0.0129917,TRGMZTI128F9321277,0.000877665,TRGZPCO128F42B9A7C,0.00084158,TRKIWHC128E0783F44,0.000204223,TRQXUUY128E0791649,0.0384854,TRQPXPZ128F42B8238,0.00129056"
TRFCDJC128F932621C,"TRCXQNE128F4218F51,1,TRCVCWU128F42813ED,0.0137902,TRIMWCK128F1463880,0.00343754,TRMOXST128F92C8115,0.00128505,TRRPWPS128F42BA542,0.00188145,TRNUTYR128F4257F11,0.000951723,TRSWLKB128F1471819,0.80024,TRFKBIQ128F93221AB,0.0123382,TRQDZGT128F424DDFD,0.00343754,TRQTFIM128F14638FE,0.0133548,TRCCTHO12903CD9B68,0.000541812,TRCCVBD128F4259CBE,0.0255798,TRCJOCL128F42318FF,0.000641177,TRCHQPP128F92FD8A7,0.000554749,TRCARFO128F42BA46C,0.000536831,TRCQRBD128F148E83C,0.00130245,TRJCUFU128EF3444E1,0.0128724,TRJXSDB128F42725A4,0.00166976,TRJSWPO12903CF0A32,0.000936688,TRJQSEV128F92FBA9C,0.0215332,TRIMOAS12903CB61AD,0.00111036,TRIFQSR128EF354297,0.27566,TRILXVG128F9311133,0.116827,TRHJKMH128F428234F,0.000903158,TRHBUAM128F42A0A35,0.0118524,TRHNESO128F42666C7,0.000682719,TRHEDUM128F146A996,0.0161359,TRHZKOW128F1464688,0.00152863,TRXRKEK128F42677DD,0.00233902,TRXBKVQ128F1482B6E,0.00450739,TRXGXTR128F145A36F,0.000681032,TRXUHMD128EF340DD3,0.0115107,TROOJFD128F14891E1,0.00755076,TRORMLS128F93022C2,0.00159865,TROSAAM128F1471FBA,0.00538622,TRODMHV128F92E06D6,0.000571546,TROLKDO128F4243052,0.0610435,TROWWEK128F92D8966,0.0118093,TROZRJK128F93092E1,0.0162878,TRMHWUX128F147128A,0.01307,TRMRHZF12903D00BCC,0.000905542,TRMEJGB128F14A77A9,0.0011655,TRRAXZZ128F42AD471,0.0101978,TRRNPKN128F427CA01,0.0119644,TRRLXZL128F1480B4F,0.0111591,TRRVCIQ128F92F964B,5.57879e-05,TRYCTHH128F42333FA,0.00139914,TRYTCYY128E0795BE5,0.131296,TRACXCZ12903C9C01E,0.000961644,TRAZCAY128E0794D31,0.00128866,TRAKAQS128F9302479,0.00228475,TRBIAEN128F92C6A72,0.0338918,TRBZODL128F934CBE4,0.0005172,TRBVOAL128F1468F7E,0.00136049,TRNCCZO128F4261FFC,0.0153732,TRNENGJ128F427AB11,0.00047156,TRNTGTK128F42959A9,0.135827,TRSRUAO128F92F963D,0.00758374,TRSBMEI12903CC2C57,0.0151188,TRSNAMN128F92EBC3E,0.01616,TRFITDY128E078993D,0.0353614,TRFEMLV128F92D17D5,0.0196971,TRFPMMT12903CA31AB,0.0131331,TRFQVAY128F92F9637,0.00457354,TRDIMUY128F92F9647,3.1834e-05,TRDHXQJ128F92F9F85,0.000352485,TRDOOIK128F14903C0,0.00189384,TRDSPOD12903D054FF,0.00953171,TRDFCIY128F146F16A,0.0224042,TRDZVWE128F92F9FA3,0.000540599,TRDUGQS128F428F405,0.0160643,TREJSGY128F147A674,0.000918957,TREIHHB12903CB06AC,0.000603353,TREWSST128F14710B8,0.0007344,TREGSQI128F42838BB,0.000841175,TRLHFCI12903CE91DD,0.00481155,TRLXJDZ128F4274074,0.00205562,TRLANHV128E0791427,0.202785,TRLPZCO128F42750F0,0.00298932,TRPIVBF128F423EE52,0.0158486,TRPMAVF128F932BCE9,0.00107866,TRPBORP128F92E9D90,0.0120104,TRPDNIL128F425DF6F,0.00119686,TRPUVOB128F42BA3AB,0.000536831,TRWARNZ128F4257E8D,0.000837207,TRWNJTR128E0795BE3,0.131296,TRWPXIT128F42579F9,0.000773405,TRWZFJD128F426855A,0.0113803,TRWKOBA128F1468F85,0.0013606,TRZIVNR128F93086AF,0.0159948,TRZHDKO12903CB7891,0.00258808,TRZNADF12903CB61A4,0.000843031,TRZLXQC128F9309B24,0.0103108,TRZGXMG12903CF3074,0.000585729,TRZQJRQ128F4260CEC,0.0218237,TRGJKIO128F9335187,0.0196667,TRGOBTZ128F92E06EF,0.000966996,TRTSWWW128F426CC00,0.00555714,TRKHCMO128F9336672,0.00250983,TRKOGTR12903CC76E5,0.000638106,TRKGUNS128F426E66F,0.0138559,TRKTABK128F42BCBE7,0.560031,TRKQBQS12903CEC070,0.00926987,TRKVSLR128F423AED5,0.0137184,TRQRSRL128F4228AB6,0.0101427,TRQRZVT128F146AF73,0.00255293,TRQACSL12903CC76CC,0.000606588,TRQDMVC128F930D6F9,0.0043157,TRUIFKJ128F930C51D,0.000899614,TRULIWZ128F4288437,0.0179091,TRVXAES12903D054F3,0.00953171"
TRWOLRE128F427D710,"TRORBSY128F9322DD6,0.00923461,TRWMBUZ128F9322DCB,0.00584827"
TRMQSZX12903CCC1BD,"TRJRYHX128F426C9CB,0.187638,TROJBJD128F426C9BF,0.00724236,TROUODX12903CBBFE4,0.0153848,TRAZEVO128EF341504,0.216462,TRNBAPQ128F42775BA,0.0852313,TRSZYXN12903CC3334,0.00448273,TRETYPW128F426A8B1,0.0358701,TRZKNFJ12903CCFDD3,0.158721,TRGSBUO128F92F6326,0.0557292,TRGDGSN128F92F70D6,0.00360385,TRGPQDU128F426C9C9,0.219669,TRCOCCO128F428DDF3,0.322048,TRCYAEQ12903CD2CD5,0.0648935,TRCQWJS12903CBD732,0.0817319,TRJJAII128F4258061,0.00176284,TRJHUMD12903CD2F71,0.417316,TRJOCEU12903CCBD0F,0.00203117,TRJYIUJ12903CD0C55,0.133916,TRJYSPY128F92E643F,0.0143879,TRJELWT128F92E3C7F,0.0234949,TRJWWLI128EF351E13,0.0119277,TRIJKRY128F92F5212,0.00155778,TRIYUAF128F42651B2,0.0153848,TRINNAQ128F936551C,0.00191419,TRHCEHJ12903CD2F80,0.417316,TRHSYHB128F934BF59,0.00203058,TRHGLCJ12903CDB6D5,0.00151303,TRHQUEU12903CE1CBA,0.224205,TRXXBZV128F4249A51,0.485254,TRXXTUG128F934348B,0.0142675,TRXYXAI128F9339588,0.00981446,TRXYEAK128F92E4144,0.0630046,TRXBZXG12903CBE781,0.0186784,TRXNZGK12903CD24CB,0.0072624,TRXFKJC128F428DDF5,0.808227,TRXDZRF12903CAD92B,0.0036326,TRXLRIQ128F93356D6,0.0116062,TRXLPGY128F92E6E63,0.00207477,TRXPWER12903CABE2B,0.00378921,TROHEDR12903CAD713,0.00141593,TROXUJQ128F9308267,0.313454,TROAMDL128F92FA083,0.005084,TRONAVU128F934256C,0.00464296,TROSFAO12903CABE3B,0.00198217,TROECKB128F933565A,0.041396,TROPAUL12903CBE7C0,0.00645122,TRMIYTJ128F92E6E57,0.00207477,TRMBRNE128F92ED5C8,0.0142675,TRMDNBO12903CFFA9B,0.203419,TRMPBFQ128F9316E63,0.0159549,TRMZJAH128F427FFDC,0.010627,TRRRDOO128F92F71E1,0.00653308,TRRNKCF128F92F77DD,0.212397,TRRFNMP12903CB26A4,0.00203058,TRRKPWC128F93019C5,0.00498105,TRYHXIT128F425F6B1,0.00900319,TRYSGFN128F428CDDD,0.00963395,TRYLGSW128F93356D4,0.0116062,TRYZBRK128F424CEAF,0.009435,TRYZGMO12903CE3F37,0.00403769,TRYTOPC12903CCC0DC,0.00719089,TRYKRAW128F423B45D,0.00957019,TRYQTYR128F9332B13,0.005084,TRACPRD128F936552F,0.00209297,TRAJVUD12903CBFC76,0.121053,TRAINEC128F4247176,0.0179146,TRAHKQA12903CE7ED4,0.00653308,TRAOMLP128F424D06C,0.0188792,TRASNTG12903CCC199,0.211501,TRADYIT128F9353C00,0.005084,TRALLMW128F931AD44,0.0251808,TRAWVMX12903CA6B75,0.00117674,TRATHLO128F932438F,0.00203058,TRAKQRT128F93047AF,0.0159549,TRBBTHK128F92F274F,0.0142701,TRBZYNE12903CD2F77,0.417316,TRBTABS128F92E3DF3,0.237113,TRBTACI128F92E8EA8,0.00408075,TRBKKEK128F92D0152,0.00226236,TRBUTRE128F9365511,0.00224874,TRNJAGI128F92ED044,0.00206116,TRNJQYZ128F9353C2D,0.005084,TRNEKWV128EF351E14,0.0119277,TRNZISP12903CD2F6A,0.417316,TRNQNKJ128F42775D5,0.12833,TRNVLLC128F92F5F6D,0.00464296,TRSHJTB128F9339063,0.00646386,TRSBCIO128F9341829,0.00150486,TRSGQIR128F936551F,0.00269765,TRSGVFR12903CCC0D7,0.00719089,TRFFOXL128F9310A13,0.0142675,TRFFVZN128F4249A53,0.00549985,TRFDGVW128F428CDDB,0.00943375,TRFUMRB128F9348F7E,0.200549,TRFURZP128F93073C4,0.0116899,TRDMHTK12903CABE33,0.00197966,TRDREAJ12903CB26AA,0.00203058,TRDRLEJ128F4249A77,0.00549684,TRDSQEM12903CD2F86,0.417316,TRDFICU12903CE1C04,0.0105988,TRDTRCQ128F92E3DEC,0.311861,TRDQBJR12903CE1DCD,0.00753477,TREXHHK12903CE1C05,0.0105988,TREMBED12903CE0AE4,0.0128929,TREDNWE128F92E207B,0.0137127,TREZZTN128EF351E8E,0.380295,TREQCLP12903CD2CDA,0.0648935,TRLDFNF128F92E3A02,0.00250106,TRLWUGZ128EF351E8D,0.127993,TRLGHRE128F93263DC,0.0160653,TRLTSFV12903CCC194,0.211501,TRPODXJ12903CCBD10,0.00203117,TRPYUHI128F92D026D,0.00173747,TRPWKGF128F93250AE,0.000956542,TRPUVAI12903CE84BE,0.642179,TRWJNBU128F93263DD,0.0160653,TRWODFL128F424D06F,0.015796,TRWAXYM128F930A014,0.0147919,TRWDCOK12903CBE7BD,0.00646582,TRWLLEC128F9326398,0.0159549,TRWPJAZ128F930477B,0.0159549,TRWGFHD12903CDF9FE,0.0159549,TRZMICV128F933AA2F,0.597822,TRZYEDI128F9325F81,0.0159549,TRZSNKI128F9348FBB,0.107742,TRZQBAT128F93263CA,0.00142872,TRZVXKL128F93046B0,0.00592394,TRGJFPB128F9349AD6,0.00206116,TRGDZGX128F9303665,0.0249734,TRGPUSZ12903CCC0E0,0.00724799,TRGZHNW128F93358B3,0.0721043,TRGKQSC12903CD08FF,0.0040756,TRTNYYR12903D09BB3,0.00567129,TRTKFJM128F930366E,0.017901,TRTUADK128F426673B,0.0532364,TRKICNN128F9348F72,0.0721043,TRKFIGM128F93356D9,0.0116062,TRQXFVU12903CE1DCC,0.0140758,TRQOBCK128F93263DB,0.0160653,TRQWCTF128F42A9736,0.0601627,TRUFMMP128F4246CF8,0.316493,TRUEOAO12903CD2CE0,0.0648935,TRULPFW12903CCC0D3,0.00719089,TRUWNYS12903CE84C1,0.642179,TRUGVVU128F92F9FBA,0.00207477,TRVSHWR128F92D3E82,0.005084,TRVQAYM128F92F6D12,0.64469,TRVUKKQ12903CCC05F,0.00874114,TRVVYHP12903CE84D9,0.00504179"
TRCEOFI128F92D407F,"TRFUEWS128F93094F6,0.0378172,TREKITI128F931FA5A,0.0378172,TRQPHZJ128F4262058,0.00624596"
TRMFYEZ128E078194C,"TRCGAAS128E0781BB0,0.000950468,TRHTFUR128E07822A9,0.00120503,TRYUIXI128F4266135,0.000915663,TRBRGTV128F427A66A,0.0340065,TRNEWQR128F92E4F37,0.000985899,TRFXXNN128F4260EEC,0.137444,TRDSSDI128EF34B79E,0.182596,TRLHFDO128F428C698,0.0140438,TRPCLUO128EF36765A,0.0156106,TRPGGHH128E07844F4,0.0765978,TRPUYNL128F4281892,0.000890279,TRWJEYM128E078979D,0.115571,TRUTPTT12903CC819F,0.00117846,TRCHWSK128F426002B,0.000626317,TRCBNOY128F1488367,0.0165708,TRJKBTG128F4260035,0.00077425,TRJUQIA128EF355C7F,0.00778905,TRISZVK128F149EB8D,0.0252384,TRIZBSV12903CD15CA,0.0437199,TRHOGVK128F931E7DA,0.00109727,TRHFNKT128E07947F7,0.00110761,TRHKYNM128F146C6CB,0.394688,TRXOLBT12903CC67DC,0.000865843,TRXSINS128F42B0CA8,0.0502005,TRXGIOS12903CE8282,0.000889621,TROJVEW12903CD15C8,0.0414918,TRORLKH128F14895B8,0.00135906,TROWGCR128F4243A37,0.0179058,TROTCZP128F9335F78,0.00139924,TRMNYXS128F147A032,0.187669,TRYIYSD12903CE4393,0.00130116,TRYXSQD128F4284DA3,0.0111189,TRYYJPM128E0792CB1,0.0165708,TRYATXT128F4263429,0.00150491,TRYBHRS128F92EB3CC,0.000755803,TRBJCCB128F1485FA1,0.00139253,TRBHCRF128F42370DA,0.00127524,TRBMDSX128F92C208C,0.000813171,TRBFNVA12903CE42D7,0.00163261,TRBLYNT128F4221DEA,0.0562877,TRBKRSY128E07947FB,0.00117143,TRSIZTS128F4260044,0.000715924,TRSMKCK128E0791C66,0.0658474,TRSBSBF128E0784A42,0.163394,TRFYNNQ128F426000A,0.000626317,TRFAHAN128F423C60A,0.000712411,TRFBZET128F146875C,0.0323341,TRFFWHH128E07947FF,0.00111345,TREXNXF128F148BF14,0.0668097,TREOWBU12903CD15B5,0.0413535,TRENAGL128F426002E,0.000896889,TREDEMB128F426E232,0.974839,TREQRZU12903CD15CD,0.0468786,TRLSHLR128F92C490C,0.000755803,TRLFQKN128F146876B,0.0718515,TRLDGXG12903CC67EA,0.000780003,TRLPOPB128F4261EC6,0.000782461,TRLPWZH128F931E800,0.00122093,TRLWVVV128F428B180,0.00106357,TRLGKRX128F429A175,0.0425092,TRLTCCL12903CE439A,0.00122636,TRLUCFA128F146875B,0.0494696,TRPBYNX128E0791C6F,0.00345408,TRPNJBR128F931041B,0.0581838,TRPTAUE128F1480CA8,0.000621918,TRPKOAH128F423DC76,0.00150491,TRWXSEM128E078BE22,0.418196,TRWNZEY128F42A6E4D,0.00138707,TRWWSUD128F146D23C,0.00517552,TRWVPZU128F92CC908,0.00296508,TRZAUSE12903CE437E,0.00107913,TRGHLTY128F4268389,0.0109969,TRGRBCS128F42B765A,0.00127524,TRGPZTX128EF355C78,0.0457844,TRGGQRC12903CE4391,0.00114726,TRGQACN128F4260004,0.000814615,TRTYVLO12903CD15A6,0.0457642,TRTWTJQ128F930D062,0.00134162,TRTUMHE128E078194D,1,TRKCFAW128F92FF358,0.0152812,TRKSBUT128F4263F23,0.490887,TRKQVCS128F4221DEC,0.0267575,TRQXRKZ128E07947F9,0.00110761,TRQOXVG128F4260049,0.00801536,TRQWHNL128F149007A,0.99672,TRQWZYJ128F146DD4A,0.519496,TRQQELE128E0789459,0.00171703,TRQVMSG128E07947FE,0.00104683,TRUJIPJ12903CE42AE,0.00138117,TRUXNAQ128F1463ABE,0.211522,TRUSUCJ128EF355C87,0.0105324,TRUDJLD128F4221DE9,0.0578658,TRUEOAY128E078EAD0,0.00213202,TRUPTJJ128F42A6E40,0.0012205,TRUTOOZ128F421BE6E,0.0570045,TRUKUAP128F932CB49,0.000992563,TRVPEBE128F4215D34,0.00139253"
