id,gid,name,type,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,comment
15449,2913ad77-cec8-4d2f-98d3-d4aa46ab73bc,Greccio,4,0,2013-07-21 22:47:57.660809+00,\N,\N,\N,\N,\N,\N,f,
38,71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada,1,0,2013-05-27 13:15:52.179105+00,\N,\N,\N,\N,\N,\N,f,
43,82d5f4d6-aed4-3ff5-81d1-5363ac6e97a7,Chile,1,0,2013-05-27 12:52:17.320228+00,\N,\N,\N,\N,\N,\N,f,
44,7c81bb69-a99b-3487-b6d4-0f76d7a29ca0,China,1,0,2013-05-27 12:23:26.224204+00,\N,\N,\N,\N,\N,\N,f,
36,ee26e886-87f5-33a2-8e8e-f9591490426d,Cambodia,1,0,2013-05-27 12:26:51.100269+00,\N,\N,\N,\N,\N,\N,f,
78,d14441fe-3bce-34b5-aed5-dfbe987329c9,Gabon,1,0,2013-05-27 12:30:24.039854+00,\N,\N,\N,\N,\N,\N,f,
71,031eba2b-79b5-3314-a14b-288407ad42ab,Fiji,1,0,2013-05-27 12:32:56.369062+00,\N,\N,\N,\N,\N,\N,f,
70,9ed3be5f-d54c-3add-a6a6-76c0cca54fd8,Faroe Islands,1,0,2013-05-27 12:25:34.703672+00,\N,\N,\N,\N,\N,\N,f,
14,caac77d1-a5c8-3e6e-8e27-90b44dcc1446,Austria,1,0,2013-05-27 12:35:40.729344+00,\N,\N,\N,\N,\N,\N,f,
63,8e0551f2-95c2-3cc0-a0a9-f2d344f10667,Egypt,1,0,2013-05-27 12:37:11.328117+00,\N,\N,\N,\N,\N,\N,f,
42,6ce82d72-8123-3365-ab34-7b20581a34cf,Chad,1,0,2013-05-27 12:37:42.960389+00,\N,\N,\N,\N,\N,\N,f,
18,20395c3e-610c-34fd-9995-6b6f299121f2,Bangladesh,1,0,2013-05-27 12:42:54.092754+00,\N,\N,\N,\N,\N,\N,f,
34,5f886d01-5c12-3abb-b8be-d758b282ab05,Burkina Faso,1,0,2013-05-27 12:40:52.503929+00,\N,\N,\N,\N,\N,\N,f,
8,aca6cbc7-4f3b-3020-8de3-c21718fe24f1,Antarctica,1,0,2013-05-27 12:41:08.497395+00,\N,\N,\N,\N,\N,\N,f,
81,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Germany,1,0,2013-05-27 12:44:37.529747+00,\N,\N,\N,\N,\N,\N,f,
17,65f4f7a6-d3c1-3a6b-a726-85e147d555b7,Bahrain,1,0,2013-05-27 12:45:33.869648+00,\N,\N,\N,\N,\N,\N,f,
72,6a264f94-6ff1-30b1-9a81-41f7bfabd616,Finland,1,0,2013-05-27 12:46:50.235044+00,\N,\N,\N,\N,\N,\N,f,
67,e1c1215f-dcc0-35b4-b840-d2ca2151593b,Estonia,1,0,2013-05-27 12:48:27.302754+00,\N,\N,\N,\N,\N,\N,f,
19,e5d8d205-81d3-3cd3-8956-d5aaa0c0173f,Barbados,1,0,2013-05-27 12:48:52.741133+00,\N,\N,\N,\N,\N,\N,f,
76,8b681e01-6c95-3b24-ae60-5cdbcb1d7dce,French Polynesia,1,0,2013-05-27 12:51:51.903973+00,\N,\N,\N,\N,\N,\N,f,
47,02b60d8d-7164-339d-868d-22d147d9f74a,Colombia,1,0,2013-05-27 12:52:43.714099+00,\N,\N,\N,\N,\N,\N,f,
66,2005d841-29df-3445-8b5c-c981de756bd3,Eritrea,1,0,2013-05-27 12:54:03.331484+00,\N,\N,\N,\N,\N,\N,f,
39,41d328a3-01da-35c2-b26e-69c56d7121d1,Cape Verde,1,0,2013-05-27 12:54:54.258415+00,\N,\N,\N,\N,\N,\N,f,
51,ba544658-8266-36cb-ac0e-3bdfbf52cb00,Costa Rica,1,0,2013-05-27 12:55:48.611609+00,\N,\N,\N,\N,\N,\N,f,
25,2cbd5484-647d-3752-8acd-933ced4f9a24,Bhutan,1,0,2013-05-27 12:56:15.332282+00,\N,\N,\N,\N,\N,\N,f,
1949,aea4ef78-bbd1-4b0a-9cf4-c97020e22887,Borovnica,2,0,2013-06-05 06:46:34.631128+00,\N,\N,\N,\N,\N,\N,f,
54,b06c4e86-97f7-3419-84a9-a23c60ea0b22,Cuba,1,0,2013-05-27 12:57:44.334595+00,\N,\N,\N,\N,\N,\N,f,
37,bf132644-e3ee-3bfc-9323-7f82824e4945,Cameroon,1,0,2013-05-27 12:58:14.054761+00,\N,\N,\N,\N,\N,\N,f,
58,aa560de1-9e56-38ab-8d20-6133be7f3f2a,Djibouti,1,0,2013-05-27 13:02:27.765878+00,\N,\N,\N,\N,\N,\N,f,
22,6bf45af6-f1bf-357c-91b5-9593a9c32cb0,Belize,1,0,2013-05-27 12:58:53.039723+00,\N,\N,\N,\N,\N,\N,f,
28,e5e11b08-d26d-341c-af28-69d3c26607f7,Botswana,1,0,2013-05-27 13:04:10.715563+00,\N,\N,\N,\N,\N,\N,f,
79,52641fae-20e3-3698-9fa9-1849f2c79ab8,Gambia,1,0,2013-05-27 13:05:29.567379+00,\N,\N,\N,\N,\N,\N,f,
60,696cb3e0-5084-30ab-9916-65ece70adbf6,Dominican Republic,1,0,2013-05-27 13:07:37.926264+00,\N,\N,\N,\N,\N,\N,f,
75,bc6f4b9a-3b76-33ca-bde3-2ae452afe66a,French Guiana,1,0,2013-05-27 13:09:20.207295+00,\N,\N,\N,\N,\N,\N,f,
50,ef1ab25c-717b-30a8-8943-f9937aad8d1f,Cook Islands,1,0,2013-05-27 13:16:20.690009+00,\N,\N,\N,\N,\N,\N,f,
