id,area,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
45,2621,Saigon,\N,0,2013-05-23 23:14:46.692407+00,\N,Saigon,\N,\N,\N,\N,\N,\N,f,f
30,3821,City of Bristol,en,0,2013-05-21 15:18:03.17643+00,2,"Bristol, City of",\N,\N,\N,\N,\N,\N,f,f
12,243,USSR,\N,0,2013-05-16 10:20:05.158309+00,3,USSR,\N,\N,\N,\N,\N,\N,f,f
3,101,Islamic Republic of Iran,en,0,2013-05-15 18:14:33.988086+00,\N,"Iran, Islamic Republic of",\N,\N,\N,\N,\N,\N,f,f
13,243,СССР,\N,0,2013-05-16 10:20:33.65162+00,3,СССР,\N,\N,\N,\N,\N,\N,f,f
1,113,Republic of Korea,en,0,2013-05-15 18:16:49.806534+00,2,"Korea, Republic of",\N,\N,\N,\N,\N,\N,f,f
2,112,Democratic People's Republic of Korea,en,0,2013-05-15 18:18:09.514758+00,2,"Korea, Democratic People's Republic of",\N,\N,\N,\N,\N,\N,f,f
14,221,UK,\N,0,2013-05-16 11:06:19.67235+00,3,UK,\N,\N,\N,\N,\N,\N,f,f
31,4309,Alacant,ca,0,2013-05-22 14:07:07.364453+00,1,Alacant,\N,\N,\N,\N,\N,\N,t,f
5,26,Plurinational State of Bolivia,en,0,2013-05-15 18:18:40.542807+00,2,"Bolivia, Plurinational State of",\N,\N,\N,\N,\N,\N,f,f
15,324,Yukon Territory,\N,0,2013-05-17 22:21:05.135641+00,\N,Yukon Territory,\N,\N,\N,\N,\N,\N,f,f
46,3822,City of Edinburgh,en,0,2013-05-23 23:26:08.989902+00,2,"Edinburgh, City of",\N,\N,\N,\N,\N,\N,f,f
16,249,Palestinian Territory,\N,0,2013-05-18 15:38:33.338206+00,\N,Palestinian Territory,\N,\N,\N,\N,\N,\N,f,f
6,207,United Republic of Tanzania,en,0,2013-05-15 18:20:06.195971+00,2,"Tanzania, United Republic of",\N,\N,\N,\N,\N,\N,f,f
32,4322,Castelló,ca,0,2013-05-22 14:07:21.968517+00,1,Castelló,\N,\N,\N,\N,\N,\N,t,f
17,176,Russian Federation,en,0,2013-05-19 23:03:37.464377+00,2,Russian Federation,\N,\N,\N,\N,\N,\N,f,f
7,140,Republic of Moldova,en,0,2013-05-15 18:21:33.132565+00,2,"Moldova, Republic of",\N,\N,\N,\N,\N,\N,f,f
8,126,The Former Yugoslav Republic of Macedonia,en,0,2013-05-15 18:23:36.054188+00,\N,"Macedonia, The Former Yugoslav Republic of",\N,\N,\N,\N,\N,\N,f,f
18,176,Russia,en,0,2013-05-19 23:03:56.367979+00,1,Russia,\N,\N,\N,\N,\N,\N,f,f
9,126,Republic of Macedonia,en,0,2013-05-15 18:23:54.944213+00,\N,"Macedonia, Republic of",\N,\N,\N,\N,\N,\N,f,f
10,116,Lao People's Democratic Republic,en,0,2013-05-15 18:34:50.343183+00,\N,Lao People's Democratic Republic,\N,\N,\N,\N,\N,\N,f,f
33,4354,València,ca,0,2013-05-22 14:07:33.384138+00,1,València,\N,\N,\N,\N,\N,\N,t,f
20,1828,Comunitat Valenciana,ca,0,2013-05-20 22:28:31.929637+00,2,Comunitat Valenciana,\N,\N,\N,\N,\N,\N,t,f
