id,artist,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
125531,932664,Jared Kotler,en_US,0,2012-10-22 21:00:20.526211+00,2,"Kotler, Jared",\N,\N,\N,\N,\N,\N,t,f
38125,259,A T B,\N,0,2012-05-15 19:42:36.22088+00,1,A T B,\N,\N,\N,\N,\N,\N,f,f
160627,1234440,Yaka,\N,0,2015-05-18 21:04:44.720361+00,1,Yaka,\N,\N,\N,\N,\N,\N,f,f
125438,586849,Abraham Gilbert Stein,\N,0,2012-10-06 00:39:38.38725+00,2,"Stein, Abraham Gilbert",\N,\N,\N,\N,\N,\N,f,f
119415,651985,Harry Deal & The Galaxis,\N,0,2012-05-16 03:08:12.665011+00,\N,Harry Deal & The Galaxis,\N,\N,\N,\N,\N,\N,f,f
119417,324639,The Graham Bond Organization,\N,0,2012-05-16 04:08:13.542358+00,\N,The Graham Bond Organization,\N,\N,\N,\N,\N,\N,f,f
119418,68858,Deepac Ram,\N,0,2012-05-16 04:08:19.030152+00,\N,Deepac Ram,\N,\N,\N,\N,\N,\N,f,f
119419,253545,Pops Mohammed,\N,0,2012-05-16 04:08:22.024552+00,\N,Pops Mohammed,\N,\N,\N,\N,\N,\N,f,f
119746,696487,Christian Murariu,\N,0,2012-05-26 02:54:27.031197+00,2,"Murariu, Christian",\N,\N,\N,\N,\N,\N,f,f
125454,932111,Dina Vierny,\N,0,2012-10-20 15:00:07.559042+00,\N,Vierny,\N,\N,\N,\N,\N,\N,f,f
125529,124494,Casting Crows,\N,0,2012-10-08 20:00:15.083749+00,\N,Casting Crows,\N,\N,\N,\N,\N,\N,f,f
119759,486739,The Illinois Jacquet All Stars,\N,0,2012-05-26 12:08:23.032541+00,\N,The Illinois Jacquet All Stars,\N,\N,\N,\N,\N,\N,f,f
125439,623118,Konstantinos Jorma Hiekkanen,\N,0,2012-10-20 03:00:15.112475+00,2,"Hiekkanen, Konstantinos Jorma",\N,\N,\N,\N,\N,\N,f,f
125450,171033,Juhani Saksikäsi,\N,0,2012-10-06 10:00:15.620056+00,\N,Juhani Saksikäsi,\N,\N,\N,\N,\N,\N,f,f
125451,844017,Kadel & Finger,\N,0,2012-10-06 11:00:09.746133+00,\N,Kadel & Finger,\N,\N,\N,\N,\N,\N,f,f
119764,36327,Badel Powell,\N,0,2012-05-26 16:07:30.136165+00,\N,Badel Powell,\N,\N,\N,\N,\N,\N,f,f
119413,892848,Lorita Delacerna,\N,0,2012-05-30 00:56:32.9015+00,3,Lorita Delacerna,\N,\N,\N,\N,\N,\N,f,f
125453,910308,YDKM,\N,0,2012-10-06 11:58:47.623852+00,\N,YDKM,\N,\N,\N,\N,\N,\N,f,f
47521,115967,Herman Dune,\N,0,2015-02-18 01:01:59.224323+00,1,Herman Dune,2005,\N,\N,\N,\N,\N,f,f
119747,135222,Wayman Henry,\N,0,2012-06-09 08:00:08.638565+00,2,"Henry, Wayman",\N,\N,\N,\N,\N,\N,f,f
119748,135222,Waymon Henry,\N,0,2012-06-09 08:00:10.368572+00,2,"Henry, Waymon",\N,\N,\N,\N,\N,\N,f,f
119758,895032,Clara A. Thompson,\N,0,2012-06-09 11:00:13.488923+00,\N,"Thompson, Clara A.",\N,\N,\N,\N,\N,\N,f,f
119766,847628,Rebert H. Harris,\N,0,2012-06-09 18:00:10.863375+00,2,"Harris, Rebert H.",\N,\N,\N,\N,\N,\N,f,f
125474,932186,Yekta Hakan Polat,tr,0,2012-10-20 20:00:15.470728+00,1,"Polat, Yekta Hakan",\N,\N,\N,\N,\N,\N,f,f
160628,1234450,Insane One,\N,0,2015-05-18 21:29:42.986654+00,\N,Insane One,\N,\N,\N,\N,\N,\N,f,f
107166,807427,The Trips and Falls,en_CA,0,2012-06-12 10:12:49.001008+00,\N,The Trips and Falls,\N,\N,\N,\N,\N,\N,t,f
125540,247376,Mahala Raï Banda,\N,0,2012-10-23 03:00:11.329744+00,3,Mahala Raï Banda,\N,\N,\N,\N,\N,\N,f,f
125455,779206,Carin Liungman,\N,0,2012-10-06 15:12:05.221815+00,\N,"Liungman, Carin",\N,\N,\N,\N,\N,\N,f,f
125456,368848,Gints Žilinskis,lv,0,2012-10-06 16:24:33.652388+00,2,"Žilinskis, Gints",\N,\N,\N,\N,\N,\N,t,f
125479,219121,HOME MADE Kazoku,en,0,2012-10-21 03:00:13.333185+00,1,HOME MADE Kazoku,\N,\N,\N,\N,\N,\N,t,f
125541,228244,Denis Doeland,nl_NL,0,2012-10-23 07:00:09.432232+00,2,"Doeland, Denis",\N,\N,\N,\N,\N,\N,f,f
125475,926542,Влади́мир Анато́льевич Мато́рин,\N,0,2012-10-06 20:20:44.834156+00,3,Влади́мир Анато́льевич Мато́рин,\N,\N,\N,\N,\N,\N,f,f
125476,453293,The Love Supreme,\N,0,2012-10-07 00:00:14.888013+00,\N,The Love Supreme,\N,\N,\N,\N,\N,\N,f,f
125477,830459,Georg Anton Benda,\N,0,2012-10-07 00:05:44.353722+00,\N,Georg Anton Benda,\N,\N,\N,\N,\N,\N,f,f
125478,159158,Lykathé,\N,0,2012-10-07 00:44:42.491406+00,1,Lykathé,\N,\N,\N,\N,\N,\N,f,f
125500,932320,Bronislav Gimpel,\N,0,2012-10-21 15:00:16.170522+00,\N,"Gimpel, Bronislav",\N,\N,\N,\N,\N,\N,f,f
125542,932803,Deyun Cai,en,0,2012-10-23 11:00:07.110286+00,1,Deyun Cai,\N,\N,\N,\N,\N,\N,f,f
125481,932268,Vita Ivaškeviča-Prado,lv,0,2012-10-07 07:13:13.675476+00,2,"Ivaškeviča-Prado, Vita",\N,\N,\N,\N,\N,\N,t,f
125487,749469,Corona Stage School,\N,0,2012-10-07 08:57:29.512952+00,3,Corona Stage School,\N,\N,\N,\N,\N,\N,f,f
125545,932814,Yushan Qinpai,en,0,2012-10-23 12:00:10.408415+00,1,Yushan Qinpai,\N,\N,\N,\N,\N,\N,f,f
125488,275392,Orchester des Kirow-Theaters Leningrad,\N,0,2012-10-07 09:58:54.049439+00,3,Orchester des Kirow-Theaters Leningrad,\N,\N,\N,\N,\N,\N,f,f
125489,11800,Maggie Pie & The Impostors,\N,0,2012-10-07 11:05:20.007187+00,\N,Maggie Pie & The Impostors,\N,\N,\N,\N,\N,\N,f,f
125490,1,مختلف الفنانين,ar,0,2012-10-07 11:37:46.730041+00,\N,مختلف الفنانين,\N,\N,\N,\N,\N,\N,t,f
125550,932833,陈子昂,zh_Hans,0,2012-10-23 14:00:07.87147+00,2,陈子昂,\N,\N,\N,\N,\N,\N,f,f
125499,402867,Vadim Repin,en,0,2012-10-07 13:54:38.773599+00,1,"Repin, Vadim",\N,\N,\N,\N,\N,\N,t,f
125502,932327,Verley Mills,\N,0,2012-10-21 16:00:35.950672+00,\N,"Mills, Verley",\N,\N,\N,\N,\N,\N,f,f
125509,931613,Ben Nehlich,en,0,2012-10-22 00:00:13.943896+00,2,Ben Nehlich,1990,12,17,\N,\N,\N,f,f
125503,600249,Le Soldat Lebrun,\N,0,2012-10-07 18:34:58.230501+00,1,"Lebrun, Le Soldat",\N,\N,\N,\N,\N,\N,f,f
125571,932966,Alesha Dimitrievich,en,0,2012-10-24 03:00:10.40254+00,\N,"Dimitrievich, Alesha",\N,\N,\N,\N,\N,\N,f,f
125508,477482,Howard E. Johnson,en,0,2012-10-07 22:31:49.315762+00,2,"Johnson, Howard E.",\N,\N,\N,\N,\N,\N,f,f
125514,250385,Skinhead Rob,\N,0,2012-10-22 06:00:09.293733+00,\N,Skinhead Rob,\N,\N,\N,\N,\N,\N,f,f
125510,624965,Clas Bros.,\N,0,2012-10-08 01:57:47.505942+00,1,Clas Bros.,\N,\N,\N,\N,\N,\N,f,f
125511,932491,Kyoko Kuroda,en,0,2012-10-08 03:19:00.139781+00,1,"Kuroda, Kyoko",\N,\N,\N,\N,\N,\N,t,f
125515,932512,Ted Bloom,\N,0,2012-10-22 10:00:10.98306+00,\N,"Bloom, Ted",\N,\N,\N,\N,\N,\N,f,f
14112,177719,±çÀR¯ø,\N,0,2012-10-08 08:02:30.371877+00,3,±çÀR¯ø,\N,\N,\N,\N,\N,\N,f,f
125526,932542,Artie Drelinger,\N,0,2012-10-22 13:00:13.703457+00,\N,"Drelinger, Artie",\N,\N,\N,\N,\N,\N,f,f
125527,859050,Jeffrey M. Carp,\N,0,2012-10-22 17:00:27.762932+00,\N,"Carp, Jeffrey M.",\N,\N,\N,\N,\N,\N,f,f
125566,230724,Улдис Стабулниекс,ru,0,2012-10-09 18:05:46.294426+00,2,"Stabulnieks, Uldis",\N,\N,\N,\N,\N,\N,t,f
125567,461026,Kevork Norayr Demirciyan,\N,0,2012-10-09 19:00:07.263683+00,\N,Kevork Norayr Demirciyan,\N,\N,\N,\N,\N,\N,f,f
125127,929776,Roxanne Dawn,\N,0,2012-10-09 23:00:07.919548+00,\N,"Dawn, Roxanne",\N,\N,\N,\N,\N,\N,f,f
125577,933080,R.68,en_GB,0,2012-10-24 13:00:23.041752+00,1,R.68,\N,\N,\N,\N,\N,\N,f,f
125618,531650,Erik Thomas Tawaststjerna,\N,0,2012-10-12 04:45:00.46053+00,2,"Tawaststjerna, Erik Thomas",\N,\N,\N,\N,\N,\N,f,f
125574,733247,Goose,\N,0,2012-10-10 02:59:13.247197+00,3,Goose,\N,\N,\N,\N,\N,\N,f,f
125575,932907,Teppisti Dei,\N,0,2012-10-10 07:05:08.319025+00,\N,Teppisti Dei,\N,\N,\N,\N,\N,\N,f,f
125576,930452,Re-Presalia,\N,0,2012-10-10 08:05:36.127891+00,\N,Re-Presalia,\N,\N,\N,\N,\N,\N,f,f
125588,933160,Steve Di Stanislao,\N,0,2012-10-25 02:00:13.872438+00,1,"Di Stanislao, Steve",\N,\N,\N,\N,\N,\N,f,f
125578,931624,Rully Shabara & Wukir Suryadi,\N,0,2012-10-10 18:03:21.787633+00,\N,Rully Shabara & Wukir Suryadi,\N,\N,\N,\N,\N,\N,f,f
125579,931811,Delete aka Sergio Muñoz,\N,0,2012-10-10 18:03:45.087028+00,\N,Delete aka Sergio Muñoz,\N,\N,\N,\N,\N,\N,f,f
125580,712554,The Miguel Atwood-Ferguson,\N,0,2012-10-10 18:04:23.374219+00,\N,The Miguel Atwood-Ferguson,\N,\N,\N,\N,\N,\N,f,f
125581,9860,G. Puccini,\N,0,2012-10-10 18:05:06.650319+00,\N,G. Puccini,\N,\N,\N,\N,\N,\N,f,f
125582,764766,Marionettes,\N,0,2012-10-10 18:05:42.979994+00,\N,Marionettes,\N,\N,\N,\N,\N,\N,f,f
125583,289424,Mrs Woods,\N,0,2012-10-10 18:05:55.53787+00,\N,Mrs Woods,\N,\N,\N,\N,\N,\N,f,f
125586,725341,Cash,\N,0,2012-10-10 19:00:08.11131+00,\N,Cash,\N,\N,\N,\N,\N,\N,f,f
125584,933027,Noel Davies,\N,0,2012-10-10 20:50:14.975516+00,3,Noel Davies,\N,\N,\N,\N,\N,\N,f,f
143082,919673,佐藤聡美 (千反田える),\N,0,2014-01-15 23:00:30.49623+00,\N,"Satou, Satomi (Chitanda, Eru)",\N,\N,\N,\N,\N,\N,f,f
143083,919673,千反田える (C.V. 佐藤聡美),\N,0,2014-01-15 23:00:30.49623+00,\N,"Chitanda, Eru (C.V. Satou, Satomi)",\N,\N,\N,\N,\N,\N,f,f
125599,23385,Carl Nielson,\N,0,2012-10-11 10:28:31.097461+00,3,Carl Nielson,\N,\N,\N,\N,\N,\N,f,f
125595,933199,Hannu Eljas Mäkelä,\N,0,2012-10-25 08:00:09.893362+00,2,"Mäkelä, Hannu Eljas",\N,\N,\N,\N,\N,\N,f,f
125603,905495,Sukkerlyn,\N,0,2012-10-11 15:04:13.638216+00,\N,Sukkerlyn,\N,\N,\N,\N,\N,\N,f,f
125589,376650,Orquesta Filarmónica Nacional de Hungría,es,0,2012-10-11 02:30:40.641095+00,1,Orquesta Filarmónica Nacional de Hungría,\N,\N,\N,\N,\N,\N,f,f
125590,195209,Valdir Azevedo,\N,0,2012-10-11 05:41:58.708693+00,3,Valdir Azevedo,\N,\N,\N,\N,\N,\N,f,f
125634,2867,Orchestral Manœuvres in the Dark,\N,0,2012-10-27 04:00:34.04789+00,3,Orchestral Manœuvres in the Dark,\N,\N,\N,\N,\N,\N,f,f
125592,546855,Gino Redi,\N,0,2012-10-11 05:47:25.918421+00,3,Gino Redi,\N,\N,\N,\N,\N,\N,f,f
125594,216833,Russell Scott And His Red Hots,\N,0,2012-10-11 07:02:22.870391+00,\N,Russell Scott And His Red Hots,\N,\N,\N,\N,\N,\N,f,f
125606,933293,纪淑玲,zh,0,2012-10-25 17:00:12.222225+00,2,纪淑玲,\N,\N,\N,\N,\N,\N,f,f
125614,177978,Franck Alamo,\N,0,2012-10-11 23:05:27.150892+00,\N,Franck Alamo,\N,\N,\N,\N,\N,\N,f,f
125616,933361,이궐,\N,0,2012-10-12 01:35:06.33039+00,2,"Lee, Geol",\N,\N,\N,\N,\N,\N,f,f
125615,933358,지플라,\N,0,2012-10-12 00:56:33.106328+00,1,G.Fla,\N,\N,\N,\N,\N,\N,f,f
125617,145737,ALO (Animal Liberation Orchestra),\N,0,2012-10-12 04:01:30.296421+00,\N,ALO (Animal Liberation Orchestra),\N,\N,\N,\N,\N,\N,f,f
133775,120350,La Volée d'castor,\N,0,2013-05-15 21:01:06.545412+00,\N,"Volée d'castor, La",\N,\N,\N,\N,\N,\N,f,f
128425,249083,ハンス・ノイジトラー,ja_JP,0,2013-01-17 13:00:15.557908+00,1,ハンス・ノイジトラー,\N,\N,\N,\N,\N,\N,t,f
125623,718191,Andrew Caddick,\N,0,2012-10-12 09:37:19.388655+00,2,"Caddick, Andrew",\N,\N,\N,\N,\N,\N,f,f
125452,844017,Finger & Kadei,\N,0,2013-02-02 20:00:30.76908+00,\N,Finger & Kadei,\N,\N,\N,\N,\N,\N,f,f
125626,456014,John Feldman,\N,0,2012-10-12 18:00:12.381079+00,\N,John Feldman,\N,\N,\N,\N,\N,\N,f,f
133776,128397,Les Charboniers de l'Enfer,\N,0,2013-05-15 21:01:07.840041+00,\N,"Charboniers de l'Enfer, Les",\N,\N,\N,\N,\N,\N,f,f
