id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,time,type,cancelled,setlist,comment,edits_pending,last_updated,ended
1607,ebe6ce0f-22c0-4fe7-bfd4-7a0397c9fe94,"Taubertal-Festival 2004, Day 1",2004,8,13,2004,8,13,\N,2,f,,,0,2016-05-13 21:24:52.037707+00,t
20,5774273c-bb54-480e-89c3-1f71326402ed,Shakespeare Company Berlin at Ilmbühne,2014,8,15,2014,8,15,\N,1,f,,,0,2014-11-17 22:15:07.506879+00,t
1595,14084715-6306-4126-9062-865080e6db2d,「Kaléidoscope—天使の狂宴—」@ Zepp Osaka,2007,8,3,2007,8,3,\N,1,f,,,0,2014-12-10 21:49:37.613754+00,t
5,d801c6c8-7870-4506-9709-af3890bf1e74,BOB goes Matrix,2014,11,15,2014,11,15,20:00:00,1,f,,,0,2014-11-17 22:01:43.272856+00,t
21,18cc884c-d103-4c0c-ac56-a399de39bb2a,Shakespeare Company Berlin at Ilmbühne,2014,8,16,2014,8,16,\N,1,f,,,0,2014-11-17 22:15:41.81577+00,t
6,754aade5-d1b6-4370-aa3c-bed403047db8,Der Herr der Ringe - Die Rückkehr des Königs,2010,3,27,2010,3,27,\N,1,f,,,0,2014-11-17 22:05:26.392741+00,t
185,e5da1ced-df4f-4989-a851-7d849a50232b,恋のまほうは魔理沙におまかせ！2,2010,7,17,2010,7,17,\N,4,f,,,0,2014-11-17 23:36:49.575202+00,t
7,8a8ac6d6-3718-4244-8251-b1fdbfa2d929,Bonner Jazzchor at Pantheon Theater,2014,10,5,2014,10,5,\N,1,f,,,0,2014-11-17 22:11:35.930451+00,t
1606,a43f824a-1679-4453-9722-d9ab51fbc85a,MusicBrainz Summit 14,2014,9,26,2014,9,28,\N,\N,f,,,0,2014-12-18 13:00:34.106501+00,t
198,19a6a75e-730b-4460-8e21-2514eff8ca49,サンシャインクリエイション16,2002,6,16,2002,6,16,\N,4,f,,,0,2016-05-03 11:00:39.442107+00,t
