id,event,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
1,139,コミックマーケット72,ja,0,2014-11-17 22:57:58.021111+00,\N,コミックマーケット72,\N,\N,\N,\N,\N,\N,t,f
2,139,Comic Market 72,en,0,2014-11-17 22:58:07.578304+00,\N,Comic Market 72,\N,\N,\N,\N,\N,\N,t,f
117,195,M3-29,\N,0,2014-11-17 23:43:28.989159+00,\N,M3-29,\N,\N,\N,\N,\N,\N,f,f
3,139,C72,\N,0,2014-11-17 22:58:16.33613+00,\N,C72,\N,\N,\N,\N,\N,\N,f,f
4,139,Comiket 72,en,0,2014-11-17 22:58:25.298932+00,\N,Comiket 72,\N,\N,\N,\N,\N,\N,f,f
605,2174,Distant Worlds 2,\N,0,2015-01-04 14:27:07.484799+00,2,Distant Worlds 2,\N,\N,\N,\N,\N,\N,f,f
5,140,博麗神社例大祭（第3回）,ja,0,2014-11-17 22:58:45.074927+00,\N,博麗神社例大祭（第3回）,\N,\N,\N,\N,\N,\N,t,f
121,197,コミックマーケット67,ja,0,2014-11-17 23:44:26.577447+00,\N,コミックマーケット67,\N,\N,\N,\N,\N,\N,t,f
6,140,Hakurei Shrine Reitaisai 3,en,0,2014-11-17 22:58:54.93943+00,\N,Hakurei Shrine Reitaisai 3,\N,\N,\N,\N,\N,\N,t,f
7,140,Reitaisai 3,\N,0,2014-11-17 22:59:03.390792+00,\N,Reitaisai 3,\N,\N,\N,\N,\N,\N,f,f
542,1984,東京ゲームショウ2014,ja,0,2014-12-19 13:51:47.068171+00,1,東京ゲームショウ2014,\N,\N,\N,\N,\N,\N,t,f
8,142,博麗神社例大祭（第8回）,ja,0,2014-11-17 22:59:23.630971+00,\N,博麗神社例大祭（第8回）,\N,\N,\N,\N,\N,\N,t,f
128,199,コミックマーケット82,ja,0,2014-11-17 23:46:09.982843+00,\N,コミックマーケット82,\N,\N,\N,\N,\N,\N,t,f
9,142,Hakurei Shrine Reitaisai 8,en,0,2014-11-17 22:59:32.226037+00,\N,Hakurei Shrine Reitaisai 8,\N,\N,\N,\N,\N,\N,t,f
10,142,Reitaisai 8,\N,0,2014-11-17 22:59:40.805747+00,\N,Reitaisai 8,\N,\N,\N,\N,\N,\N,f,f
686,4690,Nova Rock 2015,\N,0,2015-06-12 15:00:32.049075+00,\N,Nova Rock 2015,\N,\N,\N,\N,\N,\N,f,f
11,143,M3-2001春,ja,0,2014-11-17 22:59:59.421827+00,\N,M3-2001春,\N,\N,\N,\N,\N,\N,t,f
129,199,Comic Market 82,en,0,2014-11-17 23:46:19.536405+00,\N,Comic Market 82,\N,\N,\N,\N,\N,\N,t,f
12,143,M3-2001 Spring,en,0,2014-11-17 23:00:08.827978+00,\N,M3-2001 Spring,\N,\N,\N,\N,\N,\N,t,f
13,143,M3-7,\N,0,2014-11-17 23:00:17.743507+00,\N,M3-7,\N,\N,\N,\N,\N,\N,f,f
612,2200,M3-1999秋,ja,0,2015-01-12 12:47:14.454107+00,1,M3-1999秋,\N,\N,\N,\N,\N,\N,t,f
138,202,Tokyo Game Show 2012,en,0,2014-11-17 23:48:38.776964+00,\N,Tokyo Game Show 2012,\N,\N,\N,\N,\N,\N,t,f
15,144,M3-27,\N,0,2014-11-17 23:00:52.917917+00,\N,M3-27,\N,\N,\N,\N,\N,\N,f,f
16,145,サンシャインクリエイション41,ja,0,2014-11-17 23:01:14.266986+00,\N,サンシャインクリエイション41,\N,\N,\N,\N,\N,\N,t,f
17,145,Sunshine Creation 41,en,0,2014-11-17 23:01:27.671804+00,\N,Sunshine Creation 41,\N,\N,\N,\N,\N,\N,t,f
147,205,Comic Market 84,en,0,2014-11-17 23:51:05.683884+00,\N,Comic Market 84,\N,\N,\N,\N,\N,\N,t,f
18,146,第二季 東方螺茶会,ja,0,2014-11-17 23:01:58.189463+00,\N,第二季 東方螺茶会,\N,\N,\N,\N,\N,\N,t,f
19,146,Touhou Spiral Tea Party 2,en,0,2014-11-17 23:02:19.921622+00,\N,Touhou Spiral Tea Party 2,\N,\N,\N,\N,\N,\N,t,f
20,148,COMIC1☆3,ja,0,2014-11-17 23:02:44.525776+00,\N,COMIC1☆3,\N,\N,\N,\N,\N,\N,t,f
157,208,Comic Market 66,en,0,2014-11-17 23:53:04.190688+00,\N,Comic Market 66,\N,\N,\N,\N,\N,\N,t,f
546,2087,ゲーム音楽コンサート5,ja,0,2014-12-28 06:02:42.15591+00,1,ゲーム音楽コンサート5,\N,\N,\N,\N,\N,\N,t,f
22,150,第三回 東方崇敬祭,ja,0,2014-11-17 23:03:38.554692+00,\N,第三回 東方崇敬祭,\N,\N,\N,\N,\N,\N,t,f
23,150,Touhou Suukeisai 3,en,0,2014-11-17 23:03:53.917323+00,\N,Touhou Suukeisai 3,\N,\N,\N,\N,\N,\N,t,f
168,212,M3-32,\N,0,2014-11-17 23:55:37.008839+00,\N,M3-32,\N,\N,\N,\N,\N,\N,f,f
24,152,COMIC1☆4,ja,0,2014-11-17 23:04:10.671612+00,\N,COMIC1☆4,\N,\N,\N,\N,\N,\N,t,f
25,153,博麗神社例大祭（第2回）,ja,0,2014-11-17 23:04:35.538422+00,\N,博麗神社例大祭（第2回）,\N,\N,\N,\N,\N,\N,t,f
208,224,Comiket 64,en,0,2014-11-18 00:03:49.180703+00,\N,Comiket 64,\N,\N,\N,\N,\N,\N,f,f
170,213,Touhou Kouroumu 9,en,0,2014-11-17 23:56:22.876191+00,\N,Touhou Kouroumu 9,\N,\N,\N,\N,\N,\N,t,f
556,1984,TGS 2014,\N,0,2014-12-29 02:50:28.515683+00,2,TGS 2014,\N,\N,\N,\N,\N,\N,f,f
171,214,コミックマーケット85,ja,0,2014-11-17 23:56:50.744886+00,\N,コミックマーケット85,\N,\N,\N,\N,\N,\N,t,f
179,209,M3-2006春,ja,0,2014-11-17 23:58:17.850066+00,1,M3-2006春,\N,\N,\N,\N,\N,\N,t,f
184,217,C65,\N,0,2014-11-17 23:59:07.030947+00,\N,C65,\N,\N,\N,\N,\N,\N,f,f
198,2154,M3-34,\N,0,2015-01-12 13:04:12.571381+00,\N,M3-34,\N,\N,\N,\N,\N,\N,f,f
189,219,コミックマーケット86,ja,0,2014-11-18 00:00:11.035372+00,\N,コミックマーケット86,\N,\N,\N,\N,\N,\N,t,f
648,2292,THE VOC@LOiD M@STER 3,ja,0,2015-01-17 02:37:39.364297+00,1,"VOC@LOiD M@STER 3, THE",\N,\N,\N,\N,\N,\N,t,f
201,223,コミックマーケット87,ja,0,2014-11-18 00:02:40.84741+00,\N,コミックマーケット87,\N,\N,\N,\N,\N,\N,t,f
205,224,コミックマーケット64,ja,0,2014-11-18 00:03:22.023115+00,\N,コミックマーケット64,\N,\N,\N,\N,\N,\N,t,f
