id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,label_code,type,area,comment,edits_pending,last_updated,ended
1,f43e252d-9ebf-4e8e-bba8-36d080756cc1,Deleted Label,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f
2,39c4dc0c-badb-4ac3-b810-e4f374dff6d9,Certificate 18,\N,\N,\N,\N,\N,\N,2592,4,221,,0,\N,f
103730,6f70a5cb-99a7-4a42-9208-412446d4aa0f,Flo Master Inc.,\N,\N,\N,\N,\N,\N,\N,4,222,,0,2015-05-18 20:41:54.551166+00,f
29683,ccbbf728-15b8-43ee-91b6-b06967ed7f83,Xunk,\N,\N,\N,\N,\N,\N,\N,4,73,,0,\N,f
15,90f4b73e-9367-4020-86c3-34ea4bb83014,Neurot Recordings,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
16711,1e742d6b-47ea-4e53-9c64-5813b2510463,Isma'a,\N,\N,\N,\N,\N,\N,\N,4,73,,0,\N,f
6,5e39ea9e-3d0f-4880-8ce2-fbe561241538,Svek,1996,\N,\N,\N,\N,\N,\N,4,202,,0,\N,f
7768,5fb67896-f6d3-49f5-a8de-65ff17ad2dbe,Rock n' Roll Radio,\N,\N,\N,\N,\N,\N,\N,\N,21,,0,\N,f
7,2df63d2e-6451-422d-a7e7-4e0a0550c81d,Candlelight Records,\N,\N,\N,\N,\N,\N,13005,4,221,,0,\N,f
9,1ead555f-78d5-4d8a-aab5-d69f4013a0ac,Ipecac Recordings,1999,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
1994,34f38504-2b2c-46a8-a8c0-6246dcc5416b,Impotent Fury,\N,\N,\N,\N,\N,\N,\N,3,221,,0,\N,f
1163,e59c5115-7ff1-42c3-8e1c-4c1c5af419d4,Kämäset levyt,\N,\N,\N,\N,\N,\N,\N,\N,72,,0,\N,f
961,44837b15-ecc6-4073-ac4a-8155e8975735,Lemon Recordings,\N,\N,\N,\N,\N,\N,\N,6,221,,0,\N,f
3633,f22675dc-a86b-4aca-a974-812e64764072,Fueradeserie!,\N,\N,\N,\N,\N,\N,\N,4,194,,0,\N,f
20105,57eb5445-e445-4dee-a643-eb32d1623b21,Idaho Music,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
990,38f744e6-8aba-4a58-9e15-f7fff52f983b,Insekten Records,\N,\N,\N,\N,\N,\N,\N,\N,81,,0,\N,f
1000,1fd11a35-c054-4e48-b818-cea745bdfcba,BCMK,\N,\N,\N,\N,\N,\N,\N,3,222,,0,\N,f
8558,e96caf8c-380e-4a9a-9d50-eb7b56366c59,Black Horizon Music,\N,\N,\N,\N,\N,\N,\N,\N,202,,0,\N,f
20,8e0b7011-4ae3-464a-b084-a8809026f5c0,Back on Black,\N,\N,\N,\N,\N,\N,\N,1,221,,0,\N,f
153,a9b4f729-03b5-4eca-99cc-866ad2ab80b5,Labels UK,\N,\N,\N,\N,\N,\N,\N,\N,221,,0,\N,f
21,e17ec241-66f3-4d84-a364-ec0d624651df,Plantage 13,\N,\N,\N,\N,\N,\N,\N,\N,81,,0,\N,f
19,3238bc4f-4a0c-4595-914a-15382d85a8ed,Modern Invasion Music,\N,\N,\N,\N,\N,\N,\N,1,13,,0,\N,f
47824,74014760-44e8-4f9a-a2bd-6479a8d52342,Sonimage,\N,\N,\N,\N,\N,\N,\N,4,221,,0,2010-06-03 10:45:40.430584+00,f
51112,dd30fff6-fa1e-4dd3-986a-aa2f7330e83d,SP Recordings,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,2010-09-29 08:45:23.569931+00,f
3,1c7d1f36-1b17-4ae4-8bf3-f51eaf59eca2,Gotee Records,1994,\N,\N,\N,\N,\N,\N,3,222,,0,\N,f
4392,79c5468b-32d2-4125-bb56-eba9d56fd268,Deathwish Office,\N,\N,\N,\N,\N,\N,\N,3,81,,0,\N,f
1013,0e4027d6-7826-4082-b1be-41c59f30e982,Estrus Records,1990,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
46895,d19446f5-cf8a-4f1c-b95c-e56cccbf57d0,Donut Boy Recordings,\N,\N,\N,\N,\N,\N,\N,4,222,,0,2010-05-02 08:31:57.718393+00,f
8424,64fb5131-8214-4622-b986-e93bddb60b6a,Surrender All,\N,\N,\N,\N,\N,\N,\N,4,221,,0,\N,f
26,af64e67e-e3e9-4bc3-bb1a-f8c23f285b31,InsideOut Music,\N,\N,\N,\N,\N,\N,1414,4,81,,0,\N,f
1021,d7e2bbc5-e1ea-4120-8ea6-58337b0e9d85,Out of Print,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
