id,label,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
6476,68034,4-Eyed Freak Remastering,\N,0,2012-06-06 09:50:00.044285+00,1,4-Eyed Freak Remastering,\N,\N,\N,\N,\N,\N,f,f
6410,620,Interscape Records,\N,0,2012-05-16 19:08:27.551288+00,\N,Interscape Records,\N,\N,\N,\N,\N,\N,f,f
6411,27538,Halahup,\N,0,2012-05-16 21:08:08.309846+00,\N,Halahup,\N,\N,\N,\N,\N,\N,f,f
6436,1020,ANTI Records,\N,0,2012-06-06 11:05:25.367702+00,2,ANTI Records,\N,\N,\N,\N,\N,\N,f,f
6412,33515,A&R Records,\N,0,2012-05-17 10:12:23.372535+00,\N,A&R Records,\N,\N,\N,\N,\N,\N,f,f
6413,33226,Temple of Darkness,\N,0,2012-05-17 20:07:36.319298+00,\N,Temple of Darkness,\N,\N,\N,\N,\N,\N,f,f
6414,6263,Viva Music,\N,0,2012-05-18 09:18:54.401466+00,\N,Viva Music,\N,\N,\N,\N,\N,\N,f,f
6415,732,Reciever Records,\N,0,2012-05-20 08:09:13.976518+00,\N,Reciever Records,\N,\N,\N,\N,\N,\N,f,f
5812,51693,Pilot6 Recordings,\N,0,2012-05-20 19:34:15.596197+00,2,Pilot6 Recordings,\N,\N,\N,\N,\N,\N,f,f
6489,2334,Pickwick International,en_US,0,2012-06-22 19:00:11.685219+00,1,Pickwick International,\N,\N,\N,\N,\N,\N,t,f
1045,55741,FSOE,\N,0,2012-05-20 21:33:24.33547+00,2,FSOE,\N,\N,\N,\N,\N,\N,f,f
6482,17393,L\\'autre distribution,\N,0,2012-06-08 09:07:36.127422+00,\N,L\\'autre distribution,\N,\N,\N,\N,\N,\N,f,f
6419,390,R&S Records,\N,0,2012-05-21 19:08:47.797196+00,\N,R&S Records,\N,\N,\N,\N,\N,\N,f,f
6420,5549,In-Akustik,\N,0,2012-05-22 06:07:29.858389+00,\N,In-Akustik,\N,\N,\N,\N,\N,\N,f,f
6422,33388,Creole (Rhino),\N,0,2012-05-22 06:10:09.665116+00,\N,Creole (Rhino),\N,\N,\N,\N,\N,\N,f,f
6423,3131,Code 666,\N,0,2012-05-22 20:08:49.413842+00,\N,Code 666,\N,\N,\N,\N,\N,\N,f,f
6444,67822,AhieveGroupDN,\N,0,2012-06-12 14:00:07.880368+00,2,AhieveGroupDN,\N,\N,\N,\N,\N,\N,f,f
6424,29835,Seraphim Records,\N,0,2012-05-23 01:23:46.024495+00,\N,Seraphim Records,\N,\N,\N,\N,\N,\N,f,f
6427,2231,Vice,\N,0,2012-05-23 11:00:11.132493+00,\N,Vice,\N,\N,\N,\N,\N,\N,f,f
19280,30747,インディペンデントコロムビア,ja,0,2015-02-06 06:45:25.362184+00,1,インディペンデントコロムビア,\N,\N,\N,\N,\N,\N,f,f
6429,2508,Vanguard Recording Society,\N,0,2012-05-23 21:00:56.477341+00,\N,Vanguard Recording Society,\N,\N,\N,\N,\N,\N,f,f
6430,49777,More Than Alot Records,\N,0,2012-05-23 21:05:24.446765+00,\N,More Than Alot Records,\N,\N,\N,\N,\N,\N,f,f
6431,24551,Imbecil Entertaiment,\N,0,2012-05-23 21:07:44.192439+00,\N,Imbecil Entertaiment,\N,\N,\N,\N,\N,\N,f,f
6483,35895,SM Gold,\N,0,2012-06-08 12:53:01.962215+00,2,SM Gold,\N,\N,\N,\N,\N,\N,f,f
5674,40535,Universal Music Catalogue,\N,0,2012-05-23 21:59:34.1839+00,\N,Universal Music Catalogue,\N,\N,\N,\N,\N,\N,f,f
19100,98178,게임월드,ko,0,2014-12-19 03:18:57.874206+00,1,게임월드,\N,\N,\N,\N,\N,\N,t,f
6433,18397,Document,\N,0,2012-05-25 19:10:06.798236+00,\N,Document,\N,\N,\N,\N,\N,\N,f,f
6485,995,Universal Music (Belgium),\N,0,2012-06-08 18:06:18.242608+00,\N,Universal Music (Belgium),\N,\N,\N,\N,\N,\N,f,f
6434,35680,A.D. Music,\N,0,2012-05-25 20:48:43.670548+00,\N,A.D. Music,\N,\N,\N,\N,\N,\N,f,f
6435,4659,Pronoize,\N,0,2012-05-26 12:08:37.618891+00,\N,Pronoize,\N,\N,\N,\N,\N,\N,f,f
6474,22100,BMG Australia Limited,\N,0,2012-06-19 12:00:07.76511+00,1,BMG Australia Limited,\N,\N,\N,\N,\N,\N,f,f
6486,30362,Whitefield Records,\N,0,2012-06-08 18:06:18.940518+00,\N,Whitefield Records,\N,\N,\N,\N,\N,\N,f,f
6437,65681,B.Mind Records,\N,0,2012-05-26 15:55:43.69476+00,\N,B.Mind Records,\N,\N,\N,\N,\N,\N,f,f
6475,7001,Good Records Recordings,\N,0,2012-06-19 23:00:09.723454+00,1,Good Records Recordings,\N,\N,\N,\N,\N,\N,f,f
6440,6553,Ace Records Ltd,\N,0,2012-05-27 09:00:08.662281+00,\N,Ace Records Ltd,\N,\N,\N,\N,\N,\N,f,f
6479,22422,Flavour,\N,0,2012-06-22 08:00:11.34609+00,2,Flavour,\N,\N,\N,\N,\N,\N,f,f
19388,100858,Hithouse Productions BV,\N,0,2015-03-01 11:21:29.840689+00,1,Hithouse Productions BV,\N,\N,\N,\N,\N,\N,f,f
6487,1352,Universal Music Australian,\N,0,2012-06-08 18:06:19.743789+00,\N,Universal Music Australian,\N,\N,\N,\N,\N,\N,f,f
6493,51770,"KT MUSIC Co., Ltd.",\N,0,2012-06-23 11:00:08.122195+00,\N,"KT MUSIC Co., Ltd.",\N,\N,\N,\N,\N,\N,f,f
6494,51770,KT 뮤직,\N,0,2012-06-23 11:00:21.920546+00,\N,KT 뮤직,\N,\N,\N,\N,\N,\N,f,f
19389,100866,Le Mans Recordings,\N,0,2015-03-01 18:04:14.700581+00,2,Le Mans Recordings,\N,\N,\N,\N,\N,\N,f,f
6488,37318,Express Records (3),\N,0,2012-06-08 18:06:26.158982+00,\N,Express Records (3),\N,\N,\N,\N,\N,\N,f,f
6446,37161,Sony BMG Special Markets,\N,0,2012-06-01 07:12:12.254883+00,2,Sony BMG Special Markets,\N,\N,\N,\N,\N,\N,f,f
6448,5494,Vicor Records,\N,0,2012-06-01 10:00:17.017516+00,\N,Vicor Records,\N,\N,\N,\N,\N,\N,f,f
6449,40124,AudioPorn,\N,0,2012-06-02 11:00:13.670722+00,\N,AudioPorn,\N,\N,\N,\N,\N,\N,f,f
6450,40053,LoDubs,\N,0,2012-06-02 23:03:30.80364+00,\N,LoDubs,\N,\N,\N,\N,\N,\N,f,f
6451,34363,eOne Music,\N,0,2012-06-02 23:05:17.955463+00,\N,eOne Music,\N,\N,\N,\N,\N,\N,f,f
6452,40720,Insurgence,\N,0,2012-06-03 17:08:06.680301+00,\N,Insurgence,\N,\N,\N,\N,\N,\N,f,f
6453,67980,grrove time records,\N,0,2012-06-03 17:08:08.534735+00,\N,grrove time records,\N,\N,\N,\N,\N,\N,f,f
6417,5833,Chair Kickers' Music,\N,0,2012-06-04 00:00:10.305707+00,2,Chair Kickers' Music,\N,\N,\N,\N,\N,\N,f,f
6498,51762,West Norwood Cassette Library Recordings,\N,0,2012-06-24 02:00:16.98536+00,\N,West Norwood Cassette Library Recordings,\N,\N,\N,\N,\N,\N,f,f
6454,65892,"Sounds Marketing System, Inc.",\N,0,2012-06-04 01:04:38.851842+00,\N,"Sounds Marketing System, Inc.",\N,\N,\N,\N,\N,\N,f,f
6455,19435,Stunt,\N,0,2012-06-04 03:06:31.813795+00,\N,Stunt,\N,\N,\N,\N,\N,\N,f,f
6457,66097,Bakerteam,\N,0,2012-06-04 03:07:45.783919+00,\N,Bakerteam,\N,\N,\N,\N,\N,\N,f,f
6458,63879,Art Parade Records,\N,0,2012-06-04 04:07:44.901276+00,\N,Art Parade Records,\N,\N,\N,\N,\N,\N,f,f
6459,63933,urbanravesounds,\N,0,2012-06-04 04:07:45.118232+00,\N,urbanravesounds,\N,\N,\N,\N,\N,\N,f,f
6460,795,Chrysalis Records Limited,\N,0,2012-06-04 04:07:46.013575+00,\N,Chrysalis Records Limited,\N,\N,\N,\N,\N,\N,f,f
15972,55632,Star Empire Entertainment,en,0,2015-03-12 04:29:12.00216+00,1,Star Empire Entertainment,\N,\N,\N,\N,\N,\N,t,f
6463,8437,Ninebar,\N,0,2012-06-04 12:00:22.457286+00,\N,Ninebar,\N,\N,\N,\N,\N,\N,f,f
6418,52706,Milan Entertainment,\N,0,2012-06-04 13:00:09.47343+00,\N,Milan Entertainment,\N,\N,\N,\N,\N,\N,f,f
6464,4,Rhino France,\N,0,2012-06-04 15:09:36.21029+00,\N,Rhino France,\N,\N,\N,\N,\N,\N,f,f
6465,4,Rhino UK,\N,0,2012-06-04 15:09:36.21029+00,\N,Rhino UK,\N,\N,\N,\N,\N,\N,f,f
6428,100872,WEAミュージック株式会社,\N,0,2015-03-10 00:01:27.435017+00,1,WEAミュージック株式会社,\N,\N,\N,\N,\N,\N,f,f
6467,56859,Blood,\N,0,2012-06-04 15:12:11.062558+00,\N,Blood,\N,\N,\N,\N,\N,\N,f,f
19447,101339,Pet A Bits Records,\N,0,2015-03-15 17:59:38.185751+00,\N,Pet A Bits Records,\N,\N,\N,\N,\N,\N,f,f
6469,16520,Belle,\N,0,2012-06-04 15:12:31.26921+00,\N,Belle,\N,\N,\N,\N,\N,\N,f,f
6471,65909,Music Missions Internationall,\N,0,2012-06-04 15:13:28.205119+00,\N,Music Missions Internationall,\N,\N,\N,\N,\N,\N,f,f
6472,1698,Sony Camden,\N,0,2012-06-04 15:13:28.331052+00,\N,Sony Camden,\N,\N,\N,\N,\N,\N,f,f
6473,6990,DanceTerin,\N,0,2012-06-04 15:13:35.550576+00,\N,DanceTerin,\N,\N,\N,\N,\N,\N,f,f
6867,16587,KHY,\N,0,2012-10-06 10:49:30.00593+00,2,KHY,\N,\N,\N,\N,\N,\N,f,f
6426,3267,Independant release,\N,0,2012-09-23 19:00:20.784785+00,2,Independant release,\N,\N,\N,\N,\N,\N,f,f
6492,6461,Candymind,\N,0,2012-06-09 09:00:10.513907+00,\N,Candymind,\N,\N,\N,\N,\N,\N,f,f
7115,74787,Kohinoor,\N,0,2013-01-03 12:45:25.770126+00,2,Kohinoor,\N,\N,\N,\N,\N,\N,f,f
6497,7795,Tragic Heros Records,\N,0,2012-06-09 17:04:10.271575+00,\N,Tragic Heros Records,\N,\N,\N,\N,\N,\N,f,f
6439,67754,Risqué Disque,\N,0,2012-06-09 22:00:17.397118+00,1,Risqué Disque,\N,\N,\N,\N,\N,\N,f,f
7736,38156,SunStation,\N,0,2013-05-15 21:01:09.52142+00,\N,SunStation,\N,\N,\N,\N,\N,\N,f,f
6499,55989,Heads Up,\N,0,2012-06-10 11:10:22.755326+00,\N,Heads Up,\N,\N,\N,\N,\N,\N,f,f
