gid,new_id,created
50b83275-dc81-45f9-b3ae-1ae43da39d1a,366,2011-05-16 14:57:06.530063+00
feccf416-faa6-4c4a-9821-f9594ec5248c,357,2011-05-16 14:57:06.530063+00
0ece1680-ab59-40c9-8e93-e658c39df65e,568,2011-05-16 14:57:06.530063+00
eb04c886-e352-40ed-8bb6-60cc1cf6b6a1,491,2011-05-16 14:57:06.530063+00
5baf126b-acb5-4c64-9258-24f5aeeddcea,600,2011-05-16 14:57:06.530063+00
57a8d134-2d52-442b-a986-bce384e1e736,411,2011-05-16 14:57:06.530063+00
aa4473c6-34c0-4a66-9ab0-bbd1fc125510,645,2011-05-16 14:57:06.530063+00
6980b240-41a5-4199-a93f-83a6dcdefa67,1093,2011-05-16 14:57:06.530063+00
72f1cf99-ebef-4349-a3ec-e1f811f52bc5,67,2011-05-16 14:57:06.530063+00
9bf18fd0-bdd9-4cc7-9148-534bafbb14a4,172,2011-05-16 14:57:06.530063+00
2daf86fe-b0ca-49a0-b4f1-781f2ac3c9e3,159,2011-05-16 14:57:06.530063+00
036cb6c1-ab6c-43be-b849-a5a1e25f496d,159,2011-05-16 14:57:06.530063+00
46d5f736-dee8-46d2-a06e-665a92d4aa11,542,2011-05-16 14:57:06.530063+00
9f76514d-7baa-4a4f-8c38-411157239f2f,1307,2011-05-16 14:57:06.530063+00
fedc17f0-aa15-4936-ab91-55a6b2753ead,4,2011-05-16 14:57:06.530063+00
25a7f1ac-66d5-4859-b8cd-b23568d5a030,378,2011-05-16 14:57:06.530063+00
b2e3fe0e-ec95-47f2-9b6b-43d5df50720b,1705,2011-05-16 14:57:06.530063+00
e96920d6-ea91-4dd0-9116-90baac17593d,2177,2011-05-16 14:57:06.530063+00
938f3356-0fda-4fb2-81f2-31a68935c46f,27,2011-05-16 14:57:06.530063+00
a6795c69-4b08-4542-88fd-127221cebed9,878,2011-05-16 14:57:06.530063+00
9559ea48-1e6d-443a-89ce-a6e77fed4bba,1268,2011-05-16 14:57:06.530063+00
ff2954d0-bb10-4b53-8160-9a03257760a0,256,2011-05-16 14:57:06.530063+00
791bf760-c2f9-4793-a7b8-e0a414ed63a5,1519,2011-05-16 14:57:06.530063+00
eeaacaae-73bd-48f4-85a3-2bbad6f5383c,2315,2011-05-16 14:57:06.530063+00
37b1cc5f-a55b-42d7-92f8-f86ff2cd6b7b,2398,2011-05-16 14:57:06.530063+00
a4f6b4b9-979d-43f5-ba65-2abd62576fec,2033,2011-05-16 14:57:06.530063+00
d0627f69-1a14-4d9a-8a55-281a0566b8d1,2489,2011-05-16 14:57:06.530063+00
1119bf0f-e74d-49e9-9056-1ee90e6b0c77,2126,2011-05-16 14:57:06.530063+00
6fbc3455-5f15-4144-af4a-0f24230bd526,95,2011-05-16 14:57:06.530063+00
e0b59f16-8d4d-4968-9033-92a7557e349a,3770,2011-05-16 14:57:06.530063+00
7275911f-28be-4a87-8d37-e6a0d778ef11,787,2011-05-16 14:57:06.530063+00
13cff12b-ce2d-4b21-92de-f1f877a0aa3b,347,2011-05-16 14:57:06.530063+00
83dc3c6a-1799-4cf8-bec8-3bd10716dea6,3176,2011-05-16 14:57:06.530063+00
a28120b3-7c29-414e-872c-3c696107c181,3308,2011-05-16 14:57:06.530063+00
1711d6fd-8902-416c-ad04-d4f14a73488a,3273,2011-05-16 14:57:06.530063+00
3bf8877d-d5dd-4b73-a791-703a48e66872,2386,2011-05-16 14:57:06.530063+00
e004149f-3e03-442a-9b0f-04419367f394,4,2011-05-16 14:57:06.530063+00
b62ac4ae-a0d5-42da-acc3-0892b5c11b47,2105,2011-05-16 14:57:06.530063+00
96993ca0-c623-4c3a-8fb9-d76ba7053b90,2143,2011-05-16 14:57:06.530063+00
402a8684-ba5f-4a7f-b283-c2ddadc32f05,467,2011-05-16 14:57:06.530063+00
a4d4d685-d154-4369-9cd5-e49df5122ae6,4412,2011-05-16 14:57:06.530063+00
b1c76538-6b46-4ad9-9014-65ef63b73c23,888,2011-05-16 14:57:06.530063+00
15b17fb5-150f-4fb8-88f7-d149fdd407f5,4,2011-05-16 14:57:06.530063+00
c5144984-adad-46f6-8b3b-891b7b8784cc,112,2011-05-16 14:57:06.530063+00
5f952c5a-9c55-4c54-8f84-3ffc0c25ed37,582,2011-05-16 14:57:06.530063+00
afb97d26-dc8f-45fe-a582-fc7334c7e216,879,2011-05-16 14:57:06.530063+00
c1c1c905-e942-4d2e-b2fa-a471ae6c6465,2093,2011-05-16 14:57:06.530063+00
2d525dce-557e-48e9-904b-d6c0e05c63de,3853,2011-05-16 14:57:06.530063+00
0bd3c08f-fb8e-4c88-8dd7-611079098d32,4349,2011-05-16 14:57:06.530063+00
80f66c44-4e6f-4e75-967b-2339e1d595cd,155,2011-05-16 14:57:06.530063+00
93c97c99-dfba-4a75-9fa0-9d6a71073439,155,2011-05-16 14:57:06.530063+00
8cdb7684-d342-4874-b811-f33ba680fc73,28,2011-05-16 14:57:06.530063+00
29f23dee-dd4f-4976-a13c-1c376a6baded,4642,2011-05-16 14:57:06.530063+00
97be09c0-175f-433b-bcd8-4a279d17c325,187,2011-05-16 14:57:06.530063+00
42556e01-efab-4e4a-9e4a-d884cb3071c8,647,2011-05-16 14:57:06.530063+00
e6255efc-3758-4ce9-bd43-0a2806ba979c,639,2011-05-16 14:57:06.530063+00
e543a880-04b3-4eb7-8b24-a1a3c1a501ca,2476,2011-05-16 14:57:06.530063+00
aeb39a51-2182-41bd-b7f8-9c36d86854f3,3395,2011-05-16 14:57:06.530063+00
c277a06c-ec85-4907-a1b2-724222ad43cf,123,2011-05-16 14:57:06.530063+00
4859dd1e-afc4-41bc-8fa1-53a315ed3f81,1929,2011-05-16 14:57:06.530063+00
3d2173bb-f3a3-40d6-bfa8-861b7727e1d8,1902,2011-05-16 14:57:06.530063+00
3b010c23-dda2-400d-8c61-bea89df8cc43,4307,2011-05-16 14:57:06.530063+00
f3fb5822-af81-4cdc-ac1a-0b71e5ffd3e0,1393,2011-05-16 14:57:06.530063+00
b0135428-7d91-40aa-8e90-ba2b34abccb6,851,2011-05-16 14:57:06.530063+00
29df048d-1f8d-4636-82fb-5dd72c2a0760,2275,2011-05-16 14:57:06.530063+00
72a0b9aa-0068-419e-95e4-34975dd35ed4,3284,2011-05-16 14:57:06.530063+00
f2f35ee9-5478-497c-a17f-0662f36dc280,6518,2011-05-16 14:57:06.530063+00
1637c767-c728-4ad5-b97d-c0a9d7de6025,943,2011-05-16 14:57:06.530063+00
b593ac95-fd1c-4a20-8431-b0a90a48a49e,373,2011-05-16 14:57:06.530063+00
0db108bc-f86f-4a84-bc17-067781b81b02,3255,2011-05-16 14:57:06.530063+00
3fd470c9-2b13-4397-b1aa-e6e6acdd7825,449,2011-05-16 14:57:06.530063+00
54ef81dc-1c97-44f3-a5be-9124f5fffa9e,487,2011-05-16 14:57:06.530063+00
8fc0aa33-d37f-47d6-bd1d-c619d86ced3d,10,2011-05-16 14:57:06.530063+00
5ebac8e0-fd48-4389-9aa5-abcff65f0b82,1207,2011-05-16 14:57:06.530063+00
8ba20f80-16d2-42dd-91a7-ed1677ff26b1,6927,2011-05-16 14:57:06.530063+00
3f11b02d-a0fe-40c0-a300-3b1a26dc850a,5585,2011-05-16 14:57:06.530063+00
c8aef163-83a9-4ed0-a198-10d639965421,5647,2011-05-16 14:57:06.530063+00
8a84d382-1197-401f-94f1-21b8524ec4df,5716,2011-05-16 14:57:06.530063+00
e268b42d-89b4-47a0-ab68-d0ca44b0e17f,5647,2011-05-16 14:57:06.530063+00
cbb1bf2b-bdcf-4aaf-bb7e-212206150b6d,7328,2011-05-16 14:57:06.530063+00
b68a7f6a-d86c-4339-a267-5e90a06a952d,1835,2011-05-16 14:57:06.530063+00
0e59c12c-2442-47b2-9841-1e264e4c839f,1378,2011-05-16 14:57:06.530063+00
4a19776a-c5ac-433f-a0a8-5e614abcb804,2566,2011-05-16 14:57:06.530063+00
629adf20-e724-42b4-92d0-1a5d26f5ba24,2840,2011-05-16 14:57:06.530063+00
ceafb13b-b84c-4120-a329-ee74d96b43bb,25,2011-05-16 14:57:06.530063+00
4b8a3d39-03c1-4dc8-a5d1-e2ac01191167,1830,2011-05-16 14:57:06.530063+00
a851571f-82a6-4187-a7a1-6a04c01ff5fa,547,2011-05-16 14:57:06.530063+00
2ca3da9b-ebd6-4015-a9c9-aa5c3b09f0ce,6069,2011-05-16 14:57:06.530063+00
30b8eda3-2280-43aa-91c5-5eaf5a3e4b57,1297,2011-05-16 14:57:06.530063+00
94413c3d-2a70-406d-828b-5e5d844d5884,2784,2011-05-16 14:57:06.530063+00
