id,release,position,format,name,edits_pending,last_updated,track_count
288902,288902,1,1,,0,2011-05-16 14:57:06.530063+00,9
600623,600623,1,1,,0,2011-05-16 14:57:06.530063+00,9
600626,600626,1,1,,0,2011-05-16 14:57:06.530063+00,9
600627,600627,1,6,,0,2011-05-16 14:57:06.530063+00,9
7716,7716,1,1,,0,2011-05-16 14:57:06.530063+00,9
23301,23301,1,1,,0,2011-05-16 14:57:06.530063+00,12
10018,10018,1,\N,,0,2011-05-16 14:57:06.530063+00,16
63822,63822,1,1,,0,2011-05-16 14:57:06.530063+00,12
225710,225710,1,\N,,0,2011-05-16 14:57:06.530063+00,10
252429,252429,1,1,,0,2011-05-16 14:57:06.530063+00,10
384122,384122,1,31,,0,2011-05-16 14:57:06.530063+00,4
51613,51613,1,1,,0,2011-05-16 14:57:06.530063+00,13
809440,809440,1,1,,0,2011-05-16 14:57:06.530063+00,13
369088,369088,1,31,,0,2012-04-15 04:54:43.416659+00,4
1160309,1144203,1,\N,,0,2012-04-09 04:49:45.685906+00,3
1199932,1178334,1,1,,0,2012-07-17 15:29:57.703361+00,4
829849,829849,1,1,,0,2011-05-16 14:57:06.530063+00,9
27070,27070,1,1,,0,2011-05-16 14:57:06.530063+00,12
287747,287747,1,1,,0,2011-05-16 14:57:06.530063+00,10
2780,2780,1,1,,0,2011-05-16 14:57:06.530063+00,10
287750,287750,1,8,,0,2011-05-16 14:57:06.530063+00,10
287749,287749,1,1,,0,2011-05-16 14:57:06.530063+00,10
10983,10983,1,1,,0,2011-05-16 14:57:06.530063+00,11
459168,459168,1,1,,0,2011-05-16 14:57:06.530063+00,11
492514,492514,1,1,,0,2011-05-16 14:57:06.530063+00,10
10981,10981,1,1,,0,2011-05-16 14:57:06.530063+00,10
551731,551731,1,1,,0,2011-05-16 14:57:06.530063+00,10
289833,289833,1,1,,0,2011-05-16 14:57:06.530063+00,14
725681,725681,1,1,,0,2011-05-16 14:57:06.530063+00,9
101121,101121,1,1,,0,2011-05-16 14:57:06.530063+00,13
3407,3407,1,\N,,0,2011-05-16 14:57:06.530063+00,12
230,230,1,1,,0,2011-05-16 14:57:06.530063+00,12
464175,464175,1,1,,0,2011-05-16 14:57:06.530063+00,12
662760,662760,1,1,,0,2011-05-16 14:57:06.530063+00,15
808876,808876,1,1,,0,2011-05-16 14:57:06.530063+00,12
1611707,1539351,2,19,,0,2014-12-19 12:41:58.214228+00,8
639828,639828,1,1,,0,2011-05-16 14:57:06.530063+00,8
9121,9121,1,\N,,0,2011-05-16 14:57:06.530063+00,16
242537,242537,1,1,,0,2011-05-16 14:57:06.530063+00,16
596796,596796,1,1,,0,2011-05-16 14:57:06.530063+00,16
672405,672405,1,1,,0,2011-05-16 14:57:06.530063+00,16
383730,383730,1,1,,0,2011-05-16 14:57:06.530063+00,10
1246531,1219491,1,1,,0,2012-11-13 13:25:11.217268+00,2
326726,326726,1,1,,0,2011-05-16 14:57:06.530063+00,9
884817,884817,1,1,,0,2011-10-30 13:32:12.994908+00,15
344834,344834,1,1,,0,2011-05-16 14:57:06.530063+00,20
4816,4816,1,1,,0,2011-05-16 14:57:06.530063+00,20
1710,1710,1,1,,0,2011-05-16 14:57:06.530063+00,11
835767,835767,1,12,,0,2011-05-16 14:57:06.530063+00,4
574591,574591,1,1,,0,2011-05-16 14:57:06.530063+00,12
18486,18486,1,1,,0,2011-05-16 14:57:06.530063+00,17
13691,13691,1,1,,0,2011-05-16 14:57:06.530063+00,17
120412,120412,1,1,,0,2011-05-16 14:57:06.530063+00,17
120413,120413,1,1,,0,2011-05-16 14:57:06.530063+00,17
1042290,1042290,1,12,,0,2011-05-17 08:00:05.179885+00,4
948451,948451,1,31,,0,2012-11-19 16:02:26.535361+00,10
600903,600903,1,31,,0,2012-11-13 14:00:22.321109+00,10
144835,144835,1,\N,,0,2011-05-16 14:57:06.530063+00,15
201021,201021,1,\N,,0,2011-05-16 14:57:06.530063+00,16
31524,31524,1,1,,0,2011-05-16 14:57:06.530063+00,12
297582,297582,1,8,,0,2011-05-16 14:57:06.530063+00,11
106246,106246,1,1,,0,2011-05-16 14:57:06.530063+00,11
8312,8312,1,1,,0,2011-05-16 14:57:06.530063+00,11
22773,22773,1,1,,0,2011-05-16 14:57:06.530063+00,4
7651,7651,1,1,,0,2013-02-17 14:00:45.79493+00,13
8067,8067,1,1,,0,2011-05-16 14:57:06.530063+00,11
33863,33863,1,1,,0,2011-05-16 14:57:06.530063+00,11
567923,567923,1,1,,0,2011-05-16 14:57:06.530063+00,11
6924,6924,1,1,,0,2011-05-16 14:57:06.530063+00,10
33839,33839,1,1,,0,2011-05-16 14:57:06.530063+00,10
19702,19702,1,1,,0,2011-05-16 14:57:06.530063+00,10
318524,318524,1,1,,0,2011-05-16 14:57:06.530063+00,99
318526,318526,1,1,,0,2011-05-16 14:57:06.530063+00,99
6808,6808,1,1,,0,2011-05-16 14:57:06.530063+00,99
318528,318528,1,1,,0,2011-05-16 14:57:06.530063+00,99
318525,318525,1,1,,0,2011-05-16 14:57:06.530063+00,99
318529,318529,1,1,,0,2011-05-16 14:57:06.530063+00,99
680228,680228,1,1,,0,2011-05-16 14:57:06.530063+00,99
283051,283051,1,1,,0,2011-05-16 14:57:06.530063+00,10
3435,3435,1,1,,0,2011-05-16 14:57:06.530063+00,5
47158,47158,1,31,,0,2011-05-16 14:57:06.530063+00,9
1422453,1372856,1,12,,0,2014-01-06 21:14:22.301581+00,1
709966,709966,1,7,,0,2011-05-16 14:57:06.530063+00,11
709967,709967,1,7,,0,2011-05-16 14:57:06.530063+00,11
1046754,1046037,1,1,,0,2011-06-16 02:00:05.661406+00,3
42877,42877,1,1,,0,2012-08-14 06:00:30.133509+00,20
22426,22426,1,1,,0,2011-09-05 17:00:08.677543+00,16
505278,505278,1,1,,0,2011-09-05 17:00:08.911597+00,16
569173,569173,1,1,,0,2011-10-22 12:00:08.434088+00,16
286698,286698,1,1,,0,2011-05-16 14:57:06.530063+00,11
153355,153355,1,1,,0,2012-06-26 22:17:36.891701+00,9
12647,12647,1,1,,0,2011-05-16 14:57:06.530063+00,9
8021,8021,1,1,,0,2011-09-04 00:41:03.667091+00,12
1708,1708,1,25,,0,2011-05-16 14:57:06.530063+00,13
588082,588082,1,31,,0,2011-05-16 14:57:06.530063+00,8
2102,2102,1,1,,0,2011-05-16 14:57:06.530063+00,12
9837,9837,1,1,,0,2011-05-16 14:57:06.530063+00,15
424217,424217,1,1,,0,2011-05-16 14:57:06.530063+00,20
19973,19973,1,1,,0,2011-05-16 14:57:06.530063+00,11
1072268,1068020,1,1,"Greetings From Asbury Park, N.J.",0,2011-09-05 17:00:11.630028+00,9
