id,name,parent,child_order,year,has_discids,description,gid
1,CD,\N,0,1982,t,\N,9712d52a-4509-3d4b-a1a2-67c88c643e31
2,DVD,\N,4,1995,f,\N,2875c583-4580-3a90-b723-ba1b39921e23
3,SACD,\N,5,1999,t,\N,5c9021b5-aecf-3339-b78e-c7bbe427c342
4,DualDisc,\N,6,2004,t,\N,564fb227-66af-356e-a4c6-f0a3f806fcd1
6,MiniDisc,\N,7,1992,f,\N,671c5ed4-20e3-3a62-b6ea-f155cde04258
8,Cassette,\N,3,1964,f,\N,f5e6e254-8f39-331c-936b-9c69d686dc47
12,Digital Media,\N,2,\N,f,\N,907a28d9-b3b2-3ef6-89a8-7b18d91d4794
17,HD-DVD,\N,9,\N,f,\N,d13fa46d-9a5f-36b4-9d7d-fcdc12b71dce
20,Blu-ray,\N,8,\N,f,\N,c693c05b-3316-3d69-afc2-5e2bc455bffc
22,VCD,\N,11,\N,f,\N,f74cb37d-d0a8-3df3-bb69-04b70361259a
28,UMD,\N,12,\N,f,\N,7c4397a2-1b00-35c0-8dbe-f06c474df4b8
51,Flexi-disc,7,3,1962,f,"Flexi-discs are phonograph records made of a thin, flexible vinyl sheet with a molded-in groove, designed to be playable on a normal phonograph turntable.",400e26c7-dc10-308c-991f-55c49d40f8d1
5,LaserDisc,13,0,1978,f,\N,8383eae1-ae79-30c2-8753-a7ed615ead84
9,Cartridge,13,0,1962,f,\N,2b240bc1-a4d7-34de-928f-f85e372751bd
10,Reel-to-reel,13,0,1935,f,\N,58016447-3617-3da2-b1d0-7646c2a7797e
11,DAT,13,0,1976,f,\N,0bef8b9c-f1f8-3f49-a737-dde52fb120ea
14,Wax Cylinder,13,0,1877,f,\N,329b3584-ff79-39fa-b234-7dafdd29fb7e
15,Piano Roll,13,0,1883,f,\N,a6408521-bf0e-3b68-9f35-32ff1c609ab8
16,DCC,13,0,1992,f,\N,dc560160-b9a5-3579-9c07-5920e815455a
23,SVCD,22,0,\N,f,\N,368f05ec-97d2-320f-9057-7a69962e5fa8
25,HDCD,1,0,\N,t,\N,8759db4e-8451-33c0-8a8f-05e5f95f192e
29,"7"" Vinyl",7,0,\N,f,\N,1d5a48e4-e94a-36dc-84e2-0c5f9f880aa7
30,"10"" Vinyl",7,1,\N,f,\N,3155d2b6-52fd-3952-bda3-bd7c429d038d
31,"12"" Vinyl",7,2,\N,f,\N,3e9080b0-5e6c-34ab-bd15-f526b6306a64
18,DVD-Audio,2,0,\N,f,\N,9d7fa8ab-3bb4-36f6-a8c6-b7eed946fc4b
19,DVD-Video,2,1,\N,f,\N,bb71fd58-ff93-32b4-a201-4ad1b2a80e5f
33,CD-R,1,1,\N,t,\N,18805d5b-ff3a-3bc0-9b1f-188cc06415c8
34,8cm CD,1,2,1982,t,\N,86071488-c73d-31f9-be48-5795cb490c86
35,Blu-spec CD,1,3,\N,t,\N,038ec24e-5d01-3a8c-817e-c51a515b1875
36,SHM-CD,1,4,\N,t,\N,4856b1c6-674d-3f68-a1dd-8ae517e8b566
37,HQCD,1,5,\N,t,\N,fb8e91c7-16e3-3e29-98be-1dda0a473146
39,CD+G,1,6,\N,t,\N,f59d2658-7fa7-377e-b2f1-fda418284d2c
40,8cm CD+G,39,0,\N,t,\N,9f11c690-3b69-3585-9c40-1558d3ecb5ce
26,USB Flash Drive,13,0,\N,f,\N,d9a5f2e3-6a87-3f0b-9623-95d60d94faff
41,CDV,\N,11,1987,t,\N,da35a223-d4da-3a29-8a86-b50462452b72
42,Enhanced CD,1,0,\N,t,\N,8a08dc62-1aa2-34de-a904-fa467c53052c
43,Data CD,1,0,\N,f,\N,37cceb6f-7ca2-321f-b2c5-12312a1a1df1
44,DTS CD,1,0,1997,t,\N,ccacd435-d33f-3104-98c9-cbe04d037c36
52,"7"" Flexi-disc",51,0,1962,f,\N,da961db2-0ec7-316d-b6f4-5fddba1ca401
21,VHS,13,0,\N,f,\N,ec44fdc0-739e-386a-818c-dafa1215b487
24,Betamax,13,0,\N,f,\N,783f6231-1113-306a-9730-31f788027ffb
45,Playbutton,13,0,2011,f,\N,aa6e7005-53d9-3793-a5bd-c5372a3981c3
46,Music Card,13,0,\N,f,\N,11cad59d-0f90-387f-88a2-752afeb88f5d
49,"3.5"" Floppy Disk",13,0,1983,f,\N,a9527198-e02a-31e3-be3d-3b88e26a59c9
50,Edison Diamond Disc,13,0,1912,f,\N,1a3a0a66-3c79-3cf9-b7be-fedb00d5ec1d
48,VinylDisc,13,0,2007,t,\N,fb6e30d8-db2b-3424-a560-dd4146370886
62,SD Card,\N,14,1999,f,\N,25637275-fb7c-3315-b8a8-f561bef283fc
27,slotMusic,62,0,\N,f,\N,2c8efa62-d96c-356e-a28f-ccaf4117e67e
13,Other,\N,99,\N,t,\N,3408c8ed-b520-3a80-be3b-7fa855665346
53,Shellac,\N,13,1895,f,Shellac records were the most predominant type of gramophone record during the first half of the 20th century.,1278c691-269c-3238-8bef-4582921ad7ff
54,"10"" Shellac",53,1,\N,f,\N,6954724d-b8f3-39a4-b724-d2eec6ac674b
55,"12"" Shellac",53,2,\N,f,\N,af174b17-9469-3771-9555-115ae415e587
56,"7"" Shellac",53,0,\N,f,\N,682f97ed-517e-3a86-ad66-33f98e864346
7,Vinyl,\N,1,1940,f,\N,10e17707-9751-3aaf-95b2-2432acd5374c
57,SHM-SACD,3,0,\N,t,\N,6714d4b0-5669-354c-84fa-22d1f1a0fcae
59,VHD,13,0,1983,f,Video High Density (VHD) was a videodisc format which was marketed predominantly in Japan by JVC.,cc98ca24-3ae0-35fd-b311-94e0423a78a7
58,Pathé disc,13,0,1906,f,"90 rpm, vertical-cut shellac discs, produced by the Pathé label from 1906 to 1932.",34cc287c-c448-3fe4-90d6-ed3a6fa35fe5
60,CED,13,0,1981,f,"The Capacitance Electronic Disc (CED) is an analog video disc playback system developed by RCA, in which video and audio could be played back on a TV set using a special needle and high-density groove system similar to phonograph records.",38910592-1be4-371d-b34d-2df852c8b9ea
61,Copy Control CD,1,0,\N,t,Copy Control CD (CCCD) is an umbrella term for CDs released circa 2001-2006 containing software that is ostensibly designed to prevent the CD from being ripped. There are a number of software variants: the most well-known are Macrovision's Cactus Data Shield (CDS) and SunnComm's MediaMax.,1a648190-5c75-3b74-b8c5-8150c97af0f5
38,Hybrid SACD,3,0,1999,t,\N,8a756eda-09f6-3381-8fac-15065c7d5ed9
63,Hybrid SACD (CD layer),38,0,1999,t,The CD layer of a hybrid SACD. The SACD layer should be added as a separate medium.,1a168dbd-d7ce-381d-a38a-3948de2cb4d6
64,Hybrid SACD (SACD layer),38,1,1999,f,The SACD layer of a hybrid SACD. The CD layer should be added as a separate medium.,2ee0ef3d-5c51-37ec-bbd9-0dcd72005174
65,DualDisc (DVD-Audio side),4,2,2004,f,The DVD (audio) layer of a DualDisc. The CD layer should be added as a separate medium.,8b96a5a6-0f07-3095-8cb9-a85e888acd46
66,DualDisc (DVD-Video side),4,1,2004,f,The DVD (video) layer of a DualDisc. The CD layer should be added as a separate medium.,bd5365d8-3790-3a72-8cd8-480dc12ec483
67,DualDisc (CD side),4,0,2004,t,The CD layer of a DualDisc. The DVD layer should be added as a separate medium.,1582d6aa-7109-377c-a124-c016facccb10
68,DVDplus (DVD-Audio side),47,2,2005,f,The DVD (audio) layer of a DVDplus. The CD layer should be added as a separate medium.,d38fffa4-87b1-3ec8-8dae-8d739ec1f300
69,DVDplus (DVD-Video side),47,1,2005,f,The DVD (audio) layer of a DVDplus. The CD layer should be added as a separate medium.,ccef53b5-d41a-391b-b1b3-9ca9a96498e6
70,DVDplus (CD side),47,0,2005,t,The CD layer of a DVDplus. The DVD layer should be added as a separate medium.,d047545e-c13a-33b4-a1cc-4cc12d6e28c6
47,DVDplus,13,0,2005,t,\N,9e52c71a-e9e2-3386-87f7-3111f3e8934b
71,"8"" LaserDisc",5,0,1978,f,\N,1bb6e33f-6ff6-4449-b407-04cc7a598945
72,"12"" LaserDisc",5,0,1978,f,\N,fc50ccd4-86fd-4697-8a20-dabe98d62ad5
