id,gid,name,type,address,area,coordinates,comment,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended
11376,caa66bca-1a61-493c-90ef-342784f822c1,Dunedin Muso's Club,2,"12 Manse St, Dunedin, New Zealand 9016",5430,\N,,0,2015-05-19 03:41:51.076028+00,1974,\N,\N,\N,\N,\N,f
11377,d22f0929-169f-4053-a118-c5f29aa9aa1b,Joseph James Studios,1,,68702,\N,,0,2015-05-19 05:31:27.008206+00,2007,\N,\N,\N,\N,\N,f
2657,a308a7f3-3767-4527-bb19-65e6ace6124f,Lovelite Studios,1,,326,\N,,0,2013-11-17 22:29:22.422748+00,\N,\N,\N,\N,\N,\N,f
1164,4ed4324c-2210-45da-bf67-2118257dd925,Louis de Geer konsert & kongress,2,"Dalsgatan 15, 602 32 Norrköping, Sweden",13049,"(58.588056,16.184444)",,0,2013-11-09 20:44:31.532017+00,1994,\N,\N,\N,\N,\N,f
1170,e2a96859-820e-49ab-a16a-4487db1d8c28,Volksbühne am Rosa‐Luxemburg‐Platz,2,"Linienstraße 227, 10178 Berlin",326,"(52.526944,13.411944)",,0,2013-10-19 21:21:02.125792+00,\N,\N,\N,\N,\N,\N,f
1161,88f4fdcb-c7a7-4df3-bd7d-9b02a8cb2a32,Many Rooms Music,1,"Agoura, California",22398,\N,,0,2013-10-19 13:43:04.784818+00,\N,\N,\N,\N,\N,\N,f
1196,3a5f6792-4d0d-4220-b090-21223f6389ec,Solar Powered Plastic Plant,1,424 North Larchmont Boulevard,7703,"(34.078342,-118.323342)",,0,2013-10-20 02:03:43.419153+00,\N,\N,\N,\N,\N,\N,f
775,bd55aeb7-19d1-4607-a500-14b8479d3fed,Abbey Road Studios,1,"3 Abbey Road, St John's Wood, London",66431,"(51.53192,-0.17835)",,0,2013-12-09 22:04:09.98801+00,1931,\N,\N,\N,\N,\N,f
1159,1a63e705-d145-4f77-a737-18d4e0a99f47,Warwick Arts Centre,2,"University of Warwick, Gibbet Hill Road, Coventry, CV4 7AL",3917,"(52.379955,-1.561376)",,0,2013-11-20 11:38:45.877116+00,1974,\N,\N,\N,\N,\N,f
1144,948e6cdc-d0ac-4aa6-b615-d35d695514ae,Finnlevy Studio,1,,7713,\N,,0,2013-10-19 03:43:42.174629+00,\N,\N,\N,\N,\N,\N,t
729,4352063b-a833-421b-a420-e7fb295dece0,Royal Albert Hall,2,"Kensington Gore, London SW7 2AP",3893,"(51.500944,-0.177436)",,0,2013-10-18 18:54:01.525405+00,1871,\N,\N,\N,\N,\N,f
800,5a82dc6b-6deb-4489-bc2a-b223842fec11,Turock,2,"Viehofer Platz 3, 45127 Essen",7714,"(51.46143,7.01386)",,0,2013-10-18 14:22:33.684589+00,\N,\N,\N,\N,\N,\N,f
1208,36ba61e0-6c79-415b-8515-aaa3bd55fa34,Ancienne Belgique,2,"Boulevard Anspach 110, 1000 Bruxelles",1793,"(50.8472,4.34873)",,0,2013-10-27 11:00:27.010132+00,\N,\N,\N,\N,\N,\N,f
1224,e438fad8-c828-4cb7-a7a7-fece087ce442,Salami Studios,1,Cambridge,7307,\N,,0,2013-10-20 17:30:25.266976+00,\N,\N,\N,\N,\N,\N,f
1145,d675eab9-6556-4d71-9000-5773f15a1ec4,Finnscandia Studio,1,,7713,\N,,0,2013-10-19 05:12:26.617298+00,\N,\N,\N,\N,\N,\N,f
1146,026a5d1c-073a-4203-ad86-3e824a666371,John Dee Live Club & Pub,2,"Torggata 16, 0181",358,"(59.915826,10.750344)",,0,2013-10-19 08:27:20.071368+00,\N,\N,\N,\N,\N,\N,f
1147,7b28a909-e7a5-4e3c-bfe3-04d20310af46,Sentrum Scene,2,"Arbeidersamfunnets plass 1, 0181",358,"(59.915522,10.751808)",,0,2013-10-19 08:45:00.68392+00,\N,\N,\N,\N,\N,\N,f
1166,4c7f9fff-e073-467e-9f73-eb5f3b4d4dca,Bernie Grundman Mastering,1,"1640 North Gower Street, Hollywood, CA 90028-6518",39882,"(34.100941,-118.322006)",,0,2014-05-04 19:00:17.386783+00,1984,\N,\N,\N,\N,\N,f
1154,f0ff8c7b-d32e-48a6-a324-b81239b891c8,Nya paviljongen,2,"Läntinen koulupolku 3, FI-02700 Kauniainen, Finland",9601,"(60.213884,24.722891)",,0,2013-11-08 19:24:09.245163+00,2002,\N,\N,\N,\N,\N,f
1152,b56977c6-b12f-4d47-b519-23d22f2b0926,Laurentius-sali,2,"Kirkkokatu 6, FI-08100 Lohja, Finland",9602,"(60.253806,24.06547)",,0,2013-11-08 19:19:18.503572+00,1982,\N,\N,\N,\N,\N,f
778,d5a1558f-dd13-4500-9589-4dac22325c68,Voxit Studio,1,"Hämeenlinna, Finland",9598,\N,,0,2013-10-17 15:19:22.542599+00,1987,\N,\N,2012,\N,\N,t
796,f05c1b0a-c1d0-4b41-8065-d3ab0d28be11,MTC,2,"Zülpicher Straße 10, 50674 Köln",7954,"(50.93006,6.93863)",,0,2013-10-18 14:30:33.017784+00,\N,\N,\N,\N,\N,\N,f
1171,73ecaf8e-c8e5-4660-a8a7-f8fac12ca2f4,Henry Wood Hall,2,"Trinity Church Square, London SE1 4HU",1178,"(51.498611,-0.093894)",London,0,2013-10-20 00:42:27.425252+00,1975,\N,\N,\N,\N,\N,f
1167,9d39d8f8-cdf0-4660-9c9a-ce45ba9d96bb,Theater der Keller,2,"Kleingedankstraße 6, 50677 Köln",7954,"(50.92291,6.950741)",,0,2013-10-19 18:46:05.529391+00,\N,\N,\N,\N,\N,\N,f
795,3de49d2a-26f9-42b8-9c59-7182abad748c,Matrix,2,"Hauptstraße 200, 44892 Bochum",7717,"(51.47132,7.32409)",,0,2015-11-21 11:03:26.527639+00,2000,4,8,\N,\N,\N,f
1202,7646162e-4ab0-4910-929d-fb4750e9651d,Le Dôme,2,"48 Avenue de Saint-Just, 13004",30620,"(43.31525,5.40445)",,0,2013-10-20 13:37:28.215423+00,1994,\N,\N,\N,\N,\N,f
1182,de48a175-f230-47ef-96d6-15cd00d02844,Katedra św. Marii Magdaleny we Wrocławiu,3,Wroclaw,5104,"(51.109444,17.034722)","St. Mary Magdalene Church, Wroclaw",0,2013-10-20 00:58:30.366167+00,1300,\N,\N,\N,\N,\N,f
797,82403c7e-9eb1-4aac-8928-c953066e4cf9,Museumsplatz,3,"Museumsmeile, Friedrich-Ebert-Allee, 53113 Bonn",7023,"(50.714766,7.121624)",,0,2013-10-27 20:49:17.483801+00,1997,\N,\N,2012,\N,\N,t
5721,65dab308-fdae-419f-8457-61f4cf50fbfc,Sky Studio,1,,\N,\N,,0,2014-05-27 09:02:22.177467+00,\N,\N,\N,\N,\N,\N,f
1205,a878a6ac-02d0-440c-8794-67c1fe73efc9,The Jazz Café,2,"5 Parkway, London NW1 7PG",30634,"(51.538752,-0.143179)",,0,2013-10-20 09:03:33.389785+00,\N,\N,\N,\N,\N,\N,f
1207,a61f47e3-50eb-40fc-9550-41e5fef84ef1,Paard van Troje,2,"Prinsegracht 12, 2512 GA Den Haag",5242,"(52.074722,4.3075)",,0,2013-10-20 09:51:28.893983+00,\N,\N,\N,\N,\N,\N,f
1210,09870318-d3cd-457b-85c6-c1745733c6e9,Media Sound Studios,1,"Øresundsvej 4, kld., 2300 København",7712,"(55.65812,12.60865)",Danish studio,0,2013-10-20 11:14:25.959826+00,1977,\N,\N,\N,\N,\N,f
1225,ecef7b1c-785b-4639-a90d-54f47b5ce66e,KAUE,2,"Wilhelminenstraße 176, 45881 Gelsenkirchen",23737,"(51.517539,7.068581)",,0,2013-10-20 18:01:42.718203+00,\N,\N,\N,\N,\N,\N,f
1206,de783c37-cab5-4c6a-9122-4d5966f73e3c,Ranch Bowl,2,"1600 S 72nd St Omaha, NE 68124",7287,"(41.244329,-96.024329)",,0,2013-10-20 17:10:59.610177+00,1978,\N,\N,2005,\N,\N,t
784,2056ad56-cea9-4536-9f2d-58765a38829c,Finnvox Studios,1,"Arinatie 8, FI-00370 Helsinki, Finland",7713,"(60.221348,24.851049)",,0,2013-11-08 19:01:33.783922+00,1965,\N,\N,\N,\N,\N,f
799,1ad553ee-dcf4-4c3a-977f-e36ffe97f56e,Palladium,2,"Schanzenstrasse 40, 51063 Köln",7954,"(50.96934,7.01698)",,0,2013-10-18 14:26:13.040978+00,\N,\N,\N,\N,\N,\N,f
1149,41f78858-a31e-4891-af86-f8f1c66243c9,Aubitt Studios,1,"35 Channels Farm Road, Swaythling, Southampton, Hampshire, SO16 2PF",3992,"(50.94375,-1.37749)",,0,2013-10-27 07:22:05.248023+00,2002,\N,\N,\N,\N,\N,f
1168,0e681b82-8961-4874-94db-e4b566b6db7a,Republic,2,"Anton‐Neumayr‐Platz 2, 5020 Salzburg, Austria",5249,"(47.80102,13.039328)",,0,2013-11-10 19:05:29.064424+00,\N,\N,\N,\N,\N,\N,f
1245,77907ccc-134a-4644-badb-8a4cefd7735b,Amsterdam Mastering,1,"Stammerkamp 18, 1112 VH Diemen",\N,"(52.330674,4.986535)",,0,2013-10-20 20:59:30.90758+00,\N,\N,\N,\N,\N,\N,f
1256,8bda6fd4-38bd-4df3-8ef7-6570ae532ae2,Radio Bremen Sendesaal,1,"Bürgermeister‐Spitta‐Allee 45, 28329 Bremen",23698,"(53.083889,8.872778)",,0,2013-10-20 22:15:33.451208+00,1952,\N,\N,2008,\N,\N,t
