id,place,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
1179,3049,L’Église Notre–Dame–du–Liban,\N,0,2014-01-08 11:01:18.567966+00,\N,L’Église Notre–Dame–du–Liban,\N,\N,\N,\N,\N,\N,f,f
291,1144,Finnlevy-studiot,\N,0,2013-10-19 03:43:42.174629+00,\N,Finnlevy-studiot,\N,\N,\N,\N,\N,\N,f,f
320,1199,State Academic Mariinsky Theatre,en,0,2013-10-20 02:26:39.348351+00,1,State Academic Mariinsky Theatre,\N,\N,\N,\N,\N,\N,f,f
292,1145,Finnscandia Studios,\N,0,2013-10-19 05:12:26.617298+00,\N,Finnscandia Studios,\N,\N,\N,\N,\N,\N,f,f
4,774,Hämeenlinnan Sound Supreme Oy,\N,0,2013-10-17 15:17:39.936731+00,\N,Hämeenlinnan Sound Supreme Oy,\N,\N,\N,\N,\N,\N,f,f
2354,11387,Salle Montansier,fr,0,2015-05-19 12:06:49.589976+00,1,Salle Montansier,\N,\N,\N,\N,\N,\N,f,t
26,796,MTC,de,0,2013-10-17 15:28:09.002092+00,1,MTC,\N,\N,\N,\N,\N,\N,t,f
493,1419,Sumida Triphony Hall,en,0,2013-10-24 17:28:06.361569+00,1,Sumida Triphony Hall,\N,\N,\N,\N,\N,\N,t,f
295,1155,Rovaniemi Church,en,0,2013-10-19 13:14:43.688435+00,1,Rovaniemi Church,\N,\N,\N,\N,\N,\N,t,f
353,1288,SKE48劇場,ja,0,2013-10-21 17:51:27.368293+00,1,エスケーイーフォーティーエイトシアター,\N,\N,\N,\N,\N,\N,t,f
27,797,Museumsplatz,de,0,2013-10-17 15:28:36.295147+00,1,Museumsplatz,\N,\N,\N,\N,\N,\N,t,f
83,826,Church of the Cross,en,0,2013-10-17 15:47:24.171181+00,1,Church of the Cross,\N,\N,\N,\N,\N,\N,t,f
367,1300,St. Thomas Center,en,0,2013-10-21 20:27:34.879199+00,1,St. Thomas Center,\N,\N,\N,\N,\N,\N,f,f
478,1410,Niigata-City Performing Arts Center Studio A,en,0,2013-10-31 17:00:14.741103+00,1,Niigata-City Performing Arts Center Studio A,\N,\N,\N,\N,\N,\N,f,f
28,799,Palladium,de,0,2013-10-17 15:28:48.321245+00,1,Palladium,\N,\N,\N,\N,\N,\N,t,f
300,1178,Daegu Opera House,en,0,2013-10-20 00:52:43.913336+00,1,Daegu Opera House,\N,\N,\N,\N,\N,\N,t,f
404,1388,Slovak Radio Building,\N,0,2013-10-23 22:49:47.409687+00,2,Slovak Radio Building,\N,\N,\N,\N,\N,\N,f,f
306,1183,Tonhalle Zürich,\N,0,2013-10-20 01:10:06.830413+00,2,Tonhalle Zürich,\N,\N,\N,\N,\N,\N,f,f
29,800,Turock,de,0,2013-10-17 15:29:05.670567+00,1,Turock,\N,\N,\N,\N,\N,\N,t,f
312,1194,Martin's Church,en,0,2013-10-20 01:26:51.997146+00,1,Martin's Church,\N,\N,\N,\N,\N,\N,t,f
482,1409,Niigata RYUTOPIA Rehearsal Studio B,\N,0,2013-11-01 13:00:31.590732+00,2,Niigata RYUTOPIA Rehearsal Studio B,\N,\N,\N,\N,\N,\N,f,f
318,1199,Mariinsky Theatre,en,0,2013-10-20 02:25:40.68526+00,1,Mariinsky Theatre,1992,\N,\N,\N,\N,\N,t,f
80,826,Lahti Risti kirik,et,0,2013-10-17 15:47:07.815652+00,1,Lahti Risti kirik,\N,\N,\N,\N,\N,\N,t,f
409,936,Eastwood Scoring Stage,en,0,2013-10-23 23:05:36.665817+00,1,Eastwood Scoring Stage,1999,\N,\N,\N,\N,\N,f,f
64,821,Zepp DiverCity (TOKYO),ja,0,2013-10-17 15:40:45.806411+00,1,ゼップダイバーシティトウキョウ,\N,\N,\N,\N,\N,\N,t,f
426,1321,Burgtheater,de,0,2013-10-24 02:35:17.371752+00,1,Burgtheater,\N,\N,\N,\N,\N,\N,t,f
486,1415,仙台市 青年文化センター,\N,0,2013-11-01 13:00:32.211055+00,2,仙台市 青年文化センター,\N,\N,\N,\N,\N,\N,f,f
1182,3574,Nouvel Hippodrome de Paris,\N,0,2014-01-09 14:59:01.532605+00,1,Nouvel Hippodrome de Paris,\N,\N,\N,\N,\N,\N,f,f
1181,3555,The National Theatre,en,0,2014-01-08 17:19:31.62525+00,1,"National Theatre, The",\N,\N,\N,\N,\N,\N,t,f
491,1417,名古屋 中京大学文化市民会館プルニエホール,\N,0,2013-11-01 13:00:32.27585+00,2,名古屋 中京大学文化市民会館プルニエホール,\N,\N,\N,\N,\N,\N,f,f
1183,1033,Congress Centrum Neue Weimarhalle,de,0,2014-01-12 01:44:18.931596+00,1,Congress Centrum Neue Weimarhalle,\N,\N,\N,\N,\N,\N,t,f
22,795,Matrix,de,0,2013-10-17 15:27:16.702026+00,1,Matrix,\N,\N,\N,\N,\N,\N,t,f
1185,3610,Дворец Белосельских-Белозерских,ru,0,2014-01-12 21:06:19.818311+00,1,Дворец Белосельских-Белозерских,\N,\N,\N,\N,\N,\N,t,f
63,820,Yokohama Arena,en,0,2013-10-17 15:40:13.27198+00,1,Yokohama Arena,\N,\N,\N,\N,\N,\N,t,f
1191,3652,Laforet Museum Harajuku,en,0,2014-01-23 17:00:12.756775+00,1,Laforet Museum Harajuku,\N,\N,\N,\N,\N,\N,t,f
489,1417,中京大学文化市民会館「プルニエホール」,ja,0,2013-10-31 17:00:18.869297+00,1,ちゅうきょうだいがくぶんかしみんかいかん「プルニエホール」,\N,\N,\N,\N,\N,\N,t,f
62,820,横浜アリーナ,ja,0,2013-10-17 15:40:06.431286+00,1,よこはまアリーナ,\N,\N,\N,\N,\N,\N,t,f
1195,3692,PARCO STAGE,\N,0,2014-01-26 01:00:23.342649+00,1,PARCO STAGE,\N,\N,\N,\N,\N,\N,f,f
1194,3665,Phoenix Studio,\N,0,2014-01-18 11:01:01.17633+00,\N,Phoenix Studio,\N,\N,\N,\N,\N,\N,f,f
