id,recording,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
1,7827570,Ungarische Rhapsodie Nr.15 A-Moll,\N,0,2015-05-18 21:05:02.544929+00,\N,Ungarische Rhapsodie Nr.15 A-Moll,\N,\N,\N,\N,\N,\N,f,f
2,7827571,Ungarische Rhapsodie Nr.3 B-Dur,\N,0,2015-05-18 21:05:05.125509+00,\N,Ungarische Rhapsodie Nr.3 B-Dur,\N,\N,\N,\N,\N,\N,f,f
3,7827572,Ungarische Rhapsodie Nr.2 Cis-Moll,\N,0,2015-05-18 21:05:13.205407+00,\N,Ungarische Rhapsodie Nr.2 Cis-Moll,\N,\N,\N,\N,\N,\N,f,f
4,7827573,Ungarische Rhapsodie Nr. 13 A-Moll,\N,0,2015-05-18 21:05:15.297197+00,\N,Ungarische Rhapsodie Nr. 13 A-Moll,\N,\N,\N,\N,\N,\N,f,f
5,7827574,Ungarische Rhapsodie Nr.8 Fis-Moll,\N,0,2015-05-18 21:05:17.406332+00,\N,Ungarische Rhapsodie Nr.8 Fis-Moll,\N,\N,\N,\N,\N,\N,f,f
6,7827575,Ungarische Rhapsodie Nr.17 D-Moll,\N,0,2015-05-18 21:05:19.526216+00,\N,Ungarische Rhapsodie Nr.17 D-Moll,\N,\N,\N,\N,\N,\N,f,f
7,10398635,Csárdás Obstiné,\N,0,2015-05-18 21:05:21.504028+00,\N,Csárdás Obstiné,\N,\N,\N,\N,\N,\N,f,f
8,12756540,"Sonata No. 32 in C minor, Op. 111: II. Arietta. Adagio molto semplice e cantabile",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 32 in C minor, Op. 111: II. Arietta. Adagio molto semplice e cantabile",\N,\N,\N,\N,\N,\N,f,f
9,12756537,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": III. Adagio sostenuto",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": III. Adagio sostenuto",\N,\N,\N,\N,\N,\N,f,f
10,12756539,"Sonata No. 32 in C minor, Op. 111: I. Maestoso – Allegro con brio ed appassionato",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 32 in C minor, Op. 111: I. Maestoso – Allegro con brio ed appassionato",\N,\N,\N,\N,\N,\N,f,f
