id,gid,name,artist_credit,release_group,status,packaging,language,script,barcode,comment,edits_pending,quality,last_updated
9,425cf29a-1490-43ab-abfa-7b17a2cec351,A Sorta Fairytale,60,896742,1,\N,120,28,\N,,0,-1,2010-03-30 19:04:18.144351+00
10,a96e1d03-e685-3627-8cba-f5b96be7158f,A Sorta Fairytale,60,896742,1,\N,120,28,\N,,0,-1,2010-03-30 19:04:18.144351+00
11,dd1c5726-5a38-47e1-9747-18b919b9948a,Glory of the 80's,60,95360,1,\N,120,28,\N,,0,-1,\N
12,9660928f-7cd8-4fef-852d-5599dc4ad3ec,Silent All These Years,60,104189,1,\N,120,28,\N,,0,-1,\N
26,dd245091-b21e-48a3-b59a-f9b8ed8a0469,Demons,20211,94299,1,\N,120,28,\N,,0,-1,2009-05-25 10:03:19.927951+00
49,bc9afecd-685e-482c-9412-27f2d267b1dd,Out Spaced,20211,94125,1,\N,284,28,5017556902295,,0,-1,\N
372235,71d9b457-08d6-4fa2-b932-ff56f03f9e70,Open Up Your Mind,50426,596076,1,1,120,28,724387771925,,0,-1,2011-07-13 00:54:04.7202+00
14,e956c901-acb7-48d6-9dc6-389a5f91f372,Rage Against the Machine,381,2684,1,1,120,28,074645295923,,0,-1,2012-08-06 19:53:09.40657+00
1088433,028f5506-9f4f-46c0-931e-186d1903788c,Talking in the Streets,876468,1106241,1,1,120,28,886978945624,,0,-1,2011-11-14 10:00:25.079777+00
71,8c7d302b-8e2d-4d7d-8860-31115ebe734b,Year 3000 (disc 2),59115,101019,1,\N,120,28,\N,,0,-1,\N
72,295eeb32-9b94-4f0d-8911-5c26787c443e,Year 3000 (disc 1),59115,101019,1,\N,120,28,\N,,0,-1,2009-08-14 15:04:49.379832+00
68,64fa3661-4b90-42b1-9009-a8ab9fc7d142,What I Go to School For,59115,737994,1,\N,120,28,\N,CD 2,0,-1,2012-04-27 09:40:43.58495+00
32,134b4649-9623-40f3-b491-45dce46dae04,Juxtapozed With U,20211,94306,1,\N,120,28,5099767122464,,0,-1,2012-03-18 18:39:56.39629+00
46,fb627640-6d02-4551-981f-eec3f03fb2e0,Somewhere in Time,10042,235013,1,1,120,28,077774634120,,0,-1,2012-07-06 09:00:07.447373+00
15,fe7087cf-88a1-4b46-9530-72b6de7476dd,Llanfairpwllgwyngyllgogerychwyndrobwllantysiliogogogochynygofod (in Space) EP,20211,94305,1,\N,455,28,5019148076766,,0,-1,2012-06-21 20:22:09.424436+00
1017978,5dc6c088-0b65-4501-90e5-2b07d60618a2,"1991-11-25: Wherever We May Roam Tour: Allen County War Memorial Coliseum, Fort Wayne, IN, USA",93,837878,3,\N,120,28,\N,,0,-1,2011-10-30 13:49:33.472608+00
24,962df9d5-0ab5-4f90-97d9-99cb0ab52360,The Battle of Los Angeles,381,36042,1,1,120,28,074646963029,,0,-1,2013-01-14 04:00:19.953287+00
43,4766bf83-3b58-4584-b75a-43917627b790,Powerslave,10042,63448,1,\N,120,28,077774604529,,0,-1,2012-12-05 07:00:08.65372+00
8,26c0f5c2-ed73-4e94-800b-1b120232d39d,Scarlet's Walk,60,90019,1,\N,120,28,5099750878224,,0,-1,2014-01-21 21:20:12.235922+00
57,72d15490-bdc3-4c97-93ae-3e5235df876e,Guerrilla,20211,94127,1,\N,120,28,5099749459427,,0,-1,2013-05-25 18:00:24.682766+00
4,5201f3a4-4a9e-4980-909e-4ee3262334d0,From the Choirgirl Hotel,60,876990,1,1,120,28,075678309526,,0,-1,2013-03-27 20:00:18.151209+00
39,70e47899-b140-4ebe-9ff8-12db8e652ded,God! Show Me Magic,20211,94300,1,2,120,28,5017556702314,,0,-1,2015-12-04 20:34:27.503221+00
82,430d5a99-1d61-4167-af17-3d4260b17db0,Now That's What I Call Music! 5,1,168516,1,\N,120,28,\N,,0,-1,2013-05-22 23:03:31.958645+00
48,aa82c130-c734-4d9c-b06a-5bba9b44295d,No Prayer for the Dying,10042,30612,1,\N,120,28,077779514229,,0,-1,2013-08-19 22:00:14.549303+00
73,de9ba999-bd1f-4a0e-a6a7-35a78cf231dd,You Said No,59115,124527,1,\N,120,28,044007792025,CD 1,0,-1,2014-01-26 21:00:20.743174+00
1168957,ce2aabff-4369-45f8-8a5a-6af57688dd06,Прощание,861045,1170681,1,\N,353,31,\N,,0,-1,2013-11-03 17:00:13.859703+00
54,9cf68369-0ee4-47c2-a7c7-874a9e7f04ce,Edward the Great,10042,92701,1,\N,120,28,724354310324,,0,-1,2014-05-06 09:00:49.238537+00
42,3d241a54-9b55-4ae9-a007-c391f7df29c7,Piece of Mind,10042,266585,1,1,120,28,077774636322,,0,-1,2014-06-28 12:00:37.988848+00
70,01d75a71-fef6-430b-832f-41a3dc02d594,Fuzzy Logic,20211,398775,1,1,120,28,5017556601907,,0,-1,2014-03-18 15:41:23.081044+00
55,b9854978-60b5-4534-aea8-26cca7c469dc,Radiator,20211,411936,1,1,120,28,5017556602140,,0,-1,2014-03-18 15:43:27.368343+00
37,5841c1c1-db87-40c6-a1d8-8dc05e5122c8,Hometown Unicorn,20211,94302,1,2,120,28,5017556702222,,0,-1,2014-03-19 17:56:27.71485+00
17,65078705-6390-43b7-b90a-4522db66c46b,If You Don't Want Me to Destroy You,20211,94657,1,2,120,28,5017556702437,,0,-1,2014-03-19 17:58:01.892224+00
29,7e8bef30-01ab-464b-a72e-dcee3880cbd8,Northern Lites,20211,94293,1,2,120,28,5017556703144,,0,-1,2014-03-19 17:59:04.772468+00
59,718ac535-b7ed-4c5d-bb5c-1b04ef8b23bf,Mwng,20211,94290,1,1,455,28,5037454743035,,0,-1,2014-03-19 19:15:56.466882+00
60,66d3f1f4-f9fa-4488-904e-9b8a88e71a3d,Rings Around the World,20211,94126,1,1,120,28,5099750241394,,0,-1,2014-03-19 20:21:55.336216+00
67,2a9bd1b0-5be4-47a1-8bf5-c06ad7a3b1c6,Phantom Power,20211,135415,1,3,120,28,5099751237594,,0,-1,2014-03-19 20:49:06.756227+00
31,92f27c66-6d68-4afa-b966-4218c3bc1a13,Ysbeidiau Heulog,20211,315029,1,\N,455,28,\N,,0,-1,2014-07-14 22:00:16.331156+00
16,0b1bc029-7486-4931-8ef4-fa58471a48dc,Something 4 the Weekend,20211,94303,1,2,120,28,5017556702352,,0,-1,2014-04-08 18:59:51.441498+00
18,7e7c1f54-7a35-41fc-8359-dede1f466deb,Hermann ♥'s Pauline,20211,94298,1,3,120,28,5017556702529,,0,-1,2014-04-17 10:02:33.079527+00
30,24a0d207-74a1-4649-a9ad-2e1ddcb8ed3b,Fire in My Heart,20211,135003,1,2,120,28,5017556703236,,0,-1,2014-04-17 10:30:15.544845+00
19,f461a802-7c2d-4137-8f58-1610f213eb66,The International Language of Screaming,20211,94301,1,3,120,28,5017556702697,,0,-1,2014-04-17 15:23:16.042117+00
20,a95111fe-b34f-4019-8640-a543038190f7,Play It Cool,20211,94295,1,3,120,28,5017556702758,,0,-1,2014-04-17 15:25:10.365961+00
36,c80d69ea-aca9-478b-9228-d3b6b702882b,Golden Retriever,20211,138011,1,3,120,28,5099767390627,,0,-1,2014-04-17 15:44:08.42056+00
1430664,a3f3423d-7148-44d5-a3f5-1071dcc0dbe8,Scytale,1316939,1379355,1,\N,120,28,4941135990247,,0,-1,2014-05-21 01:18:09.697818+00
34,4ac93c48-45de-499c-8ee5-589325389d8c,It's Not the End of the World?,20211,135002,1,3,120,28,5099767217528,,0,-1,2015-07-16 19:41:03.928107+00
35,0137cfe7-16fa-4413-9a44-15929edd03a3,Iron Maiden,10042,57634,1,4,120,28,,,0,-1,2015-08-02 23:02:56.384039+00
81,ecb9e688-f58e-4e03-8f47-69a649f7bab0,Moog Droog EP,20211,173485,1,1,455,28,5019148607663,,0,-1,2015-01-18 18:08:16.981089+00
28,1c3b7872-6309-4fb2-a10f-3afe2e69bab3,Do or Die,20211,123091,1,1,120,28,5017556703298,,0,-1,2015-10-21 20:34:32.563812+00
21,a7ef294f-e658-4c14-897a-493bd9b632c7,Demons,20211,94299,1,3,120,28,5017556702833,,0,-1,2015-10-21 20:45:33.049515+00
1607861,61013b6f-e49d-48a9-8486-f3c375938188,Still The One: Live From Vegas,973,1506494,1,6,120,28,5034504113077,,0,-1,2016-01-31 21:00:38.550749+00
25,24b9b07d-406a-402b-81b2-27cf8246b5e0,The Man Don't Give a Fuck,20211,173460,1,2,120,28,5017556702475,,0,-1,2016-03-31 20:58:25.67159+00
44,314d934f-d53e-4997-b7a3-10ae0850c65a,Ice Hockey Hair EP,20211,94296,1,2,120,28,5017556702888,,0,-1,2016-03-31 21:52:28.126562+00
1280075,bbc813b3-f921-4bfd-950f-7003b8c1c86d,"Musique pour cordes, percussions et célesta / Concerto pour orchestre",1153963,1260881,1,1,134,28,794881739226,,0,-1,2013-04-26 12:00:15.070149+00
111,4bb6ccc5-0704-48c7-9cff-90f75580abc9,Atlantic Jazz: Best of the '70s,1,173495,1,\N,120,28,\N,,0,-1,2010-01-02 22:53:02.854901+00
1146416,a8019f15-6fe4-4cd1-a2b0-6192b60def18,Sick on You,334383,1153399,1,1,120,28,664813211321,,0,-1,2012-04-14 12:30:40.713449+00
121,fb874a3b-4a15-4889-afc3-d570767b68ad,Lazy Line Painter Jane,2908,46400,1,\N,120,28,5027731685028,,0,-1,2009-01-03 19:49:14.974621+00
124,64989a07-675f-4b29-8c19-7d68528550f6,3.. 6.. 9 Seconds of Light,2908,94795,1,\N,120,28,5027731685035,,0,-1,2009-01-03 20:02:17.25159+00
129,d35e81d9-f89c-4677-8c39-aeccad0dd627,I'm Waking Up to Us,2908,59848,1,\N,120,28,5027731685233,,0,-1,\N
1290326,f3c7f190-9e27-4fdb-b976-b4ac7b97b1cf,In a Dark Room,107700,1269050,1,1,120,28,4005902321624,,0,-1,2013-05-22 17:00:18.992432+00
33,2096bdf0-428b-458a-ae77-9c5706468c2c,(Drawing) Rings Around the World,20211,173467,1,3,120,28,5099767190821,,0,-1,2017-03-07 23:00:36.955678+00
66,a58abdc5-c51d-4914-80fa-ce0a62489d7a,Sleeping With the Light On (disc 2),59115,148788,1,\N,120,28,\N,,0,-1,2017-03-06 10:00:17.604555+00
3,4c31aef1-177e-4bba-9a56-180e21a0d043,Boys for Pele,60,244981,1,\N,120,28,\N,,0,-1,2017-03-14 19:00:17.072519+00
138,051e41b1-9136-4cff-8640-6ff1afabeb03,Do It for Love,37921,897206,1,\N,120,28,4988002442829,,0,-1,2010-09-17 18:04:52.670883+00
113,e8f09d9c-b968-49fb-a5d5-e05c2fec6fcc,Classic FM: Hall of Fame,1,173206,1,\N,120,28,\N,,0,-1,2013-05-13 16:44:09.330172+00
142,d0040398-c78e-4b9a-aedd-039342d4a66c,Whisper,118094,173545,1,\N,120,28,\N,,0,-1,\N
145,516caa3e-75b5-4480-8614-e2bb44e4e367,Sacred Sky,118094,173547,1,\N,120,28,\N,,0,-1,\N
1281837,b1adc32a-d6ec-4b18-80c7-ba8a541afcf5,Evil Urges,49200,706743,1,4,120,28,883870046510,,0,-1,2013-04-28 22:00:12.926237+00
298455,24dcf524-296b-4e97-959f-92652f120bf9,Ragged Ass Road,3088,116233,1,1,120,28,724383295128,,0,-1,2011-11-16 21:00:13.441441+00
123,8de30848-b154-46df-b0c8-15b3c06d6d40,Brigitte Fontaine,30270,173514,1,\N,134,28,\N,,0,-1,2012-06-23 12:06:41.48124+00
78,48f14558-529c-315e-8f2a-eab12d37a081,Mwng,20211,94290,1,\N,455,28,\N,,0,-1,2011-10-15 22:00:06.504453+00
112,e3bb003f-c292-4335-883f-65b93a040cfe,Friday's Child,71715,168445,1,\N,120,28,828765574624,,0,-1,2012-05-11 18:05:39.866042+00
1147511,271a6403-bfe3-4b3d-a4b1-4c4ac7583c27,Alex Go!,970798,1154249,1,3,338,28,,,0,-1,2012-05-01 12:40:57.581879+00
95,704afa3a-029c-4306-ac85-30e6a1e5aa33,Genuine,69361,115050,1,\N,120,28,\N,,0,-1,2012-05-11 18:05:39.77069+00
110,d509911a-e299-41fa-8930-a385d448b74f,Free as a Bird,303,565655,1,\N,120,28,724388258722,,0,-1,2012-05-09 22:07:18.169275+00
84,a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,303,40445,1,\N,120,28,\N,mono,0,-1,2013-05-10 10:00:11.832152+00
155,cf59916e-16cd-4db3-9976-ad712d836c7c,I Blame the Government,6339,11904,1,\N,120,28,711297153620,,0,-1,2012-05-24 20:02:47.507453+00
104,8d5347a5-9ecb-44be-a213-860aaaf5d0b8,Let It Be,303,20987,1,\N,120,28,\N,,0,-1,2012-06-28 08:08:44.961762+00
1290376,b8cfe08a-a376-450b-ba74-7da92740a866,"Synth Radio Russians, Volume 3",1,1269089,1,\N,\N,28,\N,,0,-1,2013-05-22 21:00:18.505427+00
161,44680418-17e5-45dd-9463-41d7cdd3470b,The Sky Is Falling,37921,908258,1,\N,120,28,5034504101166,,0,-1,2010-01-13 09:24:25.795512+00
162,28b310de-08bc-474b-a9ad-760474bc3b7f,The Ballads Collection,37921,172343,1,\N,120,28,078636939025,,0,-1,2010-02-14 05:29:09.804557+00
163,fb6d2a55-1dcd-47a8-8e81-62f6c24d96e6,Romeo Is Bleeding,37921,173601,1,\N,120,28,5034504101180,,0,-1,2009-12-30 07:23:51.63151+00
164,3cdc88db-9e2c-4b5b-b27d-73e0d97c5d32,So Close,37921,175325,2,\N,120,28,\N,,0,-1,2009-11-29 21:40:45.092521+00
165,162cf18c-ed2d-4d3c-87fb-3527b2d06101,Pure Classics,37921,173611,1,\N,120,28,666629144329,,0,-1,2010-02-07 16:02:20.605684+00
166,87527754-9c49-4ada-a947-8bddf9af3ca5,Ecstasy on the Edge,37921,173475,1,\N,120,28,\N,,0,-1,2010-05-03 04:27:14.759976+00
1607862,c2032a04-0b3b-4271-bb9a-2b662e20ebcd,kill! kill! kill!,1403410,1526327,1,7,120,28,\N,,0,-1,2015-05-25 21:01:25.304768+00
132,cbce746c-44c5-42a2-8f19-6b190b1ce182,Let It Be Me,2390,49660,1,\N,120,28,\N,,0,-1,2014-12-20 09:00:35.846151+00
1293251,70d93a76-a7de-4de2-a09c-9961a582b2c7,For Segregationists Only - Volume 2,1,1271332,3,1,120,28,,,0,-1,2013-06-26 05:00:27.081352+00
137,0266c5dc-e7d4-49a7-8964-f7e4461f911a,Bryter Layter,2124,51031,1,\N,120,28,\N,,0,-1,2013-07-05 19:00:42.497813+00
127,96b58905-b08e-4d68-b4ce-023bf06435fa,Old Friends,129,57500,1,1,120,28,5099748944726,,0,-1,2016-02-27 14:01:47.418444+00
136,3d54ad25-1bf3-4f9c-bc16-27c90df94434,Starting All Over Again: Best of Hall and Oates,37921,313277,1,\N,120,28,743215249122,,0,-1,2013-03-10 10:00:07.161991+00
28709,833c56a2-8668-4c50-8dd3-6428cdb175f9,Egøverride,12126,181107,1,12,120,28,014431105029,,0,-1,2014-12-25 05:00:47.71089+00
120,6d1d433e-709b-4c6b-8d09-7e8b845be806,Storytelling,2908,76194,1,\N,120,28,5027731785148,,0,-1,2013-07-14 17:27:42.425881+00
167,cf577924-6dc7-4948-841b-6f69c04f822f,…I Care Because You Do,383,53498,1,\N,120,28,075596179027,,0,-1,2013-04-02 19:13:11.530113+00
1611853,cd21c191-9c79-4aa9-bf9a-b23392e19f89,merci anne laplantine,1438276,1529574,1,7,120,28,\N,,0,-1,2015-06-03 23:00:52.981027+00
156,1c99edce-f514-42a9-853e-75224671bc03,Terminator 3: Rise of the Machines,82973,136223,1,\N,120,28,030206648126,,0,-1,2013-04-11 20:00:06.252602+00
115,ae871d82-4914-4338-b2db-f91d723f9b18,Tigermilk,2908,39176,1,\N,120,28,\N,,0,-1,2014-03-23 22:00:16.964982+00
