id,release,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
1,1565845,"Piano Sonatas, Volume I (disc 1)",\N,0,2015-05-18 21:05:26.603221+00,\N,"Piano Sonatas, Volume I (disc 1)",\N,\N,\N,\N,\N,\N,f,f
2,1604680,"The Complete Songs of Robert Burns, Volume 1",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 1",\N,\N,\N,\N,\N,\N,f,f
3,1604680,"The Complete Songs of Robert Burns, Volume 10",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 10",\N,\N,\N,\N,\N,\N,f,f
4,1604680,"The Complete Songs of Robert Burns, Volume 11",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 11",\N,\N,\N,\N,\N,\N,f,f
5,1604680,"The Complete Songs of Robert Burns, Volume 12",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 12",\N,\N,\N,\N,\N,\N,f,f
6,1604680,"The Complete Songs of Robert Burns, Volume 2",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 2",\N,\N,\N,\N,\N,\N,f,f
7,1604680,"The Complete Songs of Robert Burns, Volume 3",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 3",\N,\N,\N,\N,\N,\N,f,f
8,1604680,"The Complete Songs of Robert Burns, Volume 4",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 4",\N,\N,\N,\N,\N,\N,f,f
9,1604680,"The Complete Songs of Robert Burns, Volume 5",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 5",\N,\N,\N,\N,\N,\N,f,f
10,1604680,"The Complete Songs of Robert Burns, Volume 6",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 6",\N,\N,\N,\N,\N,\N,f,f
