release,country,date_year,date_month,date_day
3,81,1997,1,24
1427792,107,2014,4,23
9,81,2002,10,14
10,221,2002,10,14
11,81,1999,\N,\N
12,81,1997,\N,\N
16,221,1996,7,13
18,221,1997,5,24
19,221,1997,7,14
20,221,1997,9,22
21,221,1997,11,27
25,221,1996,12,14
26,107,1998,4,1
28,221,2000,1,17
29,221,1999,5,10
30,221,1999,8,9
31,221,2000,5,10
33,221,2001,10,8
34,221,2002,1,14
36,221,2003,7,14
37,221,1996,2,26
39,221,1996,4,29
44,221,1998,5,25
48,221,1990,10,1
49,221,1998,11,23
55,221,1997,8,25
57,221,1999,6,7
60,221,2001,7,23
372235,222,2002,\N,\N
66,221,2003,8,11
67,221,2003,7,21
14,222,1992,11,6
1088433,160,2011,5,13
70,221,1996,5,20
71,221,2003,1,13
72,221,2003,1,13
73,221,2003,4,21
75,107,2001,9,25
1,81,1992,1,17
957143,222,2007,\N,\N
68,221,2002,9,16
54,221,2002,11,5
42,221,1983,\N,\N
52,222,1998,3,24
56,222,2003,9,9
32,221,2001,7,9
41,221,2003,10,20
35,221,1980,4,14
38,222,1981,\N,\N
59,221,2000,5,15
62,221,2003,11,17
83,221,1963,3,22
17,221,1996,10,12
46,221,1986,6,29
15,221,1995,5,\N
81,221,1995,8,\N
82,57,2003,8,29
24,222,1999,11,2
43,221,1984,9,3
8,81,2002,10,28
47,221,1988,4,11
4,81,1998,5,4
1526629,240,2011,10,11
5,222,1994,10,17
1280075,81,2004,5,14
109,107,2003,11,14
111,221,1994,\N,\N
116,221,1996,11,18
1146416,221,1999,\N,\N
120,221,2002,6,3
121,221,1997,7,28
122,221,1997,5,12
124,221,1997,10,13
128,221,2001,6,18
129,221,2001,11,26
132,221,1987,\N,\N
138,107,2003,2,5
139,222,2003,2,11
113,221,1996,\N,\N
142,222,1998,2,3
127,221,1997,\N,\N
145,222,2002,4,29
146,222,1995,2,14
149,221,1992,\N,\N
150,221,1991,\N,\N
153,222,1994,12,16
1281837,221,2008,6,10
157,222,1991,8,13
298455,222,1995,\N,\N
80,57,2003,5,28
123,107,1972,\N,\N
78,222,2000,6,20
103,221,1969,9,26
137,221,1970,11,\N
115,221,1996,6,6
112,221,2003,12,1
1147511,170,2011,\N,\N
152,221,1995,\N,\N
95,222,2000,8,29
110,221,1995,12,4
