id,gid,name,artist_credit,type,comment,edits_pending,last_updated
11,c6fe6a2b-0ed6-3d2c-b9ce-ddd5421a3452,Hot,11,1,,0,2009-05-24 20:47:00.490177+00
12,2b10653e-655d-34fe-9db4-77242d817a17,Chore of Enchantment,12,1,,0,2009-05-24 20:47:00.490177+00
13,0eac6659-d590-3eb7-8c13-ed8b3fdf4ef7,The Inevitable,11,1,,0,2009-05-24 20:47:00.490177+00
28,c554da1a-c1aa-30c3-b0bb-44b1b837de33,Piece and Love,26,1,,0,2009-05-24 20:47:00.490177+00
60,06729175-db17-3443-add7-921739a92762,Ultimate Alternative Wavers,44,1,,0,2009-05-24 20:47:00.490177+00
271372,5e595af2-2fdc-34a6-a692-d1657be94a28,Devil's Brothers,100379,1,,0,2009-05-24 20:47:00.490177+00
116,4c0130ca-24ea-38e6-acb0-7ec4c8d11945,The Glass Intact,68,1,,0,2009-05-24 20:47:00.490177+00
144,f65dc3eb-1fa8-3d09-acf8-5366d1617ddf,Inner Booty,87,\N,,0,2009-05-24 20:47:00.490177+00
190,88977ad8-99f7-3bf3-b737-18e2b1b104db,Tears of Stone,121,1,,0,2009-05-24 20:47:00.490177+00
454,c997762b-9719-3db3-8681-4e8731324cdf,Solitude/Solitaire,327,1,,0,2012-06-26 21:49:10.789859+00
1370,c8165ed6-ddff-3ec8-96c3-51ddb5b394d1,Parallel Dreams,977,1,,0,2009-05-24 20:47:00.490177+00
478,af3e03dc-576f-3d3f-b29b-35f5f8c298bc,Cajun Music On The Bayou,1023475,\N,,0,2012-07-24 21:00:14.613557+00
421,d767a49e-dccc-3001-b1ff-5cc4c4ad5064,Baja Sessions,313,1,,0,2009-05-24 20:47:00.490177+00
422,221c72d2-5f0e-3d48-a487-f03ee609a469,Chris Isaak,313,1,,0,2009-05-24 20:47:00.490177+00
1066615,5d70c3c7-6605-4890-96bf-f2d13b0422a1,Secret Somethings,788351,3,,0,2011-05-01 07:58:12.350932+00
443,36881d35-b032-3705-8371-5e2bf325cc60,All the Pain Money Can Buy,320,1,,0,2009-05-25 10:03:11.495821+00
1281,c6b36664-7e60-3b3e-a24d-d096c67a11e9,War,197,1,,0,2009-05-25 22:01:30.090208+00
1189016,f85a11af-542c-4dc4-982c-93f79403abc2,Scared to Death,1881,2,,0,2012-09-01 01:30:09.485294+00
466,56c304fc-c15b-3e56-8a50-b23e405c1da6,The Third Man Theme And Other Viennese Favorites,332,\N,,0,2009-05-24 20:47:00.490177+00
