id,name,parent,child_order,description,gid
16,Super Jewel Box,\N,0,\N,dfb7da53-866f-4dfd-a016-80bafaeff3db
3,Digipak,\N,0,\N,8f931351-d2e2-310f-afc6-37b89ddba246
6,Keep Case,\N,0,\N,bb14bb17-e8ad-375f-a3c6-b1f82fd2bcc4
4,Cardboard/Paper Sleeve,\N,0,\N,f7101ce3-0384-39ce-9fde-fbbd0044d35f
8,Cassette Case,\N,0,\N,c70b737a-0114-39a9-88f7-82843e54f906
9,Book,\N,0,\N,d60b6157-79fe-3913-ab8b-23b32de8690d
10,Fatbox,\N,0,\N,57429523-ffe6-3336-9381-32565c142c18
11,Snap Case,\N,0,\N,935f2847-8083-3422-8f0d-d7516fcda682
12,Gatefold Cover,\N,0,\N,e724a489-a7e8-30a1-a17c-30dfd6831202
13,Discbox Slider,\N,0,\N,21179778-2f98-3d11-816e-42b469a0c924
5,Other,\N,1,\N,815b7785-8284-3926-8f04-e48bc6c4d102
7,None,\N,2,\N,119eba76-b343-3e02-a292-f0f00644bb9b
1,Jewel Case,\N,0,"The traditional CD case, made of hard, brittle plastic.",ec27701a-4a22-37f4-bfac-6616e0f9750a
2,Slim Jewel Case,\N,0,"A thinner jewel case, commonly used for CD singles.",36327bc2-f691-3d66-80e5-bd03cec6060a
17,Digibook,\N,0,A perfect bound book with a sleeve at the end to hold a CD,9f2e13bc-f84f-428a-8342-fd86ece7fc4d
