release,date_year,date_month,date_day
1372866,1998,\N,\N
1089598,2010,10,\N
1147748,2011,12,16
1068236,2006,\N,\N
1148229,2008,\N,\N
1146417,1978,\N,\N
1089606,2010,5,7
1178350,2012,6,21
1280079,1993,\N,\N
1052172,2003,\N,\N
1147755,2011,4,19
1283156,2013,4,1
132664,1994,\N,\N
1178353,2012,6,19
1538717,2014,12,10
1280659,2009,8,28
1090067,2009,\N,\N
921893,1994,\N,\N
933971,2000,\N,\N
1147516,2002,\N,\N
1146422,1978,\N,\N
1178357,2011,\N,\N
1093985,2011,11,21
529416,2007,9,21
1090069,2010,\N,\N
984007,1991,\N,\N
1607858,2009,8,31
1178363,2012,6,5
1179661,2009,\N,\N
1175393,2006,6,6
1280098,2006,\N,\N
838421,1993,\N,\N
1084324,2009,\N,\N
1427793,2003,\N,\N
1105252,2008,12,16
1104600,2008,\N,\N
1168546,2008,2,\N
1280105,2007,1,29
1113494,2005,12,1
1069915,2009,\N,\N
1427802,2010,\N,\N
1277316,1991,\N,\N
1089552,1997,\N,\N
1282634,2013,4,22
1105569,1995,\N,\N
1146436,1999,\N,\N
1036566,2005,\N,\N
1280111,2002,\N,\N
1283158,2012,12,10
1147752,2011,10,30
1031513,2008,4,7
250242,2003,\N,\N
905079,1990,10,25
1280116,2013,4,12
808178,2004,\N,\N
1280118,2012,10,16
1180902,2005,12,29
1167354,2011,9,20
1147859,2011,\N,\N
1167379,1993,\N,\N
1280125,2013,4,16
1283009,2011,\N,\N
1088465,2002,\N,\N
1176372,2011,\N,\N
1280128,2013,4,15
1280130,2013,4,5
1167380,2012,6,11
1282637,2012,8,1
1280131,2013,1,20
1089558,1991,\N,\N
1379026,2010,\N,\N
8662,2001,\N,\N
1282638,2013,1,15
1280133,2013,4,16
1197215,2005,\N,\N
1280134,2013,2,5
1198610,1998,5,18
1198638,2011,\N,\N
1280135,2013,4,6
1094101,2011,9,27
1280136,2013,1,25
1282640,2012,10,2
1146457,1979,\N,\N
1110398,2009,12,\N
1197217,2009,\N,\N
1146459,1979,\N,\N
864444,1992,\N,\N
1144255,2008,12,4
235846,2000,\N,\N
1146461,1979,\N,\N
1063374,2011,8,29
1105685,1998,\N,\N
1146463,1994,\N,\N
1167408,2012,5,20
1060081,1989,\N,\N
10595,1993,\N,\N
670720,1990,11,\N
1280156,2013,2,25
1175428,2012,4,27
1147531,2010,\N,\N
