id,gid,name,comment,type,ordering_attribute,ordering_type,edits_pending,last_updated
94,476798b7-12ae-4237-9e2f-e2d4d6fab5f2,Panorama,Deutsche Grammophon,2,788,1,0,2014-05-14 22:51:40.00804+00
170,303ba27e-da80-4c3c-ae3e-3b3689c50174,Klassiset säveltäjät,,2,788,1,0,2014-05-15 10:35:33.62127+00
124,c172256d-ffc6-4b5d-acc8-334d7107e9e6,Techno & Dance,K-tel International Finland Oy,1,788,1,0,2014-05-15 02:00:38.687118+00
186,7a0f5541-7734-4ef2-a545-1d58f07eb4f5,Best of Pagan Folk,,1,788,1,0,2014-05-15 16:41:37.227923+00
2334,5ac7370c-3e8f-41f5-ac8f-11bfd8ca32be,Glastonbury Festival,,8,788,1,0,2014-11-17 22:30:53.937684+00
128,cee7fb52-aaf2-4f17-b090-9c31bd91227c,Suomi-rock,Poko Rekords,1,788,1,0,2014-05-15 02:04:01.445836+00
215,a3599acc-9a42-4848-9088-45f847ebfba5,Goth Is What You Make It,,1,788,1,0,2014-05-15 21:37:19.637616+00
29,035eb2cb-33ab-463f-ac98-e9c1c1c76f1d,The Sibelius Edition,BIS,2,788,1,0,2014-05-15 00:19:56.872152+00
2582,15860893-5b40-4965-8c64-e8aa72e97d74,The Hours… Tour,,7,788,1,0,2014-12-18 19:45:57.370886+00
3238,e4ac76d6-712b-4ef5-b84a-9c37e63e05d3,Post Marked Stamps,,1,788,1,0,2015-05-19 04:24:35.787606+00
17,89330025-9089-40d8-9e9b-fa6b1c678d5b,En sang om is og ild,MP3 CDs,1,788,1,0,2014-05-15 05:34:35.863225+00
3239,367c95d2-1d40-4044-9a87-c67b1f3159f3,Stern Grove Festival,,8,788,1,0,2015-05-20 05:41:42.286929+00
131,74116370-49e8-4602-89cf-0328c9d88fce,FLCL,,1,788,1,0,2014-05-15 02:13:37.756421+00
107,e03cd77b-2cc6-4e89-bede-0fe25efb4ac6,BLEACH,,1,788,1,0,2014-05-15 01:23:32.521687+00
109,f13fdc67-4e89-4ea7-bdc5-ec678249c546,Paranoia Agent,,1,788,1,0,2014-05-15 01:26:43.397595+00
2581,c7b39e52-d6ea-400d-89cf-3a071e35c3b6,Sonda,,1,788,1,0,2014-12-18 13:43:52.723434+00
103,c48ac448-3616-4ac9-ac67-02be4e4d8bfb,Final Fantasy games,,4,788,1,0,2014-06-02 12:00:25.835596+00
133,c877fe4e-5611-4f1d-9503-0fb377e8e538,Suomipoppia,,1,788,1,0,2014-05-15 02:19:13.739099+00
113,cb14bf73-c295-4867-ae09-577ad766f7b8,Finnhits,,1,788,1,0,2014-05-16 06:26:48.316788+00
115,6829921a-e0c0-4238-bd3e-6c27576de0b4,Lauluja rakastamisen vaikeudesta,,1,788,1,0,2014-05-15 01:56:13.863248+00
176,4fd4c29f-a72c-43d2-ac13-d975c5738c76,Collections,Sony BMG,2,788,1,0,2014-05-15 12:18:16.762936+00
135,39ad9e44-5fd1-4cc7-980c-afc8c0b44910,Now That's What I Call Music!,Finland,1,788,1,0,2014-05-15 02:24:18.173846+00
151,d1c724d7-eef1-4bf7-9103-82e3f05ea3c4,Sibelius Academy Folk Music Recordings,CD series,2,788,1,0,2014-05-15 11:07:33.323429+00
121,e562e1fe-5c40-4fea-aeb7-b1e6c5761340,Parhaat,Megamania,1,788,1,0,2014-05-15 01:59:22.341342+00
1,d271a712-90a9-43fb-9470-3151ebb9389a,The World Roots Music Library,2008,2,788,1,0,2014-05-15 08:07:56.286524+00
123,5b33a84c-f807-409b-9dc0-f9c96de25dd7,Tenchi Muyo!,,1,788,1,0,2014-05-15 02:00:00.110538+00
136,ec26443b-936a-4fb3-b33c-b40702804984,Latauslista,The Voice,1,788,1,0,2014-05-15 02:25:43.264208+00
2361,3f20c73a-d7a5-4222-9df2-6ce807dfd9b8,Taubertal-Festival,,8,788,1,0,2014-11-19 08:44:28.348255+00
155,3d5e429f-fabb-4a83-9ea2-5c7e5468eed8,Finnhits Suomi-legendat,,1,788,1,0,2014-05-16 06:26:48.316788+00
142,68115478-f0d8-45a6-bf19-6225945a8231,Iskelmä Suomi,,1,788,1,0,2014-05-15 02:51:30.992157+00
158,0acd41c4-60b7-4eb7-8a37-22ccdec94190,Iskelmä Gaala,,1,788,1,0,2014-05-15 09:17:50.316261+00
119,5ac58e50-b2ae-4f16-a7d0-156d02aa5805,Unohtumattomat,"1991–1999, Fazer Finnlevy / Warner Music Finland",1,788,1,0,2014-05-15 04:18:23.350714+00
