id,series,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
1,12,Köchel catalogue,en,0,2014-05-14 18:28:59.030601+00,1,Köchel catalogue,\N,\N,\N,\N,\N,\N,t,f
52,260,OC ReMix,\N,0,2014-05-24 01:00:33.121714+00,2,OC ReMix,\N,\N,\N,\N,\N,\N,f,f
4,12,Köchelverzeichnis,de,0,2014-05-14 18:28:59.030601+00,1,Köchelverzeichnis,\N,\N,\N,\N,\N,\N,t,f
27,172,The Melancholy of Haruhi Suzumiya Second Season Character Song,en,0,2014-05-15 11:18:04.692854+00,1,Melancholy of Haruhi Suzumiya Second Season Character Song,\N,\N,\N,\N,\N,\N,t,f
7,25,BWV,\N,0,2014-05-14 18:28:59.030601+00,\N,BWV,\N,\N,\N,\N,\N,\N,f,f
28,45,涼宮ハルヒの憂鬱 キャラクターソング,ja,0,2014-05-15 11:19:13.329912+00,1,すずみやハルヒのゆううつキャラクターソング,\N,\N,\N,\N,\N,\N,t,f
10,38,「らき☆すた」 キャラクターソング,ja,0,2014-05-14 18:32:12.524078+00,1,らきすたキャラクターソング,\N,\N,\N,\N,\N,\N,t,f
173,2339,Comic Communication,en,0,2014-11-18 06:51:55.184612+00,1,Comic Communication,\N,\N,\N,\N,\N,\N,t,f
9,38,“Lucky☆Star” Character Song,en,0,2014-05-14 18:32:44.407125+00,1,Lucky Star Character Song,\N,\N,\N,\N,\N,\N,t,f
40,56,TH,\N,0,2014-05-15 15:53:01.579202+00,2,TH,\N,\N,\N,\N,\N,\N,f,f
11,14,ISOS,\N,0,2014-05-14 18:41:43.331366+00,2,ISOS,\N,\N,\N,\N,\N,\N,f,f
12,12,KV,\N,0,2014-05-14 18:42:47.404571+00,2,KV,\N,\N,\N,\N,\N,\N,f,f
13,67,Dark Ladies,\N,0,2014-05-14 20:49:11.088262+00,\N,Dark Ladies,\N,\N,\N,\N,\N,\N,f,f
29,45,The Melancholy of Haruhi Suzumiya Character Song,en,0,2014-05-15 11:20:22.404099+00,1,Melancholy of Haruhi Suzumiya Character Song,\N,\N,\N,\N,\N,\N,t,f
14,68,Gothic Rock,\N,0,2014-05-14 20:53:44.908578+00,\N,Gothic Rock,\N,\N,\N,\N,\N,\N,f,f
15,74,Radio Schwarze Welle,\N,0,2014-05-14 21:11:17.961514+00,\N,Radio Schwarze Welle,\N,\N,\N,\N,\N,\N,f,f
16,86,Medieval Spirits,\N,0,2014-05-14 21:57:42.899246+00,\N,Medieval Spirits,\N,\N,\N,\N,\N,\N,f,f
30,173,TVアニメ『明日のよいち!』キャラクターソング,ja,0,2014-05-15 11:31:07.00569+00,1,あしたのよいちキャラクターソング,\N,\N,\N,\N,\N,\N,t,f
17,100,Wq,\N,0,2014-05-14 23:49:09.623675+00,2,Wq,\N,\N,\N,\N,\N,\N,f,f
18,101,H,\N,0,2014-05-14 23:49:42.956183+00,2,H,\N,\N,\N,\N,\N,\N,f,f
34,27,enka no chikara,\N,0,2014-05-22 16:00:22.738841+00,2,enka no chikara,\N,\N,\N,\N,\N,\N,f,f
38,182,seishun uta nenkan,\N,0,2014-05-22 16:00:38.122364+00,2,seishun uta nenkan,\N,\N,\N,\N,\N,\N,f,f
35,180,NEXUS MASTER PIECE 1500,en,0,2014-05-22 16:00:32.707224+00,1,NEXUS MASTER PIECE 1500,\N,\N,\N,\N,\N,\N,t,f
41,57,ČW,\N,0,2014-05-15 15:54:31.35327+00,2,ČW,\N,\N,\N,\N,\N,\N,f,f
