id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated ,is_data_track
117,909a5611-0d0c-3508-b71d-63ea826197e3,11,7716,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
72,fb17af0e-b6a4-3128-bbae-a4821912210a,11,288902,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
81,43da7544-6283-3159-84f9-537fe823a1a7,11,600623,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
18674665,14786f5a-0aa9-42c5-a28d-0194477090ec,1076098,1690850,1,1,2 + 2 = 5 (The Lukewarm.),66,199386,0,2015-05-18 20:20:39.009738+00,f
99,fa124f9a-d8ea-36a3-bed3-c817fdbe13e2,11,600626,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
108,e56c6d3c-09cf-33a0-81c5-ceade77c35dc,11,600627,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
126,b107859d-d32f-3038-87cc-99353b99dace,11,825915,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
45,8dc6d377-8f15-32d6-8545-1c13f33bbd40,11,1311006,5,5,Five Man Army,4,364306,0,2011-05-16 16:08:20.288158+00,f
116,297e561f-58dd-3353-9bf7-e8d5ade681b5,14,7716,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
71,3184a594-f32c-3544-9896-1b571726543d,14,288902,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
80,c50eed88-f571-3293-8ba4-ed64fc50e79f,14,600623,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
18674666,bad29395-7769-45d8-8224-096eee872f14,1076099,1690850,2,2,Sit Down. Stand Up. (Snakes & Ladders.),66,260013,0,2015-05-18 20:20:39.009738+00,f
98,dfc0ed57-c1d7-38eb-9782-1dd7e2143eb3,14,600626,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
107,d09c8169-51b8-38c9-95b6-dcd5c9a03389,14,600627,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
125,09d638e1-04c5-3809-8005-406cc30645e3,14,825915,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
44,7b6cd398-9867-3b70-9be8-8ee49f36bbb8,14,1311006,4,4,Be Thankful for What You've Got,4,249693,0,2011-05-16 16:08:20.288158+00,f
121,7890317d-b34a-3f64-aaa9-1e4e8c33a61c,16,7716,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
76,2783742f-c686-304b-90fa-82fff6b8b18d,16,288902,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
85,b78014e7-7314-342b-8fa0-a19c733279cb,16,600623,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
18674667,07a2bdf2-85a8-450a-96f1-75045acc0088,1076100,1690850,3,3,Sail to the Moon. (Brush the Cobwebs Out of the Sky.),66,258400,0,2015-05-18 20:20:39.009738+00,f
103,412646d4-dfda-3ef5-bce3-43e9025d67af,16,600626,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
112,d102bf10-e401-3f0f-85ab-6caad1bd98ef,16,600627,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
130,e16a8e65-554d-34d0-bc67-4f382895f80e,16,825915,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
49,fb1b7396-afef-3390-bc44-b7c22ec4bbea,16,1311006,9,9,Hymn of the Big Wheel,4,397226,0,2011-05-16 16:08:20.288158+00,f
120,04d942b6-4bd5-387a-bd24-b310e53fd65d,17,7716,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
75,dd91ceb6-0db0-303f-abbd-24a31abf8a01,17,288902,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
84,ad762819-bdfe-3e70-94d6-1abcc3da3ebd,17,600623,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
18674668,b65e98bd-9c26-4460-a37e-291a1da8c014,1076101,1690850,4,4,Backdrifts. (Honeymoon Is Over.),66,322626,0,2015-05-18 20:20:39.009738+00,f
102,cf4531ba-6c6b-32ea-aafc-e85e577178ef,17,600626,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
111,8f04b4a6-4ba8-3b80-8b2e-8e2a5bc6ad66,17,600627,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
129,9d67af7d-add6-31a0-a792-ab5c8794fe71,17,825915,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
48,6d37927f-e15f-3de5-ba4e-02bdf86e1a83,17,1311006,8,8,Lately,4,266493,0,2011-05-16 16:08:20.288158+00,f
118,ca503b18-46be-3420-a0da-20bf6ab542bd,20,7716,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
73,1a8b1e4a-8081-3410-a211-dda74b7c4c02,20,288902,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
82,23aacc6d-f388-37fe-b2fc-e60958ecb572,20,600623,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
100,9c6a0164-b24b-3592-b41d-a04e40de923e,20,600626,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
109,5fabde7e-88f6-343a-b4f0-3b0d6d9f3f72,20,600627,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
127,01f552ee-c0f1-32db-9e60-35d315efe026,20,825915,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
46,d702507a-ad80-3990-a0ee-242721b05863,20,1311006,6,6,Unfinished Sympathy,4,308293,0,2011-05-16 16:08:20.288158+00,f
140,85e0fc8e-d4b3-3dc5-8146-0437a064ced2,42,23301,10,10,Flight of the Passing Fancy,11,232266,0,2011-05-16 16:08:20.288158+00,f
137,cabc36f1-44b8-3c84-a384-0f9ec159dc60,44,23301,7,7,Hell,11,192960,0,2011-05-16 16:08:20.288158+00,f
160,87cf2992-ce3e-322f-85de-bb272bec6de6,53,63822,2,2,Danny Diamond,11,231773,0,2011-05-16 16:08:20.288158+00,f
166,49318032-eb75-3d16-9448-63662ad44ff2,58,63822,8,8,Lugubrious Whing Whang,11,154306,0,2011-05-16 16:08:20.288158+00,f
170,b52e153b-8c58-380b-81bc-11f72a037606,59,63822,12,12,Plenty More,11,207160,0,2011-05-16 16:08:20.288158+00,f
168,2b1acd58-64e5-3758-923f-ba75b09354e9,60,63822,10,10,Wash Jones,11,187266,0,2011-05-16 16:08:20.288158+00,f
386,33fa3505-291b-3f13-ae2c-930625e960ee,389,10983,3,3,Dress,9044,198200,0,2011-05-16 16:08:20.288158+00,f
397,baa37ff1-06d6-334d-8923-1062ce3381e0,389,459168,3,3,Dress,9044,198200,0,2011-05-16 16:08:20.288158+00,f
375,116846db-c56b-3434-889a-1af1e07c9641,389,1146109,3,3,Dress,9044,198200,0,2011-05-16 16:08:20.288158+00,f
364,51a7d8c0-2315-3a4a-89b0-5484b24e68b8,389,1239394,3,3,Dress,9044,198200,0,2011-05-16 16:08:20.288158+00,f
388,7f095b32-452a-3b7f-9a92-b1489bb3d820,392,10983,5,5,Happy and Bleeding,9044,291266,0,2011-05-16 16:08:20.288158+00,f
399,83fda0d7-1e20-3fc4-89b8-76184894129c,392,459168,5,5,Happy and Bleeding,9044,291266,0,2011-05-16 16:08:20.288158+00,f
377,9728fc6b-848e-370a-9841-a0de568b97a7,392,1146109,5,5,Happy and Bleeding,9044,291266,0,2011-05-16 16:08:20.288158+00,f
366,1f8f18f2-0898-3357-8d9a-a05069d5d73e,392,1239394,5,5,Happy and Bleeding,9044,291266,0,2011-05-16 16:08:20.288158+00,f
391,04826de7-3d74-3aff-b322-ec54bf4fd427,393,10983,8,8,Joe,9044,153266,0,2011-05-16 16:08:20.288158+00,f
402,e994fa36-b0b2-3182-97e0-b7f754723cb5,393,459168,8,8,Joe,9044,153266,0,2011-05-16 16:08:20.288158+00,f
