id,work,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
53093,3688857,Kaihola (edit),\N,0,2012-10-05 23:00:22.399026+00,\N,Kaihola (edit),\N,\N,\N,\N,\N,\N,f,f
47458,12495572,Gonna Send You Back to Georgia,\N,0,2012-05-15 20:40:26.06643+00,\N,Gonna Send You Back to Georgia,\N,\N,\N,\N,\N,\N,f,f
47461,7430219,I'm Cryin',\N,0,2012-05-15 22:26:27.988007+00,\N,I'm Cryin',\N,\N,\N,\N,\N,\N,f,f
53094,9031462,Loveen langennut (single edit),\N,0,2012-10-05 23:00:23.426311+00,\N,Loveen langennut (single edit),\N,\N,\N,\N,\N,\N,f,f
8495,12425889,"Symfonie nr. 9 in E-mineur, Op. 95 ""Uit de nieuwe wereld""",nl,0,2012-05-17 17:50:03.671074+00,1,"Symfonie nr. 9 in E-mineur, Op. 95 ""Uit de nieuwe wereld""",\N,\N,\N,\N,\N,\N,t,f
47465,8478646,Schottisch Chôro,\N,0,2012-05-16 08:31:59.125044+00,2,Schottisch Chôro,\N,\N,\N,\N,\N,\N,f,f
47466,10594267,The Road to Home / Caledonia,\N,0,2012-05-16 11:00:11.503262+00,\N,The Road to Home / Caledonia,\N,\N,\N,\N,\N,\N,f,f
53095,510828,Satu peikoista (live) / Karjalaisten laulu (a capella),\N,0,2012-10-05 23:00:24.783284+00,\N,Satu peikoista (live) / Karjalaisten laulu (a capella),\N,\N,\N,\N,\N,\N,f,f
60993,5761648,Matchstick Men,\N,0,2013-05-15 19:00:24.617054+00,\N,Matchstick Men,\N,\N,\N,\N,\N,\N,f,f
48013,9661465,"Durchs Telefon, Op. 439",\N,0,2012-06-05 13:00:12.710907+00,\N,"Durchs Telefon, Op. 439",\N,\N,\N,\N,\N,\N,f,f
47093,6416294,Universe & You,\N,0,2012-05-16 18:00:17.61737+00,\N,Universe & You,\N,\N,\N,\N,\N,\N,f,f
7011,3992520,Romeo and Juliet Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
7418,3992520,Romeo and Juliet - Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet - Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
7419,3992520,Romeo & Juliet (Fantasy-Overture),\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo & Juliet (Fantasy-Overture),\N,\N,\N,\N,\N,\N,f,f
7420,3992520,Romeo & Juliet Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo & Juliet Overture,\N,\N,\N,\N,\N,\N,f,f
7421,3992520,Romeo and Juliet (Fantasy Overture): after Shakespeare,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet (Fantasy Overture): after Shakespeare,\N,\N,\N,\N,\N,\N,f,f
7422,3992520,"Romeo & Juliet, Fantasy Overture",\N,0,2012-05-16 19:00:09.758976+00,\N,"Romeo & Juliet, Fantasy Overture",\N,\N,\N,\N,\N,\N,f,f
7423,3992520,Romeo and Julite Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Julite Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
7424,3992520,"Romeo and Juliet, Fantasy Overture",\N,0,2012-05-16 19:00:09.758976+00,\N,"Romeo and Juliet, Fantasy Overture",\N,\N,\N,\N,\N,\N,f,f
7425,3992520,Romeo and Juliet (Fantasy Overture),\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet (Fantasy Overture),\N,\N,\N,\N,\N,\N,f,f
7426,3992520,"Romeo & Juliet, Fantasy Overture after Shakespeare",\N,0,2012-05-16 19:00:09.758976+00,\N,"Romeo & Juliet, Fantasy Overture after Shakespeare",\N,\N,\N,\N,\N,\N,f,f
7427,3992520,Romeo & Juliet: Fantasy - Overture after Shakespeare,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo & Juliet: Fantasy - Overture after Shakespeare,\N,\N,\N,\N,\N,\N,f,f
7428,3992520,Romeo & Juliet: Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo & Juliet: Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
7429,3992520,Romeo & Juliet Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo & Juliet Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
47473,3992520,"Fantasy Overture ""Romeo and Juliet"": Andante non tanto quasi moderato - Allegro giusto",\N,0,2012-05-16 19:00:09.758976+00,\N,"Fantasy Overture ""Romeo and Juliet"": Andante non tanto quasi moderato - Allegro giusto",\N,\N,\N,\N,\N,\N,f,f
47474,3992520,"Romeo and Juliet, Fantasy-Overture in B minor",\N,0,2012-05-16 19:00:09.758976+00,\N,"Romeo and Juliet, Fantasy-Overture in B minor",\N,\N,\N,\N,\N,\N,f,f
47475,3992520,Romeo and Juliet (Fantasy Overture after Shakespeare),\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet (Fantasy Overture after Shakespeare),\N,\N,\N,\N,\N,\N,f,f
47476,3992520,Romeo and Juliet Fantasy Overture (1880 version),\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet Fantasy Overture (1880 version),\N,\N,\N,\N,\N,\N,f,f
47477,3992520,"Overture-Fantasy ""Romeo and Juliet""",\N,0,2012-05-16 19:00:09.758976+00,\N,"Overture-Fantasy ""Romeo and Juliet""",\N,\N,\N,\N,\N,\N,f,f
47478,3992520,Romeo and Juliet (Fantasy Overture after Shakespeare): Andante non quasi moderato / Allegro guisto / Moderati assai,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet (Fantasy Overture after Shakespeare): Andante non quasi moderato / Allegro guisto / Moderati assai,\N,\N,\N,\N,\N,\N,f,f
47479,3992520,Romeo and Juliet: Fantasy Overture,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet: Fantasy Overture,\N,\N,\N,\N,\N,\N,f,f
47480,3992520,Romeo und Julia,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo und Julia,\N,\N,\N,\N,\N,\N,f,f
47481,3992520,Romeo and Juliet (Fantasy Overture after Shakespeare): Andante non tanto quasi Moderato - Allegro giusto - Moderato assai,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet (Fantasy Overture after Shakespeare): Andante non tanto quasi Moderato - Allegro giusto - Moderato assai,\N,\N,\N,\N,\N,\N,f,f
47482,3992520,"Overture Phantastique ""Romeo and Juliet""",\N,0,2012-05-16 19:00:09.758976+00,\N,"Overture Phantastique ""Romeo and Juliet""",\N,\N,\N,\N,\N,\N,f,f
47483,3992520,Romeo and Juliet - Fantasy Overture after Shakespeare (Los Angeles Philharmonic Orchestra),\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo and Juliet - Fantasy Overture after Shakespeare (Los Angeles Philharmonic Orchestra),\N,\N,\N,\N,\N,\N,f,f
47484,3992520,"Romeo and Juliet, Fantasy Overture (From Now, Voyager)",\N,0,2012-05-16 19:00:09.758976+00,\N,"Romeo and Juliet, Fantasy Overture (From Now, Voyager)",\N,\N,\N,\N,\N,\N,f,f
47485,3992520,Romeo und Julia: Fantasie-Overtüre nach W. Shakespeare,\N,0,2012-05-16 19:00:09.758976+00,\N,Romeo und Julia: Fantasie-Overtüre nach W. Shakespeare,\N,\N,\N,\N,\N,\N,f,f
