id,work,work_attribute_type,work_attribute_type_allowed_value,work_attribute_text
1,12108628,3,\N,175-8691-7
2,7565110,1,22,\N
4,12429749,1,14,\N
6,12429752,1,14,\N
8,12630792,1,2,\N
9,12630787,1,22,\N
10,12630790,1,5,\N
11,12696734,1,34,\N
12,12696735,1,34,\N
13,12630785,1,34,\N
14,12696644,1,14,\N
15,12630776,1,18,\N
16,12630775,1,13,\N
17,12630778,1,2,\N
18,12630774,1,20,\N
19,12630777,1,11,\N
20,12630797,1,9,\N
21,12696821,1,23,\N
22,12696750,1,23,\N
23,12696811,1,17,\N
24,12630773,1,31,\N
25,12630772,1,9,\N
26,12614907,1,28,\N
27,12598518,1,28,\N
28,12598517,1,28,\N
29,12598522,1,28,\N
30,12604732,1,28,\N
31,12598553,1,28,\N
32,12598550,1,28,\N
33,12604737,1,9,\N
34,12604737,1,29,\N
35,12604721,1,29,\N
36,12604721,1,11,\N
37,12614904,1,29,\N
38,12615258,1,29,\N
39,12598519,1,29,\N
40,12604735,1,29,\N
41,12598532,1,29,\N
42,12701586,1,9,\N
43,9097152,1,9,\N
44,9097153,1,9,\N
45,9097154,1,9,\N
46,12438831,1,9,\N
47,8201244,1,9,\N
48,8364374,1,9,\N
49,2541458,1,9,\N
50,12512572,1,31,\N
51,12512573,1,31,\N
52,12512574,1,31,\N
53,12512575,1,31,\N
54,12512576,1,31,\N
55,12556205,1,9,\N
56,12391930,1,9,\N
57,12391931,1,9,\N
58,12391932,1,9,\N
59,12391933,1,9,\N
60,12609556,1,9,\N
61,12391934,1,9,\N
62,12556202,1,11,\N
63,12556193,1,11,\N
64,12556194,1,11,\N
65,12556195,1,11,\N
66,12556196,1,11,\N
67,12634404,1,23,\N
68,12634401,1,23,\N
69,12634402,1,23,\N
70,12634403,1,23,\N
71,12503148,1,13,\N
77,12598484,1,9,\N
78,12598485,1,9,\N
79,12598486,1,9,\N
80,12598487,1,9,\N
81,12598489,1,9,\N
82,12598490,1,9,\N
83,12598488,1,9,\N
84,12634398,1,28,\N
85,12634394,1,28,\N
86,12634395,1,28,\N
87,12634396,1,28,\N
88,12634399,1,28,\N
89,12634397,1,28,\N
90,12473370,1,8,\N
91,8900443,1,8,\N
92,7367538,1,8,\N
93,6600338,1,8,\N
94,11926185,1,8,\N
95,12473389,1,2,\N
96,12682871,1,28,\N
97,12682872,1,28,\N
98,12682873,1,28,\N
99,12682874,1,28,\N
100,2010963,1,13,\N
101,1064949,1,13,\N
106,12441036,1,2,\N
107,12441037,1,14,\N
108,12441038,1,26,\N
109,12441039,1,17,\N
110,12441040,1,28,\N
111,12441041,1,8,\N
112,12441042,1,3,\N
