id,name,parent,child_order,description,gid
29,Musical,\N,2,"Musical theatre is a form of theatrical performance that combines songs, spoken dialogue, acting, and dance.",9ca5e067-acf7-3cd6-baa4-92bf1975bf24
1,Aria,\N,2,"An aria is a self-contained piece for one voice usually with orchestral accompaniment. They are most common inside operas, but also appear in cantatas, oratorios and even on their own (concert arias).",ae801f48-7a7f-3af6-91c7-456f82dae8a9
2,Ballet,\N,2,"A ballet is music composed to be used, together with a choreography, for a ballet dance production.",6a90744c-1e07-3b88-b394-cd44cd68bd63
3,Cantata,\N,2,"A cantata is a vocal (often choral) composition with an instrumental (usually orchestral) accompaniment, typically in several movements.",0db2f555-15f9-393f-af4c-739db5711146
4,Concerto,\N,2,A concerto is a musical work for soloist(s) accompanied by an orchestra.,dad81031-607b-3039-bd5b-80c0f4575272
7,Madrigal,\N,2,"The madrigal is a type of secular vocal music composition. In its original form, it had no instrumental accompaniment, although accompaniment is much more common in later madrigals.",45c0b285-6de1-33c5-a45b-ac980f2b0129
8,Mass,\N,2,"A mass is a choral composition that sets the invariable portions of the Christian Eucharistic liturgy (Kyrie - Gloria - Credo - Sanctus - Benedictus - Agnus Dei, with other portions sometimes added) to music.",9fe2ca27-80b6-3a27-8c2b-895ec7f87917
9,Motet,\N,2,Motet is a term that applies to different types of (usually unaccompanied) choral works. What exactly is a motet depends quite a bit on the period.,785ab71d-f748-32d1-8839-83d2b29e41f0
10,Opera,\N,2,"An opera is a dramatised work (text + musical score) for singers and orchestra/ensemble. In true operas all dialog is sung, through arias and recitatives, but some styles of opera include spoken dialogue.",d8059ee8-cb37-3351-9ca4-23978567339f
24,Operetta,\N,2,"The operetta is a genre of light opera, in terms both of music and subject matter. Operettas are generally short and include spoken parts.",6d51f760-9d53-3856-a92f-e53d9d82ae5b
11,Oratorio,\N,2,"An oratorio is a large (usually sacred) musical composition including an orchestra, a choir, and soloists. While it has characters and a plot, it is usually not performed theatrically (it lacks costumes, props and strong character interaction).",308d1000-e97c-3629-b954-68505cf0aa30
12,Overture,\N,2,"An overture is, generally, the instrumental introduction to an opera. Independent (""concert"") overtures also exist, which are generally programmatic works shorter than a symphonic poem.",7b72b6c1-0d76-3262-9925-aedfab92ef01
13,Partita,\N,2,"A partita is an instrumental piece composed of a series of variations, and it's by its current definition very similar to a suite.",c5270f0f-9383-370c-997d-5d8fc51e5681
28,Play,\N,2,"A play is a form of literature usually consisting of scripted dialogue between characters, and intended for theatrical performance rather than just reading.",db708738-f2b6-3e4e-8f23-1661a3395947
21,Poem,\N,2,"A poem is a literary piece, generally short and in verse, where words are usually chosen for their sound and for the images and ideas they suggest.",66b8026e-7ce8-36f8-a8d5-7c346c7b9a88
23,Prose,\N,2,"This represents literary works written in prose, that is, written in relatively ordinary language without metrical structure (e.g. novels, short stories, essays...).",78a8e727-edc2-35b9-8829-a46111ef6df9
14,Quartet,\N,2,A quartet is a musical composition scored for four voices or instruments.,30d4080a-d195-3f03-88e3-585aae505398
5,Sonata,\N,2,"Sonata is a general term used to describe small scale (very often solo or solo + keyboard) instrumental works, initially in baroque music.",294ff9f2-3d64-3483-96fb-f362b5fce2a0
15,Song-cycle,\N,2,"A song cycle is a group of songs designed to be performed in a sequence as a single entity. In most cases, all of the songs are by the same composer, and often use words from the same poet or lyricist.",0f24ce27-96cc-3746-a16c-e6617d7a80f3
22,Soundtrack,\N,2,"A soundtrack is the music that accompanies a film, TV program, videogame, or even book.",66d7962b-6377-364f-a0b4-b200febc510e
6,Suite,\N,2,"A suite is an ordered set of instrumental or orchestral pieces normally performed in a concert setting. They may be extracts from a ballet or opera, or entirely original movements.",212bf9fb-ce4f-396e-87ca-3db671c085fb
18,Symphonic poem,\N,2,"A symphonic poem is a piece of programmatic orchestral music, usually in a single movement, that evokes a painting, a landscape, the content of a poem, a story or novel, or other non-musical source.",01ef2ab4-d58d-3ef9-b309-eef98b58435f
16,Symphony,\N,2,"A symphony is an extended composition, almost always scored for orchestra without soloists.",174314aa-0aa4-30cf-96a6-50b281d8d208
19,Zarzuela,\N,2,"A zarzuela is a Spanish lyric-dramatic work that alternates between spoken and sung scenes, the latter incorporating operatic and popular song, as well as dance.",d57f4af2-fa06-3218-99bf-001fc2362127
20,Étude,\N,2,"An étude is an instrumental musical composition, most commonly of considerable difficulty, usually designed to provide practice material for perfecting a particular technical skill.",01846fb2-42a6-332f-8bd0-2e6d80b4df7b
25,Audio drama,\N,2,"An audio drama is a dramatized, purely acoustic performance, broadcast on radio or published on an audio medium (tape, CD, etc.).",40ed00fb-cd1d-3de5-afcc-4d08720d63e7
26,Beijing opera,\N,2,"Beijing opera is a form of traditional Chinese theatre which combines music, vocal performance, mime, dance, and acrobatics.",e233d483-62f0-3379-81d7-b83911aee9b8
17,Song,\N,1,"A song is in its origin (and still in most cases) a composition for voice, with or without instruments, performed by singing. This is the most common form by far in folk and popular music, but also fairly common in a classical context (""art songs"").",f061270a-2fd6-32f1-a641-f0f8676d14e6
30,Incidental music,\N,2,Incidental music is music written as background for (usually) a theatre play.,3cd7c402-444a-3d04-a154-4fa7d13e4ec6
